city,veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050
Duvall,heavy,1199.023248,1179.7119548662151,1160.4006617324303,967.287730394582,1186.3134312769594,1580.0876607327264
Duvall,light,36582.80844,36756.496861101594,36930.185282203194,38667.06949321916,41393.950631401975,44359.93308596797
Duvall,medium,972.9313657,979.0843105590103,985.2372554180205,1046.766704008123,1105.2132027357227,1153.4666260321746
Enumclaw,heavy,321.4205894,324.4424741562018,327.4643589124036,357.68320647442164,406.6383698517498,449.8279540507398
Enumclaw,light,87282.01217,87918.35310721693,88554.69404443385,94918.10341660312,98308.04196815024,103520.1365664852
Enumclaw,medium,2485.00098,2501.571317306507,2518.141654613014,2683.845027678084,2768.408405747092,2809.8578240582547
Federal Way,heavy,146532.7274,148354.08457897496,150175.4417579499,168389.0135476994,189618.9218880676,208611.6704860209
Federal Way,light,2243948.419,2255918.059341783,2267887.699683566,2387584.1031013965,2489051.92777029,2588659.931457533
Federal Way,medium,116931.3521,117570.15035827327,118208.94861654652,124596.93119927912,123237.14122071976,116752.87170727846
Hunts Point,heavy,60.12484103,60.88885795166231,61.65287487332463,69.29304408994776,74.83021532135052,87.63161296372742
Hunts Point,light,31411.23263,31733.545587684912,32055.858545369825,35278.98812221896,40214.0163900247,43418.00174567988
Hunts Point,medium,3292.420601,3334.7255030194847,3377.0304050389695,3800.079425233818,4268.289024014308,4591.789444739765
Issaquah,heavy,13984.83747,14202.257760985685,14419.678051971372,16593.88096182823,17760.948504681008,19343.14721639457
Issaquah,light,995194.9902,999369.4146214835,1003543.8390429671,1045288.0832578024,1116937.9815976757,1189399.2592971434
Issaquah,medium,32560.05247,32916.307480158684,33272.56249031737,36835.1125919042,40429.45177272438,42498.75117340336
Kenmore,heavy,273.1359062,275.46042023038854,277.7849342607771,301.03007456466247,292.7002720031831,312.66193033598074
Kenmore,light,312094.5262,312977.3970877749,313860.26797554974,322688.9768532983,344223.1475446966,366507.0510335245
Kenmore,medium,8462.798772,8535.684790211819,8608.57080842364,9337.430990541834,9910.695586343782,10561.717322259208
Kent,heavy,131872.9991,133575.86352171423,135278.72794342847,152307.37216057093,172172.58198262547,189332.02067497227
Kent,light,3044650.15,3060031.9342894233,3075413.718578847,3229231.5614730823,3337887.337794289,3495616.1194814644
Kent,medium,156260.7313,156934.7996196701,157608.86793934018,164349.55113604106,164297.3638975519,159255.1690980526
Kirkland,heavy,51178.8797,52581.03484151558,53983.18998303117,68004.74139818702,76735.39338618309,83515.92691920337
Kirkland,light,1900136.735,1905955.7420119776,1911774.7490239548,1969964.8191437293,2087896.7660072849,2193159.008766933
Kirkland,medium,99141.83246,99951.86793357709,100761.90340715417,108862.258142925,111737.54264064004,110382.19278828298
Lake Forest Park,heavy,258.0505415,260.80884731119056,263.5671531223811,291.15021123428653,283.7224543744434,303.8771948148023
Lake Forest Park,light,195155.5079,195167.50292392346,195179.49794784692,195299.4481870815,211036.97360119064,221135.97015077624
Lake Forest Park,medium,5982.235899,6028.882382859006,6075.52886671801,6541.993705308063,6790.642100636807,7184.731408654718
Maple Valley,heavy,715.1685382,731.1455233006471,747.1225084012942,906.892359407766,1022.3060186437737,1116.832119776999
Maple Valley,light,173675.0895,175939.30313301148,178203.51676602295,200845.6530961377,212687.4839619597,227541.70173112128
Maple Valley,medium,4553.60205,4601.371482994444,4649.140915988886,5126.835245933318,5468.882810774621,5676.283223807442
Medina,heavy,155.1494295,157.12217588983623,159.09492227967243,178.8223861780346,193.10487312515795,226.1257071033438
Medina,light,94590.95973,95822.8748702162,97054.79001043239,109373.94141259436,121365.09329638076,129689.76014750372
Medina,medium,9398.471303,9532.954656228927,9667.438009457854,11012.271541747125,12430.355282001983,13421.51832518175
Mercer Island,heavy,9895.176006,9994.739690733357,10094.303375466716,11089.940222800296,12138.011558393724,13350.384669132438
Mercer Island,light,765829.5394,764560.5902331077,763291.6410662152,750602.1493972916,771403.9221606021,798587.6295060411
Mercer Island,medium,39825.61656,40085.20169477241,40344.78682954483,42940.638177268935,44731.86872478495,44984.73933649098
Milton,heavy,27183.31701,27466.01215594002,27748.70730188004,30575.65876128025,34006.89154269603,37315.20314705663
Milton,light,332798.1019,335208.70996338944,337619.31802677887,361725.3986606731,376157.7351973631,392424.546848095
Milton,medium,20474.9126,20537.47469679007,20600.036793580137,21225.657761480823,21059.42138930167,19821.01133255834
Newcastle,heavy,4136.217986,4268.327899672572,4400.437813345145,5721.536950070872,6408.905998477522,6987.1112689545
Newcastle,light,172035.3627,173574.13560890127,175112.90851780254,190500.6376068153,197853.9203443066,207786.14142878584
Newcastle,medium,8221.329094,8303.363138848335,8385.397183696672,9205.737632180028,9307.76533871982,9189.847091196403
Normandy Park,heavy,248.4869873,229.5749983281692,210.66300935633836,21.5431196380301,33.36266289844695,52.22394646439655
Normandy Park,light,57029.34502,56595.61202625034,56161.87903250067,51824.549095004026,55379.63067768642,60961.92327272458
Normandy Park,medium,1259.112672,1224.7243353259105,1190.3359986518212,846.4526319109272,880.3097038776165,1029.6783941378974
North Bend,heavy,6875.095786,6960.162895705924,7045.230005411849,7895.901102471093,8783.676201771194,9721.158788518793
North Bend,light,95579.17691,97227.11884283497,98875.06077566995,115354.48010401968,120120.10386380726,126121.22683385112
North Bend,medium,1614.392412,1643.3678066622044,1672.343201324409,1962.0971479464536,2018.573787108565,2085.188734407695
Pacific,heavy,18380.5764,18656.878665684773,18933.18093136955,21696.20358821727,25282.934217246275,27886.124127806288
Pacific,light,259646.717,260981.0086203865,262315.300240773,275658.2164446381,289010.7284305277,304740.72898752824
Pacific,medium,18787.12285,18672.481034882578,18557.839219765156,17411.421068590942,17202.729980204764,16669.347992668696
Redmond,heavy,6271.535695,6410.821987020308,6550.108279040616,7942.971199243701,8767.009830658739,9596.20146342582
Redmond,light,1256315.631,1257799.945809084,1259284.2606181682,1274127.4087090085,1334226.3497780657,1402946.363562386
Redmond,medium,44381.53596,44923.209039658745,45464.88211931749,50881.61291590494,53894.17084393198,56349.89110500515
Renton,heavy,76463.25228,78476.44260630326,80489.63293260652,100621.5361956391,113281.65867697772,123853.83076656426
Renton,light,2695207.494,2719313.7702865736,2743420.046573147,2984482.809438883,3135963.139262928,3296669.2268249574
Renton,medium,139682.7347,141338.57538746917,142994.41607493832,159552.82294962995,161720.95823033297,160266.4515108066
Sammamish,heavy,778.9613092,742.7987238519399,706.6361385038799,345.0102850232797,397.1252335342441,529.150118460281
Sammamish,light,434437.9304,437863.08865105384,441288.2469021076,475539.82941264566,496926.0598092773,525941.0481029449
Sammamish,medium,9612.942658,9684.736088978152,9756.529519956304,10474.46382973782,11237.508231663442,11905.062271547977
SeaTac,heavy,72302.82054,73865.70728240235,75428.59402480471,91057.46144882824,100295.63849619224,108578.94702736007
SeaTac,light,1391709.277,1411024.6366890434,1430339.9963780867,1623493.593268521,1800198.5235690416,1946815.4058590292
SeaTac,medium,81826.33712,82927.30164625014,84028.2661725003,95037.91143500176,99040.15563458751,98462.51101310777
Seattle,heavy,248324.4445,249791.5470624899,251258.64962497982,265929.67524987884,294385.049980207,323002.6549468564
Seattle,light,10499355.14,10462768.426152121,10426181.712304242,10060314.573825449,10367717.051676365,10806207.890447952
Seattle,medium,542835.9522,545133.3730369357,547430.7938738713,570405.0022432274,588303.101018644,588339.8519718746
Shoreline,heavy,31909.12004,32031.359494962424,32153.59894992485,33375.993499549084,37431.48334782487,40820.86321790399
Shoreline,light,1118107.701,1117190.6617431254,1116273.622486251,1107103.2299175062,1148130.67545934,1205271.3365805158
Shoreline,medium,52343.52276,52650.13469293479,52956.746625869586,56022.86595521752,56978.63282094241,55797.108172792345
Skykomish,heavy,1066.04127,1079.592103900877,1093.1429378017542,1228.6512768105254,1366.5208919068634,1503.944688029679
Skykomish,light,3373.871187,3428.942039899906,3484.0128927998117,4034.721421798868,4199.930664439797,4544.713647168824
Skykomish,medium,38.44078203,38.645007074560446,38.849232119120884,40.89148256472531,41.94368557422142,41.69484625980118
Snoqualmie,heavy,2107.96592,2093.5641862076586,2079.162452415317,1935.145114491903,2212.73769884349,3031.6010032215977
Snoqualmie,light,95871.65572,96742.33325490468,97613.01078980937,106319.7861388562,115256.064375311,123525.09316735856
Snoqualmie,medium,2457.819094,2492.456654863424,2527.0942157268482,2873.4698243610896,3088.872831318171,3249.5060507727853
Tukwila,heavy,106156.382,105160.09017706633,104163.79835413267,94200.880124796,107038.15613074976,119674.12037099696
Tukwila,light,1962324.823,1954274.6412910027,1946224.4595820052,1865722.6424920307,2014037.6765480712,2135586.4398688115
Tukwila,medium,131495.1165,131398.0972507217,131301.0780014434,130330.88550866052,131512.6220656086,127846.80689474085
Woodinville,heavy,6225.023827,6381.793336471368,6538.562845942735,8106.257940656414,9229.934806812758,10182.860255142692
Woodinville,light,361617.9903,364669.90195983346,367721.81361966697,398240.93021800165,424999.8990715848,451196.7595520506
Woodinville,medium,13621.88722,13777.749346066754,13933.611472133507,15492.232732801043,16048.552012619342,16104.225563224336
Yarrow Point,heavy,42.665054,43.20658966701898,43.748125334037965,49.1634820042278,53.09566327035722,62.18592078074298
Yarrow Point,light,22468.27393,22656.85307683022,22845.43222366044,24731.22369196264,28375.499097061045,30587.86156618543
Yarrow Point,medium,2276.703645,2305.2967624076773,2333.8898798153546,2619.821053892126,2931.8635738879057,3147.580783847457
