,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
61,115,Sulfate Particulate,light,440918.910192822,39696766.771174334,40137685.68136716,0.00012175260600188498,0.006678490954364564,0.0068002435603664495
62,115,Sulfate Particulate,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,6.483232027267213e-06,0.00446052137291438,0.004467004604941647
63,115,Sulfate Particulate,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0004049589419148362,0.0004049589419148362
64,116,PM25 Brakewear,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.00011214590041941849,0.020317620275495843,0.02042976617591526
65,116,PM25 Brakewear,light,440918.910192822,39696766.771174334,40137685.68136716,0.00480899660402035,0.17962589009478513,0.18443488669880548
66,116,PM25 Brakewear,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,5.619235682463996e-05,0.01874449303755091,0.01880068539437555
67,116,PM25 Brakewear,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0027939929935521485,0.0027939929935521485
68,117,PM25 Tirewear,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,1.0452254758397828e-05,0.007123559633391447,0.0071340118881498445
69,117,PM25 Tirewear,light,440918.910192822,39696766.771174334,40137685.68136716,0.001025304772670532,0.06613213758700663,0.06715744235967716
70,117,PM25 Tirewear,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,6.051234552673134e-06,0.0050186408323093495,0.005024692066862023
71,117,PM25 Tirewear,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0004364382098594489,0.0004364382098594489
72,118,Composite NonECPM,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,8.156180517483487e-05,0.0445354956233817,0.04461705742855654
73,118,Composite NonECPM,light,440918.910192822,39696766.771174334,40137685.68136716,0.0019413067915490167,0.10094955223721801,0.10289085902876702
74,118,Composite NonECPM,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,3.231309153037251e-05,0.0235647360841142,0.023597049175644574
75,118,Composite NonECPM,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0016425533909035876,0.0016425533909035876
76,119,H20 Aerosol,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0,0.0,0.0
77,119,H20 Aerosol,light,440918.910192822,39696766.771174334,40137685.68136716,0.0,0.0,0.0
78,119,H20 Aerosol,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.0,0.0,0.0
79,119,H20 Aerosol,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0,0.0
0,PM10,PM10 Total,heavy,3826.371427833341,4251419.43972789,4255245.811155723,0.0013260871606162784,0.41765396301493085,0.4189800501755471
1,PM10,PM10 Total,light,1322756.7305784659,119090300.313523,120413057.04410146,0.049479042295943396,2.099278714110093,2.1487577564060363
2,PM10,PM10 Total,medium,4807.636022144443,5864208.989193217,5869016.625215361,0.0005887825608359916,0.25367096260831506,0.25425974516915106
3,PM10,PM10 Total,transit,0.0,386012.77815525176,386012.77815525176,0.0,0.02871252500750745,0.02871252500750745
0,PM25,PM25 Total,heavy,3826.371427833341,4251419.43972789,4255245.811155723,0.0004530896637196601,0.21845100451119434,0.218904094174914
1,PM25,PM25 Total,light,1322756.7305784659,119090300.313523,120413057.04410146,0.009601499190784315,0.4454781392644454,0.4550796384552297
2,PM25,PM25 Total,medium,4807.636022144443,5864208.989193217,5869016.625215361,0.00015290361292106343,0.08805955019556175,0.0882124538084828
3,PM25,PM25 Total,transit,0.0,386012.77815525176,386012.77815525176,0.0,0.00637305529169055,0.00637305529169055
