tractce10,veh_type,vmt_total,total_daily_tons_co2e
004200,light,54728.633815892295,53.92263003576517
004200,medium,1253.7687648110211,5.651611624622444
004301,heavy,46.02795146672555,0.121268762850747
004301,light,26582.82601584248,15.692573363682603
004301,medium,654.9927808293837,0.9101128898449592
004302,heavy,33.66644938732364,0.0936557874325324
004302,light,7083.79761489357,5.947901396989982
004302,medium,184.9978822208041,0.4234377460759941
004400,heavy,25.956610674384237,0.1020309974717508
004400,light,24343.97023849126,36.93712284363045
004400,medium,342.54572995518816,4.221805426570312
004500,heavy,4157.372622457322,9.675906432450102
004500,light,131203.68342122465,73.70253792099648
004500,medium,7453.819313800125,7.353879776804573
004700,heavy,362.31780363649193,1.0013302598898386
004700,light,94285.54631993549,87.73709014281806
004700,medium,2765.2174958315422,9.13121676745645
004800,heavy,361.6362376760752,0.966468544781308
