description,id,mode,route_code
204 Island Crest Wy*,4691,b,1204
205 Mercer Island/U*,4692,p,1205
218 Issaquah Highla*,4703,b,1218
3 Route 3,4721,b,1003
316 Meridian Park e*,4732,b,1316
41 Lake City/Northg*,4737,b,1041
7 Route 7,4758,b,1007
891 Mercer Island H*,4766,b,1891
892 Mercer Island H*,4767,b,1892
914 Kent Shopper Sh*,4772,b,1914
917 Auburn/Algona/P*,4774,b,1917
982 Lakeside\UPrep *,4777,p,1982
986 Lakeside School,4778,p,1986
987 Lakeside School*,4779,p,1987
988 Lakeside School*,4780,p,1988
989 Eastgate Lakesi*,4781,p,1989
994 Downtown/Magnol*,4782,p,1994
995 Laurelhurst-Lak*,4783,p,1995
485 Benaroya-Olympi*,4921,b,2485
desc needed,5063,b,3880
43 Viking Ave.E,5082,b,4043
85 Mullenix ExpressW,5084,b,4085
90B Poulsbo All Sto*,5089,b,4090
94 Agate PointN,5097,b,4094
32 Poulsbo/Silverda*,5209,b,4032
3 South to W Casino*,5229,b,7003
81 Annapolis Commut*,5262,b,4081
86 Southworth Shutt*,5264,b,4086
74 test,5280,b,1074
124 test,5283,b,1124
182 test,5285,b,1182
232 test,5288,b,1232
26 test,5295,b,1026
14SEP-Weekday-27027*,5418,b,3277
1 kinnear,4096,b,1001
116 Fauntleroy Ferr*,4130,p,1116
12 interlaken park,4142,b,1012
121 Normandy Park e*,4148,b,1121
123 Gregory Heights*,4152,b,1123
14 Mt Baker,4178,b,1014
150 Kent-Southcente*,4190,b,1150
17 Sunset Hill,4216,p,1017
179 Twin Lakes P&R *,4222,b,1179
183 Kent/Federal Wa*,4232,b,1183
2 Route 2,4253,b,1002
201 West Mercer Way*,4258,b,1201
202 Mercer Island,4259,b,1202
203 Shorewood Van S*,4263,b,1203
205 Mercer Island/U*,4268,p,1205
221 Eastgate\Redmond,4291,b,1221
245 Factoria - Kirk*,4327,b,1245
3 Route 3,4380,b,1003
31 Magnolia to Univ*,4398,b,1031
33 Ft Lawton,4409,b,1033
330 Lake City - Sho*,4412,b,1330
330 Lake City - Sho*,4414,b,1330
355 Shoreline Comm *,4428,p,1355
372 Woodinville/Uni*,4437,p,1372
4 Judkins / E QA,4445,b,1004
41 Lake City/Northg*,4458,b,1041
48 Loyal Heights/Mt*,4478,b,1048
48 Loyal Heights/Mt*,4479,p,1048
48 Loyal Heights/Mt*,4481,b,1048
48 Loyal Heights/Mt*,4482,b,1048
48 Loyal Heights/Mt*,4483,b,1048
55 W. Sea. Admiral *,4510,b,1055
62 SODO-Ballard Rev*,4530,b,1062
66 5 & Main to NTC,4539,p,1066
67 Northgate to UW *,4542,b,1067
68 Northgate to UW *,4546,b,1068
68 Northgate to UW *,4549,b,1068
71 View Ridge,4565,p,1071
72 Lake City,4568,p,1072
73 Jackson Park,4574,p,1073
73 Jackson Park,4576,p,1073
891 Mercer Island H*,4602,b,1891
892 Mercer Island H*,4603,b,1892
980 Lakeside,4640,p,1980
982 Lakeside\UPrep *,4641,p,1982
986 Lakeside School,4642,p,1986
988 Lakeside School*,4644,p,1988
995 Laurelhurst-Lak*,4649,p,1995
577 FederalWay-Seat*,4885,b,6577
577 FederalWay-Seat*,4886,b,6577
577 FederalWay-Seat*,4890,b,6577
12 Silverdale West,5115,b,4012
13 Parkwood East Ltd,5116,b,4013
13 Parkwood East Ltd,5117,b,4013
20 Navy Yard City WB,5131,b,4020
36 Ridgetop Shuttle,5155,b,4036
37 Fairgrnds Shuttle,5158,b,4037
86 Southwrth Shtl EB,5165,b,4086
90 Poulsbo-Bainbr EB,5180,b,4090
90 Poulsbo-Bainbr EB,5184,b,4090
90 Poulsbo-Bainbr EB,5185,b,4090
95 Battle Point EB,5195,b,4095
99 Bill Point NB,5201,b,4099
9 South Park WB,5203,b,4009
230-wb-Weekday,5414,b,3230
118 Vashon Is--Tahl*,4002,b,1118
121 Normandy Park e*,4007,b,1121
154 Tukwila Station*,4012,b,1154
246 Bellevue/Somers*,4027,b,1246
301 Aurora Village-*,4035,p,1301
346 Aurora Village *,4037,b,1346
48 Loyal Heights/Mt*,4046,b,1048
555 Issaquah/NTC,4052,b,6555
60 Beacon Hill/Broa*,4055,b,1060
661 tripper storage*,4057,b,1661
823 Cougar Mt/Newpo*,4071,b,1823
824 Newcastle/Facto*,4072,b,1824
887 Bellevue SD New*,4073,b,1887
888 Interlake High *,4074,b,1888
889 Sammamish HS/In*,4075,b,1889
893 911 For Lake Wa*,4076,b,1893
952 Auburn P&R to B*,4084,p,1952
60 Beacon Hill/Broa*,4526,b,1060
402 Meridian/Federa*,4908,b,2402
desc needed,5065,b,3227
desc needed,5066,b,3247
desc needed,5067,b,3277
3 South to W Casino*,5234,b,7003
86 Southworth Shutt*,5266,b,4086
90 Poulsbo/Bainbrid*,5270,b,4090
90 Poulsbo/Bainbrid*,5272,b,4090
90 Poulsbo/Bainbrid*,5273,b,4090
D Line test,5299,b,1674
D Line test,5300,b,1674
10 capitol hill,4001,b,1010
12 interlaken park,4006,b,1012
121 Normandy Park e*,4008,b,1121
122 Des moines expr*,4009,b,1122
167 Auburn-Kent-Ren*,4015,b,1167
180 Auburn  Kent  S*,4016,b,1180
211 Issa Hlnds PR\E*,4022,p,1211
277 Totem Lake/U Di*,4032,b,1277
312 Woodinville/Bot*,4036,p,1312
355 Shoreline Comm *,4038,p,1355
36 Jefferson Park/R*,4039,b,1036
41 Lake City/Northg*,4041,b,1041
41 Lake City/Northg*,4043,b,1041
540 Kirkland U Dist*,4049,b,6540
556 Issaquah/UW/NTC,4053,b,6556
556 Issaquah/UW/NTC,4054,b,6556
62 SODO-Ballard Rev*,4056,b,1062
73 Jackson Park,4066,p,1073
8 Cap.Hill/Denny Wy,4070,b,1008
106 Renton-Downtown*,4111,b,1106
13 seattle pacific *,4165,b,1013
14 Mt Baker,4175,b,1014
2 Route 2,4250,b,1002
240 Bellevue\Renton,4316,b,1240
269 Issaquah Plateau,4359,b,1269
36 Jefferson Park/R*,4430,b,1036
4 Judkins / E QA,4447,b,1004
68 Northgate to UW *,4548,b,1068
7 Route 7,4555,b,1007
102 Fairwood - Seat*,4652,b,1102
111 East Renton to *,4654,b,1111
113 Shorewood  Whit*,4656,b,1113
113 Shorewood  Whit*,4657,b,1113
114 Renton Highland*,4658,b,1114
116 Fauntleroy Ferr*,4659,p,1116
119 Dockton,4661,b,1119
123 Gregory Heights*,4664,b,1123
143 Maple Valley & *,4666,p,1143
15 Blue Ridge/Downt*,4667,p,1015
157 Lake Meridian P*,4669,b,1157
158 E. Kent--Lk. Me*,4670,b,1158
159 Kent-Kangley-Ti*,4671,b,1159
161 Lk Meridian - S*,4673,b,1161
17 Sunset Hill,4674,p,1017
177 Federal Way P&R*,4676,b,1177
178 South Fed Way &*,4677,b,1178
179 Twin Lakes P&R *,4678,b,1179
18 North Beach/Down*,4679,p,1018
180 Auburn  Kent  S*,4680,b,1180
19 Magnolia,4681,b,1019
190 Star Lk. P&R Vi*,4683,b,1190
192 S. Military Rd.*,4684,b,1192
193 Star Lk. to Fir*,4685,p,1193
201 West Mercer Way*,4686,b,1201
202 Mercer Island,4687,b,1202
202 Mercer Island,4689,b,1202
209 Issaquah/North *,4693,b,1209
21 35  Av SW/Arbor *,4694,p,1021
210 Issaquah,4695,b,1210
212 Eastgate P & R *,4696,b,1212
212 Eastgate P & R *,4697,b,1212
214 Seattle - Issaq*,4698,b,1214
214 Seattle - Issaq*,4699,b,1214
215 N Bend  Seattle,4700,b,1215
216 Sammamish/CBD,4701,b,1216
217 Issaquah/CBD,4702,b,1217
219 913 Seattle Iss*,4704,b,1219
232 Bellevue/Redmond,4705,b,1232
232 Bellevue/Redmond,4706,b,1232
237 Bellevue/Woodin*,4707,b,1237
246 Bellevue/Somers*,4708,b,1246
250 Seattle/Overlak*,4709,b,1250
252 Seattle/Kingsga*,4710,b,1252
257 Seattle/Juanita*,4711,b,1257
26 Latona,4712,p,1026
260 Seattle/Juanita*,4713,b,1260
265 Redmond/Seattle*,4714,b,1265
265 Redmond/Seattle*,4715,b,1265
268 Seattle/Bear Cr*,4716,b,1268
271 Issaquah to U D*,4717,b,1271
28 Broadview,4718,p,1028
29 Ballard - West Q*,4719,b,1029
3 Route 3,4720,b,1003
301 Aurora Village-*,4722,p,1301
301 Aurora Village-*,4723,p,1301
301 Aurora Village-*,4724,b,1301
303 Shoreline - NTC*,4725,p,1303
304 Richmond Beach *,4726,b,1304
306 Kenmore tunnel *,4727,p,1306
308 Aurora Village *,4728,b,1308
309 Kenmore - S Lk *,4729,p,1309
311 Seattle/Woodinv*,4730,b,1311
312 Woodinville/Bot*,4731,p,1312
342 Renton/Shorelin*,4733,b,1342
37 Alki,4735,b,1037
372 Woodinville/Uni*,4736,p,1372
41 Lake City/Northg*,4738,b,1041
41 Lake City/Northg*,4739,b,1041
43 cbd/u-district,4740,b,1043
48 Loyal Heights/Mt*,4741,p,1048
49 CBD-Cap Hill-U D*,4742,b,1049
49 CBD-Cap Hill-U D*,4743,b,1049
5 Greenwood/SCC/Nor*,4744,p,1005
540 Kirkland U Dist*,4745,b,6540
545 Redmond to CBD *,4746,b,6545
55 W. Sea. Admiral *,4747,b,1055
550 Bellevue,4748,b,6550
56 Admiral Way/Alki,4751,b,1056
57 Admiral Way/Gene*,4752,b,1057
601 Group Health Co*,4753,p,1601
64 Lake City - CBD *,4754,p,1064
66 5 & Main to NTC,4755,p,1066
67 Northgate to UW *,4757,b,1067
7 Route 7,4759,p,1007
74 Sandpoint/U-Dist*,4760,p,1074
75 UW - NTC - Balla*,4761,b,1075
76 Wedgwood Express,4763,b,1076
77 Jackson Park Exp*,4764,p,1077
906 Southcenter/Fai*,4768,b,1906
913 Kent - Riverview,4770,b,1913
913 Kent - Riverview,4771,b,1913
242 North Seattle t*,4784,b,1242
243 Jackson Park to*,4785,b,1243
244 Kenmore Kingsga*,4786,b,1244
554 ST Issaquah - C*,4788,b,6554
554 ST Issaquah - C*,4789,b,6554
300 S Tacoma Way NB,4826,b,2300
501 Miltn-Fed Way SB,4859,b,2501
567 Kent-OverlakeS,4913,b,6567
577 FederalWay-Seat*,4915,b,6577
590 Seattle ExpressS,4917,b,6590
595 Seattle ExpressS,4918,b,6595
102 Purdy Gig Harbo*,4919,b,2102
475 UPS-OlympiaE,4920,b,2475
495 South Hill Mall*,4922,b,2495
497 Lakeland Hill c*,4923,b,2497
566 Auburn-OverlakeS,4924,b,6566
592 Seattle ExpressS,4925,b,6592
596 Bonney Lake/Sum*,4926,b,6596
62 N.E TacomaW,4927,b,2062
COMMTR RL SEA-EV NB,4944,c,6999
COMMTR RL TAC-SEA NB,4945,c,6998
COMMTR RL SEA-LKW SB,4961,c,6998
desc needed,5046,b,3412
desc needed,5047,b,3413
desc needed,5048,b,3415
desc needed,5049,b,3416
desc needed,5050,b,3417
desc needed,5051,b,3421
desc needed,5052,b,3422
desc needed,5053,b,3424
desc needed,5054,b,3425
desc needed,5055,b,3435
desc needed,5056,b,6510
desc needed,5057,b,6511
desc needed,5058,b,3111
desc needed,5059,b,6513
desc needed,5062,b,3821
desc needed,5064,b,3880
desc needed,5068,b,3402
desc needed,5069,b,3405
desc needed,5070,b,3410
15A McWilliams Shut*,5071,b,4015
15C McWilliams Shut*,5072,b,4015
15K McWilliams Shut*,5073,b,4015
21 Perry AvenueN,5075,b,4021
22 Gateway ExpressW,5076,b,4022
23 Kariotis/Tracyto*,5077,b,4023
24 Olympic CollegeW,5078,b,4024
25 East ParkN,5079,b,4025
26 West ParkW,5080,b,4026
85 Mullenix ExpressW,5083,b,4085
90A PoulsboN,5086,b,4090
90B Poulsbo All Sto*,5088,b,4090
90C Poulsbo Express*,5090,b,4090
90D Poulsbo Express*,5091,b,4090
91 Kingston/Bainbri*,5092,b,4091
91 Kingston/Bainbri*,5093,b,4091
93 ManzanitaN,5095,b,4093
94 Agate PointN,5096,b,4094
94 Agate PointN,5098,b,4094
95 Battle PointW,5099,b,4095
96 SunriseN,5100,b,4096
97 Crystal SpringsW,5101,b,4097
98 Fort WardS,5102,b,4098
99 Bill PointS,5103,b,4099
20 Navy Yard City WB,5130,b,4020
91 Kingston-Bainbrdg,5188,b,4091
106 Fletcher BayW,5211,b,4106
3 South to W Casino*,5228,b,7003
70 Commuter East to*,5243,b,7070
32 Poulsbo/Silverda*,5258,b,4032
71 test,5278,b,1071
72 test,5279,b,1072
77 test,5282,b,1077
226 test,5287,b,1226
255 test,5289,b,1255
271 test,5290,b,1271
121 test,5291,b,1121
17 test,5292,b,1017
18 test,5293,b,1018
19 test,5294,b,1019
28 test,5296,b,1028
29 test,5297,b,1029
40 test,5298,b,1040
C Line test,5301,b,1673
66 test,5302,b,1066
301 Aurora Village-*,5304,b,1301
555 test,5306,b,6555
255 test,5307,b,1255
545 test,5308,b,6545
41 test,5309,b,1041
74 test,5311,b,1074
77 test,5312,b,1077
316 test,5313,b,1316
41 test,5326,b,1041
545 test,5327,b,6545
Wedgwood Express,5359,b,1076
Wedgwood Express,5360,b,1076
14SEP-Weekday-40241*,5421,b,3417
14SEP-Weekday-855-8*,5425,b,3821
10 capitol hill,4098,b,1010
101 Renton Transit *,4102,b,1101
101 Renton Transit *,4104,b,1101
106 Renton-Downtown*,4113,b,1106
107 Rainier Beach/R*,4119,b,1107
110 Renton Shuttle,4124,b,1110
111 East Renton to *,4126,b,1111
118 Vashon Is--Tahl*,4133,p,1118
119 Dockton,4137,p,1119
12 interlaken park,4140,b,1012
122 Des moines expr*,4150,b,1122
124 Tukwila - E Mar*,4154,b,1124
124 Tukwila - E Mar*,4158,b,1124
14 Mt Baker,4176,b,1014
15 Blue Ridge/Downt*,4187,p,1015
153 Kent/Renton Shu*,4194,b,1153
161 Lk Meridian - S*,4205,b,1161
167 Auburn-Kent-Ren*,4211,b,1167
17 Sunset Hill,4217,p,1017
18 North Beach/Down*,4223,p,1018
183 Kent/Federal Wa*,4233,b,1183
186 Auburn/Enumclaw*,4234,b,1186
19 Magnolia,4240,b,1019
19 Magnolia,4241,b,1019
190 Star Lk. P&R Vi*,4242,b,1190
192 S. Military Rd.*,4243,b,1192
192 S. Military Rd.*,4244,b,1192
2 Route 2,4254,b,1002
202 Mercer Island,4260,b,1202
203 Shorewood Van S*,4261,b,1203
205 Mercer Island/U*,4269,p,1205
212 Eastgate P & R *,4279,b,1212
217 Issaquah/CBD,4284,b,1217
232 Bellevue/Redmond,4299,b,1232
237 Bellevue/Woodin*,4307,b,1237
24 Magnolia via W G*,4313,b,1024
243 Jackson Park to*,4323,b,1243
244 Kenmore Kingsga*,4324,b,1244
249 Bellevue/Overla*,4333,b,1249
249 Bellevue/Overla*,4336,b,1249
25 Laurelhurst-Lake*,4337,b,1025
250 Seattle/Overlak*,4340,b,1250
255 Seattle/Kirklan*,4344,b,1255
255 Seattle/Kirklan*,4348,b,1255
26 Latona,4352,p,1026
260 Seattle/Juanita*,4353,b,1260
265 Redmond/Seattle*,4354,b,1265
269 Issaquah Plateau,4357,b,1269
269 Issaquah Plateau,4358,b,1269
3 Route 3,4377,b,1003
3 Route 3,4378,b,1003
3 Route 3,4383,b,1003
3 Route 3,4384,b,1003
3 Route 3,4385,b,1003
301 Aurora Village-*,4388,b,1301
301 Aurora Village-*,4390,p,1301
301 Aurora Village-*,4391,p,1301
304 Richmond Beach *,4393,b,1304
309 Kenmore - S Lk *,4396,p,1309
312 Woodinville/Bot*,4403,p,1312
342 Renton/Shorelin*,4419,b,1342
373 Aurora Village *,4438,p,1373
4 Judkins / E QA,4439,b,1004
40 CBD-NGTC via Fre*,4456,b,1040
41 Lake City/Northg*,4460,b,1041
43 cbd/u-district,4467,b,1043
44 ballard/montlake,4471,b,1044
47 Summit,4474,b,1047
5 Greenwood/SCC/Nor*,4493,p,1005
540 Univ Dst-Kirklnd,4501,b,6540
55 W. Sea. Admiral *,4509,b,1055
550 Bellevue-Seattle,4511,b,6550
550 Bellevue-Seattle,4513,b,6550
550 Bellevue-Seattle,4514,b,6550
556 Issqh-UW-Northgt,4520,b,6556
57 Admiral Way/Gene*,4523,b,1057
601 Group Health Co*,4527,p,1601
62 SODO-Ballard Rev*,4531,b,1062
65 NTC to UW,4535,b,1065
66 5 & Main to NTC,4538,p,1066
67 Northgate to UW *,4544,b,1067
68 Northgate to UW *,4545,b,1068
68 Northgate to UW *,4551,b,1068
7 Route 7,4554,p,1007
74 Sandpoint/U-Dist*,4580,p,1074
75 UW - NTC - Balla*,4585,b,1075
76 Wedgwood Express,4588,b,1076
773 West Seattle Wa*,4591,b,1773
775 Water Taxi shut*,4592,b,1775
823 Cougar Mt/Newpo*,4597,b,1823
824 Newcastle/Facto*,4598,b,1824
887 Bellevue SD New*,4599,b,1887
888 Interlake High *,4600,b,1888
889 Sammamish HS/In*,4601,b,1889
893 911 For Lake Wa*,4604,b,1893
906 Southcenter/Fai*,4611,b,1906
917 Auburn/Algona/P*,4625,b,1917
930 Kingsgate/Redmo*,4632,b,1930
930 Kingsgate/Redmo*,4633,b,1930
987 Lakeside School*,4643,p,1987
989 Eastgate Lakesi*,4645,p,1989
99 Waterfront,4646,b,1099
99 Waterfront,4647,b,1099
994 Downtown/Magnol*,4648,p,1994
100 Gig Harbor SB,4791,b,2100
206 Pac Hwy-Till NB,4811,b,2206
300 S Tacoma Way SB,4827,b,2300
400 Puyllp-Tacoma WB,4831,b,2400
410 112th St EB,4838,b,2410
410 112th St WB,4840,b,2410
501 Miltn-Fed Way SB,4858,b,2501
51 Union Ave NB,4863,b,2051
53 University Plc WB,4869,b,2053
566 Kent-Overlake,4876,b,6566
577 FederalWay-Seat*,4888,b,6577
577 FederalWay-Seat*,4914,b,6577
KCFD SEA-VASHN PO NB,4937,f,5999
COMMTR RL SEA-TAC SB,4952,c,6998
Foot Ferry Annap-Bre,4955,f,4999
Foot Ferry Bre-Annap,4956,f,4999
KCFD E BAY WTR TX WB,4957,f,5999
KCFD E BAY WTR TX EB,4958,f,5999
110 Edmonds-MLT P&R,4968,b,3110
110 MLT P&R-Edmonds,4974,b,3110
desc needed,4980,b,6532
871 Edmonds P&R-UW,4990,b,3871
desc needed,5021,b,3230
270 Everett-Gold Bar,5025,b,3270
280 Everett-Lake Stv,5033,b,3280
106 Fletcher Bay EB,5105,b,4106
11 Crosstown Ltd WB,5111,b,4011
11 Crosstown Ltd WB,5112,b,4011
13 Parkwood East Ltd,5118,b,4013
20 Navy Yard City EB,5126,b,4020
24 Olympic Coll EB,5140,b,4024
24 Olympic College,5141,b,4024
32 Poulsbo-Silvrdale,5149,b,4032
33 Silvrdale-Bain EB,5150,b,4033
81 Annapolis Commutr,5163,b,4081
86 Southwrth Shtl EB,5166,b,4086
86 Southwrth Shtl EB,5167,b,4086
86 Southwrth Shtl WB,5170,b,4086
90 Bainbrdge-Poulsbo,5172,b,4090
90 Poulsbo-Bainbr EB,5179,b,4090
90 Poulsbo-Bainbr EB,5182,b,4090
Purdy Connection,5204,b,4999
12 Mall Circulator,5215,b,7012
3 Evt Stn-Casino Rd,5233,b,7003
6 Evt Stn-Harborfrnt,5237,b,7006
6 Harborfrnt-Evt Stn,5238,b,7006
14SEP-Weekday-40241*,5422,b,3417
101 Renton Transit *,4105,b,1101
102 Fairwood - Seat*,4107,b,1102
102 Fairwood - Seat*,4108,b,1102
106 Renton-Downtown*,4115,b,1106
110 Renton Shuttle,4123,b,1110
111 East Renton to *,4125,b,1111
113 Shorewood  Whit*,4127,b,1113
114 Renton Highland*,4128,b,1114
116 Fauntleroy Ferr*,4129,p,1116
118 Vashon Is--Tahl*,4132,b,1118
118 Vashon Is--Tahl*,4135,b,1118
119 Dockton,4136,b,1119
12 interlaken park,4141,b,1012
121 Normandy Park e*,4146,b,1121
121 Normandy Park e*,4147,b,1121
121 Normandy Park e*,4149,b,1121
122 Des moines expr*,4151,b,1122
123 Gregory Heights*,4153,b,1123
124 Tukwila - E Mar*,4156,b,1124
13 seattle pacific *,4163,b,1013
14 Mt Baker,4179,b,1014
140 Renton to Burien,4181,b,1140
140 Renton to Burien,4182,b,1140
143 Maple Valley & *,4184,p,1143
150 Kent-Southcente*,4188,b,1150
152 Enumclaw-Auburn*,4192,b,1152
153 Kent/Renton Shu*,4193,b,1153
154 Tukwila Station*,4195,b,1154
157 Lake Meridian P*,4198,b,1157
158 E. Kent--Lk. Me*,4199,b,1158
158 E. Kent--Lk. Me*,4200,b,1158
159 Kent-Kangley-Ti*,4201,b,1159
16 Meridian,4204,b,1016
161 Lk Meridian - S*,4206,b,1161
173 Federal Way to *,4218,b,1173
177 Federal Way P&R*,4219,b,1177
178 South Fed Way &*,4220,b,1178
179 Twin Lakes P&R *,4221,b,1179
180 Auburn  Kent  S*,4225,b,1180
186 Auburn/Enumclaw*,4235,b,1186
186 Auburn/Enumclaw*,4236,b,1186
187 Federal Way/Twi*,4238,b,1187
193 Star Lk. to Fir*,4245,p,1193
197 Twin Lakes P&R/*,4246,b,1197
2 Route 2,4249,b,1002
200 Issaquah Shuttle,4255,b,1200
203 Shorewood Van S*,4265,b,1203
209 Issaquah/North *,4272,b,1209
21 35  Av SW/Arbor *,4273,p,1021
210 Issaquah,4276,b,1210
211 Issa Hlnds PR\E*,4277,p,1211
212 Eastgate P & R *,4278,b,1212
214 Seattle - Issaq*,4280,b,1214
214 Seattle - Issaq*,4281,b,1214
215 N Bend  Seattle,4282,b,1215
216 Sammamish/CBD,4283,b,1216
218 Issaquah Highla*,4285,b,1218
219 913 Seattle Iss*,4286,b,1219
221 Eastgate\Redmond,4290,b,1221
226 BTC Crossroads *,4296,b,1226
232 Bellevue/Redmond,4298,b,1232
24 Magnolia via W G*,4311,b,1024
242 North Seattle t*,4322,b,1242
245 Factoria - Kirk*,4326,b,1245
252 Seattle/Kingsga*,4341,b,1252
255 Seattle/Kirklan*,4345,b,1255
257 Seattle/Juanita*,4349,b,1257
265 Redmond/Seattle*,4355,b,1265
268 Seattle/Bear Cr*,4356,b,1268
271 Issaquah to U D*,4363,b,1271
271 Issaquah to U D*,4365,b,1271
271 Issaquah to U D*,4368,b,1271
277 Totem Lake/U Di*,4369,b,1277
28 Broadview,4372,p,1028
3 Route 3,4379,b,1003
301 Aurora Village-*,4389,b,1301
303 Shoreline - NTC*,4392,p,1303
306 Kenmore tunnel *,4394,p,1306
308 Aurora Village *,4395,b,1308
31 Magnolia to Univ*,4399,b,1031
311 Seattle/Woodinv*,4401,b,1311
312 Woodinville/Bot*,4402,p,1312
316 Meridian Park e*,4404,b,1316
33 Ft Lawton,4408,b,1033
342 Renton/Shorelin*,4418,b,1342
355 Shoreline Comm *,4429,p,1355
36 Jefferson Park/R*,4432,b,1036
37 Alki,4434,p,1037
4 Judkins / E QA,4441,b,1004
4 Judkins / E QA,4442,b,1004
4 Judkins / E QA,4444,b,1004
4 Judkins / E QA,4448,b,1004
40 CBD-NGTC via Fre*,4452,b,1040
40 CBD-NGTC via Fre*,4455,b,1040
43 cbd/u-district,4461,b,1043
43 cbd/u-district,4464,b,1043
43 cbd/u-district,4465,b,1043
44 ballard/montlake,4468,b,1044
44 ballard/montlake,4472,b,1044
48 Loyal Heights/Mt*,4486,b,1048
49 CBD-Cap Hill-U D*,4488,b,1049
49 CBD-Cap Hill-U D*,4489,b,1049
49 CBD-Cap Hill-U D*,4491,b,1049
522 Wdnville-Seattle,4498,b,6522
522 Bothell-Seattle,4499,b,6522
542 Redmond-Univ Dst,4502,b,6542
545 Redmond to CBD *,4507,b,6545
554 Redm-Issaqah-Sea,4516,b,6554
555 Northgt-Issaquah,4519,b,6555
556 Issaquah/UW/NTC,4521,b,6556
56 Admiral Way/Alki,4522,b,1056
64 Lake City - CBD *,4532,p,1064
65 NTC to UW,4534,b,1065
7 Route 7,4552,b,1007
7 Route 7,4559,b,1007
71 View Ridge,4564,b,1071
72 Lake City,4569,b,1072
72 Lake City,4571,b,1072
73 Jackson Park,4573,b,1073
73 Jackson Park,4578,b,1073
75 UW - NTC - Balla*,4582,b,1075
