hhid expwt_initial expwt_final_3
14100203 160.6086 129.2889
14100204 160.6086 136.7530
14100205 160.6086 167.3235
14100206 160.6086 132.1684
14100207 160.6086 157.4742
14100208 160.6086 86.1577
14100209 160.6086 108.8993
14100210 160.6086 84.5317
14100211 224.9851 459.3357
14100212 224.9851 307.1527
14100213 224.9851 235.8108
14100214 224.9851 254.6753
14100215 113.6190 95.2442
14100216 113.6190 168.4641
14100217 113.6190 121.9057
14100218 87.2388 43.8205
14100219 144.4407 58.7912
14100220 87.2388 69.9710
14100221 87.2388 34.5170
14100222 144.4407 76.6637
14100223 144.4407 71.6716
14100224 144.4407 127.8278
14100225 144.4407 78.4430
14100226 144.4407 95.8219
14100227 144.4407 173.6301
14100228 144.4407 92.1602
14100229 144.4407 103.3545
14100230 87.2388 88.2853
14100231 87.2388 68.8004
14100232 144.4407 139.4704
14100233 71.0773 59.0830
14100234 144.4407 50.4836
14100235 87.2388 78.9028
14100236 87.2388 483.1500
14100237 144.4407 204.1461
14100238 144.4407 120.8995
14100239 144.4407 144.6984
14100240 144.4407 151.2160
14100241 144.4407 150.4796
14100242 144.4407 202.2099
14100243 144.4407 77.8829
14100244 144.4407 177.0540
14100245 144.4407 225.0519
14100246 144.4407 229.8388
14100247 158.6780 220.6939
14100248 158.6780 205.5457
14100249 158.6780 130.3226
14100250 71.0773 64.7202
14100251 71.0773 41.5433
14100252 71.0773 60.3118
14100253 71.0773 62.4370
14100254 71.0773 80.1510
14100255 71.0773 28.1225
14100256 71.0773 47.3389
14100257 71.0773 53.4587
14100258 87.2388 60.6880
14100259 71.0773 57.2391
14100260 71.0773 54.7623
14100261 71.0773 70.5976
14100262 71.0773 90.3517
14100264 71.0773 61.4777
14100265 71.0773 49.4452
14100266 71.0773 34.5268
14100267 151.6408 334.6221
14100268 71.0773 55.9335
14100269 151.6408 240.9528
14100270 71.0773 64.1736
14100271 71.0773 156.5609
14100272 151.6408 96.1472
14100273 151.6408 425.1024
14100274 151.6408 1372.9842
14100275 151.6408 205.3186
14100276 151.6408 114.5724
14100277 151.6408 79.1452
14100278 151.6408 71.9546
14100279 151.6408 304.9758
14100280 388.5321 166.8007
14100281 388.5321 210.7876
14100282 388.5321 192.7900
14100283 388.5321 249.8398
14100284 388.5321 203.0015
14100285 87.2388 22.3846
14100286 388.5321 196.5587
14100287 388.5321 244.1301
14100288 388.5321 300.4597
14100289 388.5321 169.2247
14100290 388.5321 723.6607
14100291 388.5321 321.6969
14100292 388.5321 203.4366
14100293 388.5321 275.3501
14100294 388.5321 469.4584
14100295 388.5321 248.2759
14100296 388.5321 503.0059
14100297 388.5321 204.8846
14100298 388.5321 620.5776
14100299 388.5321 552.0743
14100300 388.5321 294.1416
14100301 388.5321 277.0709
14100302 388.5321 204.7298
14100303 388.5321 99.3424
14100304 388.5321 260.5367
14100305 388.5321 613.3453
14100306 388.5321 82.5037
14100307 388.5321 106.5626
14100308 388.5321 653.1448
14100309 388.5321 785.4024
14100310 388.5321 689.8200
14100311 388.5321 654.7264
14100312 388.5321 1298.0113
14100313 388.5321 149.9307
14100314 388.5321 143.4517
14100315 388.5321 90.9042
14100316 388.5321 174.3465
14100317 388.5321 423.7492
14100318 388.5321 304.9823
14100319 388.5321 96.0957
14100320 388.5321 500.7004
14100321 388.5321 442.6738
14100322 388.5321 236.0467
14100323 388.5321 325.6777
14100324 388.5321 275.5614
14100325 388.5321 254.5841
14100326 388.5321 125.4627
14100327 388.5321 603.6001
14100328 388.5321 470.9766
14100329 71.0773 34.8193
14100330 388.5321 328.9520
14100331 388.5321 205.5491
14100332 388.5321 349.0833
14100333 388.5321 149.2685
14100334 388.5321 500.5286
14100335 388.5321 291.4608
14100336 388.5321 696.3660
14100337 388.5321 316.2245
14100338 388.5321 416.4104
14100339 388.5321 784.0661
14100340 388.5321 212.2612
14100341 388.5321 658.0208
14100342 388.5321 79.8111
14100343 388.5321 610.5574
14100344 388.5321 157.2556
14100345 388.5321 169.0954
14100346 327.1560 838.5474
14100347 327.1560 983.0761
14100348 327.1560 398.8367
14100349 327.1560 672.9700
14100350 381.6794 204.1635
14100351 381.6794 286.2524
14100352 381.6794 373.8861
14100353 381.6794 253.4042
14100354 381.6794 151.0157
14100355 381.6794 253.2196
14100356 381.6794 98.6554
14100357 381.6794 803.2969
14100358 144.4407 174.5514
14100359 381.6794 323.6363
14100360 381.6794 418.2697
14100361 381.6794 687.2050
14100362 381.6794 179.3397
14100363 381.6794 602.6968
14100364 381.6794 1503.4874
14100365 381.6794 1503.4874
14100366 381.6794 1569.6106
14100367 381.6794 1221.5044
14100368 381.6794 3744.4998
14100369 381.6794 657.1541
14100370 381.6794 383.7274
14100371 381.6794 1406.1758
14100372 381.6794 76.3359
14100373 381.6794 315.6103
14100374 381.6794 259.8673
14100375 381.6794 96.8481
14100376 381.6794 810.6920
14100377 381.6794 579.3755
14100378 381.6794 795.4963
14100379 381.6794 123.9667
14100380 381.6794 305.0469
14100381 381.6794 154.9704
14100382 381.6794 136.6159
14100383 381.6794 208.2010
14100384 388.5321 596.8658
14100385 381.6794 542.7239
14100386 381.6794 99.9861
14100387 94.2051 101.9235
14100388 94.2051 205.5556
14100389 160.6086 65.8006
14100390 77.2094 41.9309
14100391 77.2094 63.8867
14100392 160.6086 63.5466
14100393 160.6086 90.7189
14100394 160.6086 176.1298
14100395 77.2094 83.1512
14100396 77.2094 33.3248
14100397 77.2094 62.6442
14100398 77.2094 31.4778
14100399 77.2094 27.0103
14100400 77.2094 27.0345
14100401 77.2094 135.4947
14100402 77.2094 49.0860
14100403 77.2094 92.3823
14100404 77.2094 69.3129
14100405 77.2094 94.5032
14100406 77.2094 78.1040
14100407 388.5321 576.1206
14100408 77.2094 94.9298
14100409 160.6086 52.5233
14100410 160.6086 67.5490
14100411 160.6086 144.1825
14100412 94.2051 128.4014
14100413 113.6190 129.9491
14100414 224.9851 382.6605
14100415 381.6794 613.5326
14100416 381.6794 607.3409
14100417 381.6794 147.5707
14100418 381.6794 156.7329
14100419 381.6794 194.5819
14100420 381.6794 297.6427
14100421 381.6794 359.6281
14100422 381.6794 462.1070
14100423 381.6794 524.1221
14100424 381.6794 364.8058
14100425 381.6794 323.7295
14100426 381.6794 101.9181
14100427 381.6794 428.0738
14100428 381.6794 183.1510
14100429 381.6794 365.0706
14100430 381.6794 1420.5231
14100431 381.6794 594.9428
14100432 381.6794 77.6875
14100433 381.6794 232.6064
14100434 381.6794 706.5866
14100435 381.6794 240.4428
14100436 381.6794 300.3582
14100437 381.6794 438.3669
14100438 381.6794 97.3473
14100439 381.6794 107.4506
14100440 327.1560 212.7387
14100441 327.1560 67.9338
14100442 327.1560 164.0600
14100444 388.5321 233.0831
14100445 388.5321 233.3518
14100446 388.5321 123.5741
14100447 388.5321 1196.7268
14100448 388.5321 185.5395
14100449 388.5321 657.8338
14100450 388.5321 152.1017
14100451 388.5321 306.0363
14100452 388.5321 392.2517
14100453 388.5321 416.4104
14100454 388.5321 396.2894
14100455 388.5321 341.4803
14100456 388.5321 269.6738
14100457 388.5321 300.1475
14100458 388.5321 203.6854
14100459 388.5321 129.4182
14100460 388.5321 153.0140
14100461 388.5321 406.2446
14100462 388.5321 410.1956
14100463 388.5321 922.6859
14100464 381.6794 1031.4047
14100465 388.5321 300.6461
14100466 388.5321 202.6829
14100467 388.5321 768.7332
14100469 388.5321 141.3730
14100470 388.5321 286.4044
14100471 388.5321 555.5551
14100472 388.5321 1175.2190
14100473 388.5321 130.5455
14100474 388.5321 299.5447
14100475 388.5321 499.4954
14100476 388.5321 273.3607
14100477 388.5321 612.5891
14100478 388.5321 838.3988
14100479 388.5321 721.2830
14100480 388.5321 80.9721
14100481 388.5321 399.1463
14100482 388.5321 110.3450
14100483 388.5321 909.7793
14100484 388.5321 924.3569
14100485 388.5321 79.0823
14100486 388.5321 392.4914
14100487 388.5321 1192.8373
14100488 388.5321 3885.3210
14100489 388.5321 236.7826
14100490 388.5321 1899.0576
14100491 388.5321 219.1571
14100492 388.5321 677.0894
14100493 388.5321 371.3213
14100494 388.5321 488.1830
14100495 388.5321 449.8968
14100496 388.5321 488.1830
14100497 388.5321 182.7291
14100498 388.5321 443.5331
14100499 388.5321 540.3816
14100500 388.5321 364.0161
14100501 388.5321 1161.3797
14100502 388.5321 789.8789
14100503 388.5321 100.4266
14100504 388.5321 97.1886
14100505 388.5321 218.7203
14100506 144.4407 60.2424
14100507 388.5321 262.2749
14100508 388.5321 243.5429
14100509 388.5321 169.1708
14100510 388.5321 255.8863
14100511 388.5321 183.3698
14100512 151.6408 69.4769
14100513 151.6408 93.2978
14100514 151.6408 289.2478
14100515 151.6408 148.5147
14100516 151.6408 184.2787
14100517 151.6408 158.2176
14100518 388.5321 261.0847
14100519 71.0773 75.0081
14100520 71.0773 50.2276
14100521 151.6408 76.2931
14100522 71.0773 68.6315
14100523 71.0773 74.8277
14100524 71.0773 71.9300
14100525 71.0773 49.4452
14100526 71.0773 90.0079
14100527 71.0773 51.6038
14100528 71.0773 25.0052
14100529 71.0773 34.5268
14100530 151.6408 966.3215
14100531 71.0773 48.1891
14100532 71.0773 49.3918
14100533 71.0773 38.6007
14100534 71.0773 58.8653
14100535 71.0773 105.3944
14100536 71.0773 69.5764
14100537 151.6408 59.9984
14100538 71.0773 47.1777
14100539 71.0773 81.5452
14100540 71.0773 38.1100
14100541 71.0773 40.0123
14100542 151.6408 152.0682
14100543 71.0773 62.5922
14100544 158.6780 242.2778
14100545 158.6780 74.3217
14100546 158.6780 114.0657
14100547 144.4407 124.8956
14100548 144.4407 53.1264
14100549 144.4407 87.9501
14100550 151.6408 210.9064
14100551 224.9851 277.5422
14100552 144.4407 143.6928
14100553 144.4407 96.6293
14100554 144.4407 28.8881
14100555 144.4407 41.4904
14100556 144.4407 159.9315
14100557 87.2388 41.0548
14100558 87.2388 109.7697
14100559 144.4407 160.1099
14100560 87.2388 71.2378
14100561 144.4407 72.0879
14100562 144.4407 165.7132
14100563 144.4407 158.5941
14100564 87.2388 91.4002
14100565 144.4407 62.0098
14100566 144.4407 90.7116
14100567 144.4407 62.9473
14100568 144.4407 81.4925
14100569 144.4407 87.2654
14100570 144.4407 106.5607
14100571 144.4407 122.5928
14100572 144.4407 151.3307
14100573 144.4407 65.9695
14100574 113.6190 171.8760
14100575 113.6190 225.9717
14100576 224.9851 199.9952
14100577 224.9851 312.7327
14100578 388.5321 409.1384
14100579 224.9851 230.2899
14100580 160.6086 159.4806
14100581 160.6086 68.8386
14100582 160.6086 72.0246
14100583 160.6086 154.3961
14100584 160.6086 254.9897
14100585 160.6086 308.0212
14100586 160.6086 167.5766
14100587 160.6086 238.0368
14100588 160.6086 171.2434
14100589 160.6086 1549.5866
14100590 160.6086 361.0535
14100591 160.6086 207.8590
14100592 160.6086 70.4544
14100593 160.6086 146.3455
14100594 381.6794 198.9778
14100595 77.2094 53.3569
14100596 77.2094 52.5313
14100597 77.2094 121.6337
14100598 77.2094 142.0433
14100599 77.2094 100.4631
14100600 77.2094 61.2517
14100601 77.2094 51.0684
14100602 160.6086 152.6433
14100603 160.6086 166.8958
14100604 160.6086 216.9036
14100605 160.6086 630.0410
14100606 160.6086 414.3710
14100607 160.6086 139.5438
14100608 160.6086 157.2977
14100609 160.6086 193.2045
14100610 160.6086 109.0124
14100611 160.6086 81.7430
14100612 160.6086 169.6211
14100613 160.6086 93.4961
14100614 160.6086 162.4814
14100615 160.6086 360.6871
14100616 160.6086 51.1857
14100617 160.6086 1606.0860
14100618 160.6086 196.9084
14100619 160.6086 129.4881
14100620 160.6086 179.6947
14100621 160.6086 195.1767
14100622 160.6086 93.6768
14100623 160.6086 256.9761
14100624 71.0773 46.2191
14100625 77.2094 76.6883
14100626 77.2094 121.6337
14100627 77.2094 78.4982
14100628 77.2094 72.0321
14100629 77.2094 38.0116
14100630 160.6086 790.7905
14100631 160.6086 181.3085
14100632 77.2094 318.2398
14100633 77.2094 170.0679
14100634 160.6086 215.7616
14100635 160.6086 195.5531
14100636 160.6086 97.8795
14100637 160.6086 1480.9760
14100638 160.6086 236.6384
14100639 160.6086 76.8552
14100641 160.6086 361.7806
14100642 160.6086 215.7643
14100643 160.6086 132.5947
14100644 224.9851 126.6505
14100645 224.9851 216.0636
14100646 224.9851 177.3819
14100647 224.9851 103.4239
14100648 224.9851 164.9512
14100649 224.9851 184.7808
14100650 113.6190 122.8119
14100651 113.6190 99.0944
14100652 113.6190 214.8305
14100653 144.4407 144.3471
14100654 144.4407 84.4228
14100655 144.4407 151.8938
14100656 144.4407 84.1564
14100657 87.2388 48.7208
14100658 87.2388 52.2172
14100659 144.4407 71.6716
14100660 144.4407 236.7105
14100661 144.4407 131.5219
14100662 144.4407 100.3723
14100663 144.4407 97.7961
14100664 87.2388 56.7284
14100665 144.4407 145.5294
14100666 144.4407 119.1467
14100667 87.2388 69.2082
14100668 144.4407 200.8923
14100669 144.4407 75.2669
14100670 144.4407 93.1677
14100671 151.6408 152.0682
14100672 151.6408 103.8141
14100673 151.6408 132.0018
14100674 151.6408 146.4227
14100675 71.0773 103.5161
14100676 151.6408 107.9974
14100677 151.6408 102.8096
14100678 71.0773 46.1888
14100679 71.0773 58.1981
14100680 71.0773 107.8285
14100681 71.0773 45.4884
14100682 71.0773 46.0900
14100683 151.6408 116.5447
14100684 71.0773 93.5137
14100685 71.0773 51.4131
14100686 71.0773 74.8277
14100687 71.0773 108.0143
14100688 71.0773 46.2191
14100689 71.0773 79.1727
14100690 71.0773 81.5452
14100691 71.0773 68.6315
14100692 71.0773 29.0346
14100693 388.5321 540.4307
14100694 71.0773 38.1007
14100695 71.0773 57.5978
14100696 71.0773 37.9301
14100697 151.6408 569.3576
14100698 151.6408 163.0488
14100699 151.6408 1112.3691
14100700 151.6408 104.3892
14100701 151.6408 1448.7447
14100702 151.6408 179.0898
14100703 388.5321 653.4837
14100704 151.6408 36.7116
14100705 388.5321 133.9342
14100706 388.5321 222.5269
14100707 388.5321 153.2535
14100708 388.5321 143.2631
14100709 388.5321 248.6547
14100710 87.2388 65.3273
14100711 388.5321 354.6615
14100712 388.5321 420.7504
14100713 388.5321 236.9129
14100714 388.5321 875.1634
14100715 388.5321 170.3417
14100716 388.5321 472.4743
14100717 388.5321 92.0075
14100718 388.5321 212.6670
14100719 388.5321 723.3062
14100720 388.5321 557.6325
14100721 388.5321 218.7158
14100722 388.5321 99.1957
14100723 388.5321 436.9504
14100724 388.5321 780.8778
14100725 388.5321 219.6613
14100726 388.5321 561.1527
14100727 388.5321 673.8739
14100728 151.6408 113.4134
14100729 388.5321 99.0217
14100730 388.5321 206.4124
14100731 388.5321 873.4332
14100732 388.5321 81.8725
14100733 388.5321 80.6201
14100734 388.5321 202.1750
14100735 388.5321 82.9744
14100736 388.5321 197.7615
14100737 388.5321 99.6741
14100738 388.5321 1096.6374
14100739 388.5321 119.7864
14100740 388.5321 235.0791
14100741 388.5321 659.0770
14100742 388.5321 468.9894
14100743 388.5321 238.4340
14100744 388.5321 148.4049
14100745 388.5321 292.7496
14100746 388.5321 182.9929
14100747 388.5321 140.7337
14100748 388.5321 485.8131
14100749 388.5321 672.4447
14100750 388.5321 236.6752
14100751 388.5321 254.2359
14100752 388.5321 824.3922
14100753 388.5321 493.8412
14100754 388.5321 293.5758
14100755 388.5321 139.0687
14100756 388.5321 159.1097
14100757 388.5321 230.3036
14100758 388.5321 193.3262
14100759 388.5321 413.6894
14100760 388.5321 1112.1660
14100761 388.5321 244.7366
14100762 388.5321 80.9695
14100763 388.5321 95.5744
14100764 388.5321 308.9035
14100765 388.5321 163.3258
14100766 388.5321 1670.2710
14100767 388.5321 480.8161
14100768 388.5321 707.9689
14100769 327.1560 328.0781
14100770 327.1560 1904.3613
14100771 327.1560 1276.0634
14100772 327.1560 319.4980
14100773 327.1560 602.2568
14100774 327.1560 229.7490
14100776 327.1560 1181.1822
14100777 381.6794 800.3166
14100778 381.6794 335.2815
14100779 381.6794 599.6307
14100780 381.6794 76.3359
14100781 381.6794 97.9352
14100782 388.5321 344.0245
14100783 381.6794 1362.9063
14100784 381.6794 316.2946
14100785 381.6794 532.8244
14100786 381.6794 2961.9232
14100787 381.6794 76.4139
14100788 381.6794 602.6968
14100789 381.6794 501.7191
14100790 381.6794 553.6175
14100791 381.6794 203.1534
14100792 381.6794 191.2394
14100793 381.6794 191.2394
14100794 381.6794 551.9960
14100795 381.6794 517.8994
14100796 381.6794 254.1134
14100797 381.6794 222.6188
14100798 381.6794 477.1785
14100799 388.5321 275.8896
14100800 381.6794 150.0953
14100801 381.6794 186.9920
14100802 381.6794 855.0966
14100803 381.6794 601.3007
14100804 388.5321 120.8380
14100805 94.2051 184.7686
14100806 94.2051 79.5627
14100807 160.6086 109.7124
14100808 94.2051 108.9343
14100809 94.2051 67.7194
14100810 160.6086 263.2066
14100811 77.2094 77.4270
14100812 77.2094 120.2440
14100813 160.6086 208.9117
14100814 77.2094 114.4871
14100815 77.2094 51.1137
14100816 77.2094 94.5032
14100817 77.2094 120.2440
14100818 77.2094 121.9556
14100819 160.6086 87.5852
14100820 77.2094 30.9852
14100821 77.2094 57.3419
14100822 77.2094 77.0078
14100823 77.2094 63.3242
14100824 77.2094 77.0078
14100825 160.6086 277.8961
14100826 160.6086 71.1166
14100827 160.6086 77.6253
14100828 160.6086 164.1722
14100829 77.2094 45.1077
14100830 77.2094 50.1797
14100832 381.6794 849.3348
14100833 381.6794 145.9538
14100834 381.6794 84.3905
14100835 381.6794 261.9136
14100836 381.6794 766.9633
14100837 381.6794 160.7959
14100838 381.6794 180.4792
14100839 381.6794 428.8527
14100840 381.6794 878.7385
14100841 381.6794 269.2810
14100842 381.6794 230.6644
14100843 381.6794 257.5613
14100844 381.6794 373.8111
14100845 381.6794 620.8719
14100846 381.6794 161.7541
14100847 381.6794 147.6405
14100848 381.6794 205.7181
14100849 381.6794 183.2427
14100850 381.6794 224.7576
14100851 381.6794 928.3370
14100852 381.6794 641.6250
14100853 381.6794 595.5698
14100854 151.6408 269.2309
14100855 381.6794 366.9158
14100857 381.6794 437.9976
14100858 381.6794 76.3359
14100859 381.6794 1282.3789
14100860 381.6794 683.2147
14100861 381.6794 494.9713
14100862 381.6794 745.3496
14100863 381.6794 108.6775
14100864 71.0773 182.1812
14100865 381.6794 399.2492
14100866 381.6794 157.2559
14100867 381.6794 214.8626
14100868 381.6794 207.2828
14100869 327.1560 741.8985
14100870 327.1560 1202.5069
14100871 327.1560 408.2451
14100872 388.5321 178.2535
14100873 388.5321 171.6396
14100874 388.5321 138.9315
14100875 388.5321 602.9696
14100876 388.5321 280.3140
14100877 388.5321 80.0640
14100878 388.5321 227.9741
14100879 388.5321 259.2282
14100880 388.5321 496.4934
14100881 388.5321 168.0791
14100882 388.5321 591.3336
14100883 388.5321 258.7454
14100884 388.5321 446.9974
14100885 388.5321 820.3933
14100886 388.5321 292.2471
14100887 388.5321 198.7064
14100888 388.5321 344.5473
14100889 388.5321 77.7064
14100890 388.5321 184.2754
14100891 388.5321 606.9042
14100892 388.5321 251.5309
14100893 388.5321 321.3348
14100894 388.5321 283.9359
14100895 388.5321 212.3439
14100896 388.5321 279.3410
14100897 388.5321 648.6182
14100898 388.5321 337.3549
14100899 388.5321 315.8285
14100900 388.5321 582.3909
14100902 388.5321 271.3016
14100903 388.5321 305.7180
14100904 388.5321 358.9855
14100905 388.5321 1015.3583
14100906 388.5321 554.8357
14100907 388.5321 278.8429
14100908 388.5321 456.2209
14100909 388.5321 217.3623
14100910 388.5321 846.0343
14100911 388.5321 80.6786
14100912 388.5321 80.5136
14100913 388.5321 2721.5415
14100914 388.5321 843.8467
14100915 388.5321 426.0483
14100916 388.5321 390.6169
14100917 388.5321 453.8196
14100918 388.5321 204.2371
14100919 388.5321 339.7123
14100920 388.5321 218.7158
14100921 388.5321 255.5745
14100922 388.5321 148.1772
14100923 388.5321 675.1243
14100924 388.5321 161.1702
14100925 388.5321 155.3033
14100926 388.5321 279.0577
14100927 388.5321 164.2707
14100928 388.5321 729.6196
14100929 388.5321 145.4733
14100930 388.5321 297.9559
14100931 388.5321 150.4382
14100932 388.5321 572.8229
14100933 87.2388 98.1131
14100934 388.5321 219.2073
14100935 388.5321 354.6615
14100936 388.5321 276.7095
14100937 388.5321 196.7025
14100938 388.5321 158.1428
14100939 151.6408 83.7353
14100940 151.6408 489.5959
14100941 151.6408 109.5070
14100942 151.6408 31.1832
14100943 151.6408 201.1661
14100944 151.6408 87.6761
14100945 71.0773 19.8199
14100946 71.0773 61.4777
14100947 71.0773 79.1727
14100948 71.0773 26.8635
14100949 71.0773 48.3051
14100950 71.0773 55.4402
14100951 71.0773 60.0602
14100952 71.0773 73.1023
14100953 71.0773 64.2820
14100954 71.0773 48.9302
14100955 71.0773 36.9205
14100956 71.0773 72.6277
14100957 71.0773 87.9326
14100958 71.0773 78.7879
14100959 151.6408 109.6879
14100960 151.6408 66.5095
14100961 77.2094 120.2440
14100962 71.0773 57.0085
14100963 71.0773 72.6544
14100964 151.6408 166.1467
14100965 71.0773 90.0079
14100966 71.0773 47.3611
14100967 151.6408 102.8096
14100968 158.6780 580.9842
14100969 158.6780 130.3226
14100970 158.6780 126.5715
14100971 158.6780 1569.1020
14100972 144.4407 81.7082
14100973 144.4407 109.3501
14100974 144.4407 75.1606
14100975 144.4407 58.5315
14100976 87.2388 71.2378
14100977 144.4407 163.0737
14100978 71.0773 32.0528
14100979 144.4407 41.1273
14100980 87.2388 159.8243
14100981 144.4407 79.0611
14100982 87.2388 60.6880
14100983 87.2388 100.0869
14100984 144.4407 133.4738
14100985 144.4407 295.6530
14100986 144.4407 145.5294
14100987 144.4407 156.0818
14100988 87.2388 114.0092
14100989 144.4407 100.4806
14100990 87.2388 75.9405
14100991 144.4407 140.9871
14100992 144.4407 103.3545
14100993 144.4407 125.7341
14100994 144.4407 144.8478
14100995 144.4407 84.1564
14100996 87.2388 127.0535
14100997 144.4407 139.9180
14100998 144.4407 82.7266
14100999 87.2388 127.0535
14101000 144.4407 81.4925
14101001 144.4407 81.6843
14101002 144.4407 55.2252
14101003 144.4407 94.0366
