day,dow,fhtours,hdexpfac,hhno,jttours,phtours
1,3,0,176.75,3751,0,0
2,4,0,176.75,3751,0,0
1,1,0,184.6,3758,0,0
2,2,0,184.6,3758,0,0
1,1,1,95.25,3765,0,0
2,2,1,95.25,3765,0,0
1,1,0,76.88,3769,0,0
2,2,0,76.88,3769,0,0
1,1,0,165.21,3783,0,0
2,2,0,165.21,3783,0,0
1,2,0,439.95,3785,0,0
2,3,0,439.95,3785,0,0
1,1,2,147.8,3793,0,0
2,2,2,147.8,3793,0,0
1,1,0,68.17,3794,0,0
2,2,0,68.17,3794,0,0
1,1,0,68.99,3812,1,0
2,2,0,68.99,3812,2,0
1,1,0,108.96,3815,0,0
2,2,0,108.96,3815,0,0
1,1,0,132.38,3817,0,0
2,2,0,132.38,3817,1,0
1,1,0,218.29,3820,0,0
2,2,0,218.29,3820,0,0
1,1,3,199.73,3821,2,0
2,2,1,199.73,3821,2,0
1,1,0,93.22,3835,0,0
2,2,0,93.22,3835,0,0
1,1,0,49.18,3872,0,0
2,2,0,49.18,3872,0,0
1,1,1,208.39,3880,0,0
2,2,2,208.39,3880,1,0
1,1,0,138.85,3899,2,0
2,2,0,138.85,3899,0,0
1,1,0,128.05,3901,0,0
2,2,0,128.05,3901,0,0
1,1,4,208.71,3913,2,0
2,2,2,208.71,3913,4,0
1,2,0,117.49,3914,0,0
2,3,0,117.49,3914,0,0
1,1,0,58.77,3932,0,0
2,2,0,58.77,3932,0,0
1,3,1,188.58,3952,2,0
2,4,1,188.58,3952,0,0
1,1,0,216.17,3957,0,0
2,2,0,216.17,3957,0,0
1,1,0,95.87,3984,0,0
2,2,0,95.87,3984,0,0
1,1,0,88.0,4007,0,0
2,2,0,88.0,4007,0,0
1,1,0,47.38,4008,0,0
2,2,0,47.38,4008,0,0
1,1,0,38.74,4015,0,0
2,2,0,38.74,4015,0,0
1,1,0,191.59,4017,0,0
2,2,0,191.59,4017,0,0
1,1,0,210.74,4030,0,0
2,2,0,210.74,4030,0,0
1,1,0,56.53,4070,0,0
2,2,0,56.53,4070,0,0
1,2,0,1111.53,4090,0,0
2,3,0,1111.53,4090,0,0
1,1,0,46.67,4095,0,0
2,2,0,46.67,4095,0,0
1,1,1,213.84,4101,1,0
2,2,1,213.84,4101,0,0
1,1,0,173.99,4106,0,0
2,2,0,173.99,4106,0,0
1,1,0,161.29,4110,2,0
2,2,0,161.29,4110,0,0
1,1,0,88.17,4125,2,0
2,2,0,88.17,4125,0,0
1,1,0,60.83,4135,0,0
2,2,0,60.83,4135,1,0
1,1,0,115.96,4136,0,0
2,2,0,115.96,4136,0,0
1,3,0,104.43,4151,0,0
2,4,0,104.43,4151,0,0
1,2,0,44.29,4172,0,0
2,3,0,44.29,4172,0,0
1,1,0,217.46,4186,1,0
2,2,0,217.46,4186,1,0
1,1,0,198.15,4188,1,0
2,2,0,198.15,4188,0,0
1,1,0,133.93,4229,0,0
2,2,0,133.93,4229,1,0
1,1,0,121.22,4241,0,0
2,2,0,121.22,4241,0,0
1,1,0,43.77,4257,0,0
2,2,0,43.77,4257,0,0
1,1,0,126.61,4259,0,0
2,2,0,126.61,4259,0,0
1,1,0,78.86,4291,0,0
2,2,0,78.86,4291,0,0
1,1,0,239.07,4298,0,0
2,2,0,239.07,4298,0,0
1,1,0,99.74,4308,0,0
2,2,0,99.74,4308,0,0
1,1,0,67.46,4334,0,0
2,2,0,67.46,4334,0,0
1,1,0,97.15,4361,0,0
2,2,0,97.15,4361,0,0
1,1,0,429.51,4363,0,0
2,2,0,429.51,4363,0,0
1,1,0,117.86,4364,0,0
2,2,0,117.86,4364,0,0
1,1,0,100.75,4368,0,0
2,2,0,100.75,4368,0,0
1,1,0,47.69,4371,0,0
2,2,1,47.69,4371,0,0
1,1,0,47.69,4413,0,0
2,2,0,47.69,4413,0,0
1,1,0,34.5,4420,0,0
2,2,0,34.5,4420,0,0
1,1,0,153.97,4435,0,0
2,2,0,153.97,4435,1,0
1,1,0,141.52,4437,0,0
2,2,0,141.52,4437,0,0
1,1,0,366.37,4457,0,1
2,2,0,366.37,4457,0,1
1,1,0,244.4,4464,1,0
2,2,0,244.4,4464,0,0
1,1,2,129.04,4466,0,0
2,2,2,129.04,4466,1,0
1,1,0,151.36,4474,0,0
2,2,0,151.36,4474,0,0
1,1,0,208.71,4492,1,0
2,2,0,208.71,4492,1,0
1,2,0,126.79,4496,2,0
2,3,0,126.79,4496,1,0
1,1,0,144.24,4508,3,0
2,2,0,144.24,4508,0,0
1,1,0,123.96,4511,0,0
2,2,0,123.96,4511,0,0
1,1,0,108.13,4520,0,0
2,2,0,108.13,4520,0,0
1,1,0,21.12,4526,0,0
2,2,0,21.12,4526,0,0
1,1,0,45.9,4546,0,0
2,2,0,45.9,4546,0,0
1,1,0,192.46,4550,3,0
2,2,0,192.46,4550,2,0
1,1,0,49.18,4552,0,0
2,2,0,49.18,4552,0,0
1,1,0,151.85,4557,0,0
2,2,0,151.85,4557,0,0
1,1,2,264.04,4570,3,0
2,2,1,264.04,4570,0,1
1,1,0,296.77,4578,0,0
2,2,0,296.77,4578,0,0
1,1,0,117.31,4585,0,0
2,2,0,117.31,4585,0,0
1,1,0,477.73,4616,0,0
2,2,0,477.73,4616,0,0
1,1,0,199.77,4625,0,0
2,2,0,199.77,4625,0,0
1,1,0,56.17,4627,0,0
2,2,0,56.17,4627,0,0
1,1,0,40.78,4629,2,0
2,2,0,40.78,4629,1,0
1,1,0,337.14,4634,0,1
2,2,1,337.14,4634,1,0
1,1,0,115.46,4636,0,1
2,2,0,115.46,4636,0,1
1,1,0,393.64,4638,1,0
2,2,0,393.64,4638,1,0
1,1,0,165.48,4645,0,0
2,2,0,165.48,4645,0,0
1,3,0,162.59,4648,0,0
2,4,0,162.59,4648,0,0
1,1,0,210.25,4670,0,0
2,2,0,210.25,4670,0,0
1,1,0,271.83,4671,0,0
2,2,0,271.83,4671,0,0
1,2,0,219.38,4688,0,0
2,3,0,219.38,4688,0,0
1,2,0,54.54,4692,0,0
2,3,0,54.54,4692,0,0
1,2,0,62.08,4700,0,0
2,3,0,62.08,4700,0,0
1,2,0,51.03,4709,1,1
2,3,0,51.03,4709,0,0
1,2,4,212.87,4721,0,0
2,3,4,212.87,4721,0,0
1,2,0,181.87,4739,0,0
2,3,0,181.87,4739,1,0
1,2,2,119.85,4754,0,2
2,3,2,119.85,4754,1,2
1,2,0,32.11,4773,2,0
2,3,0,32.11,4773,1,0
1,2,0,23.2,4793,0,0
2,3,0,23.2,4793,0,0
1,2,0,68.4,4797,0,0
2,3,0,68.4,4797,0,0
1,1,2,131.21,4822,1,0
2,2,2,131.21,4822,1,0
1,2,0,78.18,4830,0,0
2,3,0,78.18,4830,0,0
1,1,2,349.96,4846,0,0
2,2,2,349.96,4846,0,0
1,2,0,168.35,4853,0,0
2,3,0,168.35,4853,0,0
1,3,0,199.77,4869,0,0
2,4,0,199.77,4869,0,0
1,1,0,90.14,4871,0,0
2,2,0,90.14,4871,0,0
1,2,0,156.57,4883,0,0
2,3,0,156.57,4883,0,0
1,2,0,334.54,4897,0,0
2,3,0,334.54,4897,0,0
1,1,0,63.94,4904,2,0
2,2,0,63.94,4904,1,0
1,2,0,97.38,4914,0,0
2,3,0,97.38,4914,0,0
1,2,0,168.35,4918,0,0
2,3,0,168.35,4918,0,0
1,2,0,124.86,4935,0,2
2,3,0,124.86,4935,0,2
1,2,0,198.15,4947,0,0
2,3,0,198.15,4947,0,0
1,2,0,78.07,4950,0,0
2,3,0,78.07,4950,0,0
1,3,0,525.45,4962,1,0
2,4,0,525.45,4962,1,0
1,1,0,68.85,4965,0,0
2,2,0,68.85,4965,0,0
1,2,0,151.07,4977,0,0
2,3,0,151.07,4977,0,0
1,2,0,78.04,4978,0,0
2,3,0,78.04,4978,0,0
1,2,0,49.18,5017,0,0
2,3,0,49.18,5017,0,0
1,2,0,35.28,5023,0,0
2,3,0,35.28,5023,0,0
1,2,0,35.53,5031,0,0
2,3,0,35.53,5031,0,0
1,2,0,125.07,5036,2,0
2,3,0,125.07,5036,1,0
1,2,0,46.29,5073,0,0
2,3,0,46.29,5073,0,0
1,2,0,175.56,5079,0,0
2,3,0,175.56,5079,0,0
1,2,2,85.96,5098,0,0
2,3,2,85.96,5098,0,0
1,2,0,597.15,5102,0,0
2,3,0,597.15,5102,0,0
1,2,0,72.17,5105,0,0
2,3,0,72.17,5105,0,0
1,2,0,156.51,5112,0,0
2,3,0,156.51,5112,0,0
1,2,0,114.79,5118,0,0
2,3,0,114.79,5118,0,0
1,2,0,213.84,5120,0,2
2,3,1,213.84,5120,0,1
1,2,0,56.17,5134,0,0
2,3,0,56.17,5134,0,0
1,2,0,129.29,5136,0,0
2,3,0,129.29,5136,0,0
1,2,0,210.25,5137,0,0
2,3,0,210.25,5137,0,0
1,2,1,420.04,5138,2,0
2,3,2,420.04,5138,2,0
1,2,0,238.63,5139,0,0
2,3,0,238.63,5139,0,0
1,2,1,59.25,5174,1,0
2,3,1,59.25,5174,0,0
1,2,0,68.11,5189,0,0
2,3,0,68.11,5189,0,0
1,3,0,126.82,5194,0,0
2,4,0,126.82,5194,0,0
1,1,0,62.08,5197,0,0
2,2,0,62.08,5197,0,0
1,2,0,132.65,5221,0,0
2,3,0,132.65,5221,0,0
1,2,0,71.25,5229,0,0
2,3,0,71.25,5229,0,0
1,2,0,211.95,5240,3,0
2,3,0,211.95,5240,4,0
1,2,0,69.49,5241,1,0
2,3,0,69.49,5241,0,0
1,2,0,199.88,5245,0,0
2,3,0,199.88,5245,0,0
1,3,0,41.0,5249,0,0
2,4,0,41.0,5249,0,0
1,1,0,58.74,5254,0,0
2,2,0,58.74,5254,0,0
1,3,0,174.18,5265,0,0
2,4,0,174.18,5265,0,0
1,2,0,75.01,5269,0,0
2,3,0,75.01,5269,0,0
1,2,0,86.81,5275,0,0
2,3,0,86.81,5275,0,0
1,2,0,60.46,5277,0,0
2,3,0,60.46,5277,0,0
1,2,0,213.84,5329,0,0
2,3,0,213.84,5329,0,0
1,2,0,323.68,5365,0,0
2,3,0,323.68,5365,0,0
1,2,0,275.04,5372,0,0
2,3,0,275.04,5372,0,0
1,2,0,72.97,5378,0,0
2,3,0,72.97,5378,0,0
1,2,0,191.59,5387,0,0
2,3,0,191.59,5387,0,0
1,1,0,253.2,5390,0,2
2,2,0,253.2,5390,0,2
1,2,0,191.59,5406,0,0
2,3,0,191.59,5406,1,0
1,2,0,139.18,5408,0,0
2,3,0,139.18,5408,0,0
1,2,0,186.15,5412,4,0
2,3,0,186.15,5412,2,0
1,2,0,242.43,5414,0,0
2,3,0,242.43,5414,0,0
1,2,0,125.48,5419,0,0
2,3,0,125.48,5419,0,0
1,2,0,188.58,5420,0,0
2,3,0,188.58,5420,0,0
1,1,0,69.1,5431,0,0
2,2,0,69.1,5431,0,0
1,1,0,103.69,5443,0,0
2,2,0,103.69,5443,0,0
1,2,0,258.17,5445,0,0
2,3,0,258.17,5445,1,0
1,2,0,164.82,5447,0,0
2,3,0,164.82,5447,0,0
1,2,0,528.12,5456,0,0
2,3,0,528.12,5456,0,0
1,2,1,142.98,5462,1,2
2,3,1,142.98,5462,0,1
1,2,0,134.13,5511,0,0
2,3,0,134.13,5511,0,0
1,1,0,42.13,5527,0,0
2,2,0,42.13,5527,0,0
1,1,0,199.46,5546,0,0
2,2,0,199.46,5546,1,0
1,2,0,66.7,5547,0,0
2,3,0,66.7,5547,0,0
1,1,0,156.55,5555,2,0
2,2,0,156.55,5555,1,0
1,2,1,114.18,5565,0,1
2,3,1,114.18,5565,0,1
1,2,1,44.13,5574,0,0
2,3,0,44.13,5574,0,0
1,2,0,17.15,5586,0,0
2,3,0,17.15,5586,0,0
1,2,0,161.78,5592,0,0
2,3,0,161.78,5592,0,0
1,2,0,134.13,5593,0,0
2,3,0,134.13,5593,0,0
1,2,0,44.9,5596,0,0
2,3,0,44.9,5596,0,0
1,1,0,596.7,5601,0,0
2,2,0,596.7,5601,0,0
1,2,0,74.26,5603,0,0
2,3,0,74.26,5603,0,0
1,2,1,333.91,5605,0,0
2,3,1,333.91,5605,0,0
1,3,0,103.54,5623,0,0
2,4,0,103.54,5623,0,0
1,2,0,129.4,5645,1,0
2,3,0,129.4,5645,1,0
1,2,0,144.24,5647,0,0
2,3,0,144.24,5647,0,0
1,2,0,144.24,5648,0,0
2,3,0,144.24,5648,0,0
1,2,0,175.6,5658,0,0
2,3,0,175.6,5658,0,0
1,2,0,166.13,5671,0,0
2,3,0,166.13,5671,0,0
1,2,0,172.0,5676,0,0
2,3,0,172.0,5676,0,0
1,2,0,178.79,5682,0,0
2,3,0,178.79,5682,0,0
1,2,0,148.07,5695,0,0
2,3,0,148.07,5695,0,0
1,2,0,482.22,5698,0,0
2,3,0,482.22,5698,0,0
1,2,0,136.01,5711,0,0
2,3,0,136.01,5711,0,0
1,2,0,395.52,5740,0,0
2,3,0,395.52,5740,0,0
1,2,0,175.37,5755,0,0
2,3,0,175.37,5755,0,0
1,2,0,162.73,5758,0,0
2,3,0,162.73,5758,0,0
1,2,0,116.43,5766,0,0
2,3,0,116.43,5766,0,0
1,2,0,170.35,5774,1,0
2,3,0,170.35,5774,1,0
1,2,0,72.71,5792,0,2
2,3,0,72.71,5792,0,1
1,2,0,49.41,5829,0,0
2,3,0,49.41,5829,0,0
1,2,0,70.4,5834,0,0
2,3,0,70.4,5834,0,0
1,2,1,70.26,5836,1,1
2,3,0,70.26,5836,0,0
1,2,0,70.26,5838,0,0
2,3,0,70.26,5838,0,0
1,2,0,57.81,5845,0,0
2,3,0,57.81,5845,0,0
1,2,0,53.58,5851,0,0
2,3,0,53.58,5851,0,0
1,2,0,57.87,5858,1,0
2,3,0,57.87,5858,0,0
1,2,0,43.17,5869,0,0
2,3,0,43.17,5869,0,0
1,2,0,44.65,5870,0,0
2,3,0,44.65,5870,1,0
1,1,0,150.77,5874,0,0
2,2,0,150.77,5874,0,0
1,2,0,89.7,5878,0,0
2,3,0,89.7,5878,0,0
1,2,0,290.34,5883,0,0
2,3,0,290.34,5883,0,0
1,2,0,73.6,5889,0,0
2,3,0,73.6,5889,0,0
1,2,0,86.87,5902,0,0
2,3,0,86.87,5902,0,0
1,2,0,118.18,5911,0,0
2,3,0,118.18,5911,0,0
1,3,0,103.11,5918,1,0
2,4,0,103.11,5918,0,0
1,3,0,193.73,5936,0,0
2,4,0,193.73,5936,0,0
1,3,0,159.5,5958,0,0
2,4,0,159.5,5958,0,0
1,3,0,193.73,5987,0,0
2,4,0,193.73,5987,0,0
1,3,0,194.56,6004,0,0
2,4,0,194.56,6004,0,0
1,3,0,206.44,6017,0,0
2,4,0,206.44,6017,0,0
1,3,0,149.06,6019,0,0
2,4,0,149.06,6019,0,0
1,1,2,72.71,6020,0,0
2,2,2,72.71,6020,0,0
1,3,0,101.83,6022,0,0
2,4,0,101.83,6022,0,0
1,3,0,100.36,6027,0,0
2,4,0,100.36,6027,0,0
1,3,0,117.4,6032,0,0
2,4,0,117.4,6032,0,0
1,3,0,145.85,6036,0,0
2,4,0,145.85,6036,0,0
1,1,2,640.57,6045,0,0
2,2,2,640.57,6045,1,0
1,3,0,144.58,6049,0,0
2,4,0,144.58,6049,0,0
1,3,0,78.02,6055,0,0
2,4,0,78.02,6055,0,0
1,3,0,78.29,6074,0,0
2,4,0,78.29,6074,0,0
1,3,0,37.9,6076,0,0
2,4,0,37.9,6076,0,0
1,3,0,613.86,6112,0,0
2,4,0,613.86,6112,0,0
1,2,0,344.39,6126,0,0
2,3,0,344.39,6126,1,0
1,3,0,153.97,6133,0,0
2,4,0,153.97,6133,0,0
1,3,0,67.76,6143,0,0
2,4,0,67.76,6143,0,0
1,3,0,164.98,6149,1,0
2,4,0,164.98,6149,0,0
1,3,0,47.69,6175,0,0
2,4,0,47.69,6175,0,0
1,3,0,91.0,6180,0,0
2,4,0,91.0,6180,0,0
1,3,0,126.81,6185,0,0
2,4,0,126.81,6185,0,0
1,3,0,44.83,6186,0,0
2,4,0,44.83,6186,0,0
1,3,0,146.65,6193,0,0
2,4,0,146.65,6193,0,0
1,3,0,245.06,6210,0,0
2,4,0,245.06,6210,0,0
1,3,0,175.6,6211,0,0
2,4,0,175.6,6211,0,0
1,3,0,136.42,6213,0,0
2,4,0,136.42,6213,0,0
1,1,0,147.6,6249,0,0
2,2,0,147.6,6249,0,0
1,3,0,191.59,6263,0,0
2,4,0,191.59,6263,0,0
1,3,0,143.9,6264,2,1
2,4,2,143.9,6264,3,0
1,3,0,166.46,6289,1,0
2,4,0,166.46,6289,0,0
1,3,0,173.99,6298,0,0
2,4,0,173.99,6298,0,0
1,3,0,212.62,6309,0,0
2,4,0,212.62,6309,0,0
1,2,0,340.71,6311,0,0
2,3,0,340.71,6311,0,0
1,3,0,109.61,6329,0,0
2,4,0,109.61,6329,0,0
1,3,0,82.82,6346,0,0
2,4,0,82.82,6346,0,0
1,3,0,152.57,6352,0,0
2,4,0,152.57,6352,0,0
1,3,0,115.88,6361,0,0
2,4,0,115.88,6361,0,0
1,3,0,212.72,6363,0,0
2,4,0,212.72,6363,0,0
1,3,0,173.99,6367,0,0
2,4,0,173.99,6367,0,0
1,3,0,173.99,6373,0,0
2,4,0,173.99,6373,0,0
1,3,0,33.05,6377,0,0
2,4,0,33.05,6377,1,0
1,3,0,515.81,6385,0,0
2,4,0,515.81,6385,0,0
1,3,0,206.23,6391,0,0
2,4,0,206.23,6391,0,0
1,4,0,845.88,6392,0,0
2,5,0,845.88,6392,0,0
1,3,0,109.88,6394,0,0
2,4,0,109.88,6394,0,0
