hhno,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp
2071,14,1,1,3,-1,1,7,4.61,19.46,171.91,289885,624,1,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2071,6,1,2,4,-1,1,7,2.42,11.38,171.91,108818,664,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2089,49,1,1,1,-1,0,1,-1.0,-1.0,235.57,-1,-1,0,0,-1,-1,3,26.07,239.13,785024,3036,1
2089,50,1,2,2,-1,1,1,-1.0,-1.0,235.57,-1,-1,0,0,-1,-1,-1,14.41,30.65,670021,3563,1
2089,18,1,2,3,-1,1,5,12.43,37.15,235.57,674828,3596,2,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2089,15,1,1,4,-1,1,7,-1.0,-1.0,235.57,-1,-1,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2109,28,1,1,1,-1,0,1,-1.0,-1.0,980.92,-1,-1,0,0,-1,-1,-1,11.24,26.7,1137704,2564,1
2110,46,1,1,1,-1,0,1,-1.0,-1.0,696.56,-1,-1,0,0,-1,-1,-1,38.38,72.87,430869,1929,1
2110,10,1,1,2,-1,0,7,1.81,8.47,696.56,232870,2008,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2110,9,1,2,3,-1,0,7,-1.0,-1.0,696.56,-1,-1,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2116,66,1,1,1,-1,0,3,-1.0,-1.0,66.21,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2116,63,1,2,2,-1,0,4,-1.0,-1.0,66.21,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2120,49,1,2,1,-1,0,1,-1.0,-1.0,335.56,-1,-1,0,0,-1,-1,-1,6.04,27.73,246663,72,1
2120,54,1,2,2,-1,0,1,-1.0,-1.0,335.56,-1,-1,0,0,-1,-1,-1,0.39,5.55,66869,1832,1
2128,45,1,1,1,-1,0,1,-1.0,-1.0,256.11,-1,-1,0,1,-1,-1,5,3.12,20.02,147091,321,1
2138,62,1,1,1,-1,0,4,-1.0,-1.0,258.22,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2138,96,1,2,2,-1,0,3,-1.0,-1.0,258.22,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2158,63,1,1,1,-1,0,4,-1.0,-1.0,70.13,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2163,61,1,2,1,-1,0,4,-1.0,-1.0,97.49,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2163,69,1,1,2,-1,0,3,-1.0,-1.0,97.49,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2206,50,1,2,1,-1,0,1,-1.0,-1.0,279.85,-1,-1,0,0,9,9,3,7.64,34.31,182708,70,1
2220,51,1,2,1,-1,0,1,-1.0,-1.0,569.69,-1,-1,0,0,-1,-1,3,-1.0,-1.0,-1,-1,1
2220,25,1,1,2,-1,1,1,-1.0,-1.0,569.69,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2220,16,1,2,3,-1,1,6,9.97,24.54,569.69,115784,1041,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2229,70,1,1,1,-1,0,3,-1.0,-1.0,307.94,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2229,63,1,2,2,-1,1,4,-1.0,-1.0,307.94,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2237,77,1,2,1,-1,0,3,-1.0,-1.0,119.98,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2237,81,1,1,2,-1,1,3,-1.0,-1.0,119.98,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2238,76,1,1,1,-1,0,3,-1.0,-1.0,123.57,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2238,49,1,1,2,-1,0,1,-1.0,-1.0,123.57,-1,-1,0,1,1,1,3,6.69,33.2,59013,535,1
2254,59,1,2,1,-1,0,1,-1.0,-1.0,231.76,-1,-1,0,0,4,3,3,17.49,37.68,260758,967,1
2262,52,1,2,1,-1,0,2,-1.0,-1.0,327.43,-1,-1,0,0,9,1,3,10.0,22.74,647495,3485,2
2262,49,1,1,2,-1,1,2,-1.0,-1.0,327.43,-1,-1,0,0,-1,-1,-1,26.87,44.16,626449,3643,2
2262,17,1,1,3,-1,1,6,-1.0,-1.0,327.43,-1,-1,1,0,-1,-1,-1,10.87,30.52,643314,3693,2
2318,74,1,2,1,-1,0,3,-1.0,-1.0,120.02,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2318,77,1,1,2,-1,1,2,-1.0,-1.0,120.02,-1,-1,0,1,-1,-1,-1,5.21,19.21,143326,32,2
2324,51,1,2,1,-1,0,4,-1.0,-1.0,596.12,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2324,38,1,1,2,-1,1,1,-1.0,-1.0,596.12,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2324,7,1,2,3,-1,1,7,2.37,11.35,596.12,411421,1158,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2325,30,1,2,1,-1,0,1,-1.0,-1.0,409.37,-1,-1,0,0,-1,-1,0,13.52,45.35,14704,105,1
2327,63,1,2,1,-1,0,4,-1.0,-1.0,282.65,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2327,63,1,1,2,-1,1,4,-1.0,-1.0,282.65,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2329,86,1,1,1,-1,0,3,-1.0,-1.0,397.13,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2329,82,1,2,2,-1,0,3,-1.0,-1.0,397.13,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2330,52,1,2,1,-1,0,1,-1.0,-1.0,210.61,-1,-1,0,0,6,9,3,26.82,43.15,1145455,2399,1
2330,52,1,1,2,-1,0,4,-1.0,-1.0,210.61,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2343,78,1,2,1,-1,0,3,-1.0,-1.0,262.72,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2354,51,1,1,1,-1,0,4,-1.0,-1.0,329.44,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2367,68,1,1,1,-1,0,3,-1.0,-1.0,300.73,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2367,69,1,2,2,-1,1,3,-1.0,-1.0,300.73,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2426,35,1,1,1,-1,0,1,-1.0,-1.0,234.77,-1,-1,0,0,-1,-1,-1,7.1,22.4,117147,709,1
2426,40,1,1,2,-1,0,1,-1.0,-1.0,234.77,-1,-1,0,1,-1,-1,-1,10.26,30.79,506340,607,1
2456,55,1,1,1,-1,0,2,-1.0,-1.0,302.95,-1,-1,0,0,9,9,3,1.72,8.61,956536,2599,2
2456,49,1,2,2,-1,0,1,-1.0,-1.0,302.95,-1,-1,0,0,5,9,3,3.04,13.13,1133364,2624,1
2456,18,1,1,3,-1,2,6,1.44,6.81,302.95,1105426,2617,1,0,-1,-1,-1,3.64,16.23,1132004,2578,2
2456,16,1,1,4,-1,2,6,1.44,6.81,302.95,1105426,2617,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2457,64,1,1,1,-1,0,1,-1.0,-1.0,211.0,-1,-1,0,0,-1,-1,-1,3.38,18.45,148051,583,1
2457,63,1,2,2,-1,0,4,-1.0,-1.0,211.0,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2482,58,1,2,1,-1,0,4,-1.0,-1.0,80.23,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2482,56,1,1,2,-1,0,4,-1.0,-1.0,80.23,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2495,59,1,2,1,-1,0,1,-1.0,-1.0,96.47,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2495,66,1,1,2,-1,0,2,-1.0,-1.0,96.47,-1,-1,0,0,-1,-1,-1,2.81,15.54,40966,450,2
2502,59,1,2,1,-1,0,1,-1.0,-1.0,118.64,-1,-1,0,0,-1,-1,-1,14.64,42.13,110391,1548,1
2502,60,1,1,2,-1,0,1,-1.0,-1.0,118.64,-1,-1,0,0,-1,-1,-1,0.19,4.74,393510,733,1
2503,72,1,1,1,-1,0,3,-1.0,-1.0,210.85,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2503,49,1,2,2,-1,0,4,-1.0,-1.0,210.85,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2507,62,1,2,1,-1,0,2,-1.0,-1.0,108.29,-1,-1,0,0,-1,-1,-1,16.25,45.74,640617,3695,2
2507,68,1,1,2,-1,0,3,-1.0,-1.0,108.29,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2509,50,1,2,1,-1,0,4,-1.0,-1.0,260.78,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2512,47,1,2,1,-1,0,1,-1.0,-1.0,121.67,-1,-1,0,0,-1,-1,-1,6.45,21.67,208552,762,1
2512,43,1,2,2,-1,0,4,-1.0,-1.0,121.67,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2535,81,1,1,1,-1,0,3,-1.0,-1.0,173.45,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2535,78,1,2,2,-1,0,3,-1.0,-1.0,173.45,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2539,54,1,1,1,-1,0,1,-1.0,-1.0,228.35,-1,-1,0,0,-1,-1,-1,16.29,39.0,988207,2281,1
2539,44,1,2,2,-1,0,1,-1.0,-1.0,228.35,-1,-1,0,0,-1,-1,-1,20.93,45.66,1147912,2391,1
2542,74,1,2,1,-1,0,3,-1.0,-1.0,82.76,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2543,63,1,1,1,-1,0,1,-1.0,-1.0,295.78,-1,-1,0,0,-1,-1,-1,21.52,48.93,152629,1446,1
2543,57,1,2,2,-1,0,4,-1.0,-1.0,295.78,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2543,30,1,2,3,-1,0,1,-1.0,-1.0,295.78,-1,-1,0,0,-1,-1,-1,8.33,27.94,189062,1663,1
2543,3,1,1,4,-1,0,8,-1.0,-1.0,295.78,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2551,55,1,2,1,-1,0,1,-1.0,-1.0,330.42,-1,-1,0,0,-1,-1,-1,12.83,37.02,115549,1188,1
2551,19,1,2,2,-1,0,5,12.83,37.02,330.42,115549,1188,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2563,67,1,2,1,-1,0,3,-1.0,-1.0,317.74,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2563,72,1,1,2,-1,0,3,-1.0,-1.0,317.74,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2575,54,1,2,1,-1,0,4,-1.0,-1.0,781.99,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2591,62,1,2,1,-1,0,2,-1.0,-1.0,185.45,-1,-1,0,0,5,1,3,3.98,17.08,946507,2946,2
2591,81,1,1,2,-1,0,3,-1.0,-1.0,185.45,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2605,40,1,1,1,-1,0,1,-1.0,-1.0,281.17,-1,-1,0,0,-1,-1,-1,19.62,44.86,23145,1792,1
2605,38,1,2,2,-1,0,1,-1.0,-1.0,281.17,-1,-1,0,0,-1,-1,-1,15.2,30.84,961555,2419,1
2622,66,1,2,1,-1,0,3,-1.0,-1.0,268.2,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2622,64,1,1,2,-1,0,1,-1.0,-1.0,268.2,-1,-1,0,0,-1,-1,-1,4.81,23.96,716672,2956,1
2658,49,1,2,1,-1,0,1,-1.0,-1.0,286.44,-1,-1,0,0,5,6,3,6.57,16.82,1173675,2135,1
2658,52,1,1,2,-1,1,1,-1.0,-1.0,286.44,-1,-1,0,0,-1,-1,-1,29.76,48.01,1146819,2394,1
2673,60,1,2,1,-1,0,1,-1.0,-1.0,109.09,-1,-1,0,1,-1,-1,0,11.02,36.05,59022,528,1
2702,52,-1,2,1,-1,0,2,-1.0,-1.0,275.86,-1,-1,0,0,6,8,3,3.25,12.67,140727,1169,2
2702,55,-1,1,2,-1,1,1,-1.0,-1.0,275.86,-1,-1,0,0,-1,-1,-1,10.1,22.65,89615,1051,1
2707,73,1,2,1,-1,0,3,-1.0,-1.0,141.12,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2709,27,1,2,1,-1,0,5,11.52,27.28,515.48,698244,3029,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2709,30,1,1,2,-1,1,1,-1.0,-1.0,515.48,-1,-1,0,0,-1,-1,-1,16.66,34.57,1500003,3354,1
2736,80,1,2,1,-1,0,3,-1.0,-1.0,389.75,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2753,37,1,1,1,-1,0,1,-1.0,-1.0,137.3,-1,-1,0,0,-1,-1,-1,16.8,35.66,97276,1045,1
2753,35,1,2,2,-1,0,4,-1.0,-1.0,137.3,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2753,8,1,1,3,-1,0,7,2.83,12.95,137.3,9951,691,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2753,0,1,1,4,-1,0,8,-1.0,-1.0,137.3,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2759,21,1,2,1,-1,2,5,15.29,34.25,241.58,115549,1188,1,0,-1,-1,-1,2.19,10.86,157744,1061,2
2759,51,1,2,2,-1,0,1,-1.0,-1.0,241.58,-1,-1,0,0,6,9,3,3.3,14.51,275093,1031,1
2760,76,1,2,1,-1,0,3,-1.0,-1.0,326.88,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2773,77,1,2,1,-1,0,3,-1.0,-1.0,121.73,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2778,62,1,1,1,-1,0,4,-1.0,-1.0,95.65,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2794,68,1,2,1,-1,0,2,-1.0,-1.0,118.48,-1,-1,0,0,-1,-1,3,2.5,9.03,619961,3529,2
2806,48,0,1,1,-1,0,1,-1.0,-1.0,580.28,-1,-1,0,0,1,9,3,-1.0,-1.0,-1,-1,1
2806,45,0,2,2,-1,1,1,-1.0,-1.0,580.28,-1,-1,0,0,-1,-1,-1,9.49,28.02,1066643,2570,1
2806,21,0,1,3,-1,1,1,-1.0,-1.0,580.28,-1,-1,0,0,-1,-1,-1,5.08,14.76,1057297,2481,1
2806,19,0,1,4,-1,1,1,-1.0,-1.0,580.28,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2806,16,0,1,5,-1,1,6,2.39,10.15,580.28,1146810,2324,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2828,72,1,1,1,-1,0,3,-1.0,-1.0,52.14,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2828,69,1,2,2,-1,0,3,-1.0,-1.0,52.14,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2829,64,1,2,1,-1,0,4,-1.0,-1.0,68.41,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2829,67,1,1,2,-1,0,3,-1.0,-1.0,68.41,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2839,65,1,2,1,-1,0,3,-1.0,-1.0,90.66,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2839,44,1,1,2,-1,1,4,-1.0,-1.0,90.66,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2844,81,1,2,1,-1,0,3,-1.0,-1.0,280.59,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2859,47,1,2,1,-1,0,4,-1.0,-1.0,413.06,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2859,47,1,1,2,-1,0,1,-1.0,-1.0,413.06,-1,-1,0,0,-1,-1,-1,3.74,22.97,1500003,3354,1
2859,17,1,1,3,-1,0,6,13.04,34.32,413.06,692262,3039,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2859,15,1,2,4,-1,0,7,13.04,34.32,413.06,692262,3039,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2859,12,1,1,5,-1,0,7,12.34,32.82,413.06,692547,3065,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2873,63,1,2,1,-1,0,4,-1.0,-1.0,202.8,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2891,59,1,1,1,-1,2,1,-1.0,-1.0,291.91,-1,-1,0,0,-1,-1,-1,11.89,38.76,425619,398,1
2891,57,1,1,2,-1,0,4,-1.0,-1.0,291.91,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2891,30,1,1,3,-1,2,1,-1.0,-1.0,291.91,-1,-1,0,1,-1,-1,-1,6.77,17.88,45598,1931,1
2896,45,1,2,1,-1,0,1,-1.0,-1.0,205.45,-1,-1,0,0,5,4,3,25.54,47.52,430873,1931,1
2901,47,1,2,1,-1,0,4,-1.0,-1.0,429.39,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2901,48,1,1,2,-1,1,2,4.75,19.49,429.39,674828,3596,2,0,-1,-1,-1,-1.0,-1.0,-1,-1,2
2901,2,1,1,3,-1,1,8,-1.0,-1.0,429.39,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2903,72,1,2,1,-1,0,3,-1.0,-1.0,193.79,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2903,45,1,2,2,-1,0,1,6.98,27.55,193.79,115790,1062,2,1,-1,-1,-1,26.1,61.71,147920,469,1
2925,56,1,2,1,-1,0,1,-1.0,-1.0,134.91,-1,-1,0,0,4,2,3,21.91,46.42,595738,3506,1
2930,40,1,2,1,-1,0,1,-1.0,-1.0,674.28,-1,-1,0,1,9,9,0,35.82,87.54,361140,611,1
2930,42,1,1,2,-1,1,1,-1.0,-1.0,674.28,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2930,12,1,1,3,-1,1,7,2.2,9.3,674.28,1158629,2246,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2930,4,1,1,4,-1,1,8,2.15,8.25,674.28,1120067,2344,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2933,53,1,1,1,-1,2,1,-1.0,-1.0,121.67,-1,-1,0,0,-1,-1,-1,7.17,25.71,147803,501,1
2933,55,1,2,2,-1,0,4,-1.0,-1.0,121.67,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2934,57,1,2,1,-1,0,1,-1.0,-1.0,409.58,-1,-1,0,1,5,6,5,3.92,26.39,41077,492,1
2935,39,1,1,1,-1,0,1,-1.0,-1.0,590.19,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2935,38,1,2,2,-1,0,1,-1.0,-1.0,590.19,-1,-1,0,1,-1,-1,-1,48.87,285.74,147756,527,1
2935,12,1,1,3,-1,0,7,2.72,9.14,590.19,699263,2710,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2935,11,1,2,4,-1,0,7,3.64,9.64,590.19,687840,2703,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2936,61,1,1,1,-1,0,1,-1.0,-1.0,295.64,-1,-1,0,0,-1,-1,-1,3.74,22.97,1500003,3354,1
2936,59,1,2,2,-1,0,4,-1.0,-1.0,295.64,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2966,52,1,1,1,-1,0,1,-1.0,-1.0,187.17,-1,-1,0,0,-1,-1,-1,18.23,46.47,1131004,2636,1
2979,31,1,1,1,-1,0,1,-1.0,-1.0,879.9,-1,-1,0,0,1,1,3,5.05,20.74,39107,1831,1
2979,27,1,2,2,-1,0,1,-1.0,-1.0,879.9,-1,-1,0,0,9,2,3,17.41,45.66,339760,1603,1
2980,67,1,2,1,-1,0,2,-1.0,-1.0,173.74,-1,-1,0,0,8,9,3,4.21,16.61,73908,42,2
2983,52,1,2,1,-1,0,1,-1.0,-1.0,180.29,-1,-1,0,0,3,9,3,2.81,11.82,1145495,2401,1
2991,51,1,2,1,-1,0,1,-1.0,-1.0,389.12,-1,-1,0,0,-1,-1,3,3.16,14.22,991993,2647,1
3019,62,1,1,1,-1,2,1,-1.0,-1.0,344.0,-1,-1,0,0,-1,-1,-1,18.51,36.15,811027,3019,1
3019,61,1,2,2,-1,0,1,-1.0,-1.0,344.0,-1,-1,0,0,-1,-1,3,12.66,27.37,928677,2959,1
3035,63,1,2,1,-1,0,4,-1.0,-1.0,275.74,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3042,80,1,1,1,-1,0,3,-1.0,-1.0,161.85,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3042,56,1,2,2,-1,0,4,-1.0,-1.0,161.85,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3042,26,1,2,3,-1,0,1,-1.0,-1.0,161.85,-1,-1,0,0,-1,-1,-1,12.04,33.71,311101,1797,1
3043,46,1,2,1,-1,0,1,-1.0,-1.0,254.82,-1,-1,0,0,-1,-1,-1,6.23,26.45,218235,983,1
3043,47,1,1,2,-1,0,2,-1.0,-1.0,254.82,-1,-1,0,0,-1,-1,-1,14.23,34.24,424769,808,2
3043,15,1,1,3,-1,1,7,4.52,16.77,254.82,32209,1005,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3070,81,1,2,1,-1,0,3,-1.0,-1.0,216.27,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
3090,77,1,2,1,-1,0,3,-1.0,-1.0,170.63,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3091,32,1,2,1,-1,0,1,-1.0,-1.0,114.65,-1,-1,0,0,-1,-1,3,7.4,18.22,593775,3496,1
3091,11,1,2,2,-1,1,7,5.46,13.37,114.65,593889,3510,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3165,81,1,1,1,-1,0,3,-1.0,-1.0,97.49,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3165,76,1,2,2,-1,1,3,-1.0,-1.0,97.49,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3195,76,1,2,1,-1,0,3,-1.0,-1.0,345.01,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
3203,43,1,2,1,-1,0,1,-1.0,-1.0,146.34,-1,-1,0,0,5,9,3,4.68,22.48,534905,958,1
3203,44,1,1,2,-1,1,1,-1.0,-1.0,146.34,-1,-1,0,0,-1,-1,-1,16.59,35.7,346916,1177,1
3212,36,1,1,1,-1,0,1,-1.0,-1.0,418.39,-1,-1,0,0,2,3,3,32.31,64.15,762309,2806,1
3212,36,1,2,2,-1,1,1,-1.0,-1.0,418.39,-1,-1,0,0,-1,-1,-1,38.92,71.44,40966,450,1
3212,11,1,1,3,-1,1,7,5.08,16.13,418.39,158074,2005,1,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3212,3,1,1,4,-1,1,8,-1.0,-1.0,418.39,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3265,68,1,1,1,-1,0,2,-1.0,-1.0,136.68,-1,-1,0,0,-1,-1,-1,19.76,52.24,1145037,2310,2
3265,67,1,2,2,-1,0,3,-1.0,-1.0,136.68,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
3271,28,1,1,1,-1,0,1,-1.0,-1.0,392.57,-1,-1,0,1,-1,-1,0,34.74,76.94,175248,1615,1
