day,fhtindx1,fhtindx2,hhno,jtindex,parent,pdpurp,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
2,0,0,2116,0,0,8,0,0,2,0,841,1251,0.0,0.73,4.91,4,590229,3691,1248,830,3,1,33.1,639483,3691,1,0,2,1
1,0,0,2120,0,0,1,0,0,1,0,522,1556,0.0,6.04,27.73,2,246663,72,1523,510,3,1,167.78,66869,1832,1,0,1,2
1,0,0,2120,0,0,4,0,0,1,0,1615,1633,0.0,2.04,12.18,4,396966,1855,1627,1608,3,1,167.78,66869,1832,2,0,1,1
2,0,0,2120,0,0,1,0,0,1,0,521,1635,0.0,6.04,27.73,2,246663,72,1615,510,3,1,167.78,66869,1832,1,0,1,1
2,0,0,2120,0,0,4,0,0,1,0,1647,1725,0.0,2.04,12.18,4,396966,1855,1657,1640,3,1,167.78,66869,1832,2,0,1,3
1,0,0,2128,0,0,5,0,0,1,0,1910,1950,0.0,0.56,12.83,4,421429,427,1940,1900,1,1,128.05,421224,429,1,0,1,1
1,0,0,2128,0,0,7,0,0,1,0,1500,1845,0.0,0.96,13.02,4,496219,555,1700,1430,6,1,128.05,421224,429,2,1,2,2
2,0,0,2128,0,0,5,0,0,1,0,1144,1402,0.0,0.68,12.21,4,386574,426,1300,1130,1,1,128.05,421224,429,1,0,2,3
2,0,0,2128,0,0,5,0,0,1,0,1440,1925,0.0,16.58,32.42,4,311073,966,1615,1405,4,1,128.05,421224,429,2,0,1,4
2,0,0,2128,0,0,7,0,0,1,0,2258,215,0.0,1.19,14.97,4,304174,585,150,2245,1,1,128.05,421224,429,3,0,1,1
1,0,0,2158,0,0,4,0,0,1,0,1830,2130,0.0,11.8,34.11,4,204353,1491,2100,1800,4,1,35.06,386094,696,1,0,1,1
1,0,0,2158,0,0,8,0,0,1,0,745,800,0.0,0.29,5.16,4,533487,696,746,730,1,1,35.06,386094,696,2,0,1,1
1,0,0,2158,0,0,8,0,0,1,0,2310,2320,0.0,0.29,5.16,4,533487,696,2311,2300,1,1,35.06,386094,696,3,0,1,1
2,0,0,2158,0,0,3,0,0,1,0,845,920,0.0,1.56,14.07,4,547705,700,846,830,4,1,35.06,386094,696,1,0,1,4
2,0,0,2158,0,0,3,0,0,1,0,1115,1130,0.0,1.56,14.07,4,547705,700,1116,1100,4,1,35.06,386094,696,2,0,1,1
2,0,0,2158,0,0,7,0,0,1,0,1815,2230,0.0,7.5,34.3,4,148660,438,2200,1630,4,1,35.06,386094,696,3,0,3,1
2,0,0,2158,0,0,8,0,0,1,0,745,800,0.0,0.29,5.16,4,533487,696,746,730,1,1,35.06,386094,696,4,0,1,1
2,0,0,2158,0,0,8,0,0,1,0,2315,2330,0.0,0.29,5.16,4,533487,696,2316,2300,1,1,35.06,386094,696,5,0,1,1
1,0,0,2163,0,0,3,0,0,1,0,1540,2120,0.0,0.28,5.1,4,541212,677,1655,1041,5,1,48.74,541414,677,1,0,4,3
1,0,0,2163,0,0,3,0,0,2,0,801,1530,0.0,0.99,7.05,4,345358,680,905,750,6,1,48.74,541414,677,1,4,1,4
2,0,0,2163,0,0,1,0,0,1,0,847,1901,0.0,6.35,31.57,4,59073,543,1707,811,7,1,48.74,541414,677,1,3,2,4
2,0,0,2163,0,0,8,0,0,1,0,640,715,0.0,1.3,7.96,4,350047,688,705,630,3,1,48.74,541414,677,2,0,1,1
2,0,0,2163,0,0,4,0,0,2,0,701,915,0.0,7.05,28.85,4,147777,514,901,645,3,1,48.74,541414,677,1,0,1,1
2,0,0,2163,0,0,6,0,0,2,0,1930,2030,0.0,1.23,8.08,4,541780,682,2015,1901,4,1,48.74,541414,677,2,0,1,1
2,0,0,2163,0,0,8,0,0,2,0,1415,1750,0.0,2.29,12.22,4,60160,732,1735,1401,3,1,48.74,541414,677,3,0,1,1
1,0,0,2206,0,0,1,0,0,1,0,812,1830,0.0,7.64,34.31,2,182708,70,1745,750,3,1,139.93,995603,2656,1,0,1,2
1,0,0,2206,0,0,7,0,0,1,0,1935,2000,0.0,1.63,6.76,4,1074533,2657,1955,1930,3,1,139.93,995603,2656,2,0,1,1
2,0,0,2206,0,0,1,0,0,1,0,820,1800,0.0,7.64,34.31,2,182708,70,1745,715,3,1,139.93,995603,2656,1,0,2,1
