,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
19,5,Methane,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.00046514468357219924,0.08899464663348197,0.08945979131705417
20,5,Methane,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.00022374217726061938,0.04198662247915142,0.04221036465641204
21,5,Methane,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,3.9293851847335513e-05,0.09409140643268658,0.09413070028453392
22,5,Methane,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.001259664088632925,0.34062740412708903,0.34188706821572196
23,5,Methane,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.14659945968197316,0.14659945968197316
24,6,N20,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,4.550527962581834e-06,0.002954409372722258,0.00295895990068484
25,6,N20,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.0001193814327429938,0.01740774810274134,0.017527129535484333
26,6,N20,hov3,12043.766278910009,3504868.635616446,3516912.401895356,5.742441680329921e-05,0.008161598381957378,0.008219022798760677
27,6,N20,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,2.9126635640493317e-06,0.007252430464276993,0.0072553431278410425
28,6,N20,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0003232983337237763,0.0670901323982859,0.06741343073200967
29,6,N20,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.0009061398565105029,0.0009061398565105029
30,79,Non-methane HCs,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0003534117224360935,0.2978961807050061,0.2982495924274422
31,79,Non-methane HCs,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.0019110371334225352,0.3515662815093986,0.35347731864282117
32,79,Non-methane HCs,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.0009192400597789304,0.16567616821869988,0.1665954082784788
33,79,Non-methane HCs,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,7.485691358184104e-05,0.1990939859245401,0.19916884283812195
34,79,Non-methane HCs,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.005175303218002801,1.346740301064755,1.3519156042827578
35,79,Non-methane HCs,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.054023091308662875,0.054023091308662875
36,87,VOCs,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0003985560408488443,0.3369502070719477,0.33734876311279655
37,87,VOCs,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.002047265068825783,0.37747270914702885,0.37951997421585465
38,87,VOCs,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.0009848947472041235,0.17789604954487437,0.1788809442920785
39,87,VOCs,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,8.273677721217125e-05,0.2200133360310259,0.2200960728082381
40,87,VOCs,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.005549692332027206,1.4450307204377721,1.4505804127697994
41,87,VOCs,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.06127596146346018,0.06127596146346018
42,90,Atmospheric CO2,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,1.7893576322785232,2213.9944637881836,2215.783821420462
43,90,Atmospheric CO2,hov2,25038.165319725464,7387369.245624381,7412407.410944107,12.169057454748076,2526.6629495856605,2538.8320070404084
44,90,Atmospheric CO2,hov3,12043.766278910009,3504868.635616446,3516912.401895356,5.8535153014646015,1193.8523022145848,1199.7058175160494
45,90,Atmospheric CO2,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.2817255865383286,1043.656977958288,1043.9387035448265
46,90,Atmospheric CO2,sov,67806.16414291873,28271066.718754895,28338872.882897813,32.95517449879608,9694.042911176884,9726.998085675681
47,90,Atmospheric CO2,transit,0.0,115315.10718802585,115315.10718802585,0.0,189.74982235227216,189.74982235227216
48,91,Total Energy,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,24322.595341048844,30090747.63709051,30115070.23243156
49,91,Total Energy,hov2,25038.165319725464,7387369.245624381,7412407.410944107,169214.51461423887,35133908.058021024,35303122.57263526
50,91,Total Energy,hov3,12043.766278910009,3504868.635616446,3516912.401895356,81394.94403799395,16600827.00970793,16682221.953745924
51,91,Total Energy,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,3885.6259923346042,14399605.487737231,14403491.113729566
52,91,Total Energy,sov,67806.16414291873,28271066.718754895,28338872.882897813,458251.91290106915,134798341.61020085,135256593.52310193
53,91,Total Energy,transit,0.0,115315.10718802585,115315.10718802585,0.0,2613450.530748522,2613450.530748522
54,98,CO2 Equivalent,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,1.795565275951257,2218.024653188048,2219.820218463999
55,98,CO2 Equivalent,hov2,25038.165319725464,7387369.245624381,7412407.410944107,12.21625439637576,2534.0743163695,2546.290570765876
56,98,CO2 Equivalent,hov3,12043.766278910009,3504868.635616446,3516912.401895356,5.876217800900347,1197.3336305850175,1203.209848385918
57,98,CO2 Equivalent,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.2835760239849026,1048.1705407498828,1048.4541167738678
58,98,CO2 Equivalent,sov,67806.16414291873,28271066.718754895,28338872.882897813,33.08298911820548,9722.547826024716,9755.630815142922
59,98,CO2 Equivalent,transit,0.0,115315.10718802585,115315.10718802585,0.0,193.68501396653951,193.68501396653951
60,100,PM10 Exhaust,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.00028407850357997503,0.2723826813591617,0.2726667598627417
61,100,PM10 Exhaust,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.00014932367169700212,0.027038764473055452,0.027188088144752456
62,100,PM10 Exhaust,hov3,12043.766278910009,3504868.635616446,3516912.401895356,7.182712367198167e-05,0.012771428946628293,0.012843256070300275
63,100,PM10 Exhaust,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,1.314249146061161e-05,0.03929086335886258,0.03930400585032319
64,100,PM10 Exhaust,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0004043852730533467,0.10318488196467698,0.10358926723773033
65,100,PM10 Exhaust,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.016394884770490274,0.016394884770490274
66,106,PM10 Brakewear,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0004772347727572448,0.16145384900654755,0.1619310837793048
67,106,PM10 Brakewear,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.0019441776490397242,0.2504595308756901,0.2524037085247298
68,106,PM10 Brakewear,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.0009351811888256957,0.11659632142288798,0.11753150261171368
69,106,PM10 Brakewear,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,5.1242708628020495e-05,0.09127745444988916,0.09132869715851719
70,106,PM10 Brakewear,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.005265051456862369,0.9710608607507575,0.9763259122076199
71,106,PM10 Brakewear,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.018885897585526817,0.018885897585526817
72,107,PM10 Tirewear,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,3.7053005613620855e-05,0.04122117433237319,0.041258227337986814
73,107,PM10 Tirewear,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.00034760234531721663,0.07497811961169956,0.07532572195701678
74,107,PM10 Tirewear,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.00016720240287347975,0.03536529749927485,0.03553249990214833
75,107,PM10 Tirewear,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,5.969117076170813e-06,0.022884640336085973,0.022890609453162142
76,107,PM10 Tirewear,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0009413461961797267,0.2875740447764574,0.2885153909726372
77,107,PM10 Tirewear,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.0023823290164577977,0.0023823290164577977
78,110,PM25 Exhaust,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0002613487611399708,0.2505894458999319,0.25085079466107185
79,110,PM25 Exhaust,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.00013368386771324894,0.0241856041945487,0.024319288062261947
80,110,PM25 Exhaust,hov3,12043.766278910009,3504868.635616446,3516912.401895356,6.430412225016175e-05,0.011423366389885397,0.01148767051213556
81,110,PM25 Exhaust,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,1.2018216663563981e-05,0.035880844555945146,0.03589286277260871
82,110,PM25 Exhaust,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0003620309304514666,0.09230422375637466,0.09266625468682613
83,110,PM25 Exhaust,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.015044531543474344,0.015044531543474344
84,112,Elemental Carbon,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.00019470310858709877,0.18996378173874082,0.19015848484732792
85,112,Elemental Carbon,hov2,25038.165319725464,7387369.245624381,7412407.410944107,5.120730456694292e-05,0.009335571394756657,0.0093867786993236
86,112,Elemental Carbon,hov3,12043.766278910009,3504868.635616446,3516912.401895356,2.463154948063838e-05,0.004405307616429329,0.004429939165909968
87,112,Elemental Carbon,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,7.2670039474031674e-06,0.02179625258015993,0.021803519584107332
88,112,Elemental Carbon,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.00013867513272017312,0.03575326405948827,0.03589193919220844
89,112,Elemental Carbon,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.010642281659401169,0.010642281659401169
90,115,Sulfate Particulate,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,1.418579369677991e-05,0.012519439591905409,0.012533625385602189
91,115,Sulfate Particulate,hov2,25038.165319725464,7387369.245624381,7412407.410944107,5.260526879729426e-06,0.0009748718956562446,0.000980132422535974
92,115,Sulfate Particulate,hov3,12043.766278910009,3504868.635616446,3516912.401895356,2.5303993097877524e-06,0.0004607413108839414,0.00046327171019372915
93,115,Sulfate Particulate,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,9.97090690379321e-07,0.002776595415044704,0.0027775925057350833
94,115,Sulfate Particulate,sov,67806.16414291873,28271066.718754895,28338872.882897813,1.4246097688481943e-05,0.0037165325536228943,0.003730778651311376
95,115,Sulfate Particulate,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.00047532800701156246,0.00047532800701156246
96,116,PM25 Brakewear,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,5.965433876587836e-05,0.020181732604978766,0.020241386943744645
97,116,PM25 Brakewear,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.00024302226872537877,0.03130745644666641,0.03155047871539179
98,116,PM25 Brakewear,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.00011689767871262767,0.014574547097600955,0.014691444776313583
99,116,PM25 Brakewear,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,6.4053441334122435e-06,0.011409682323019765,0.011416087667153177
100,116,PM25 Brakewear,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0006581316016232065,0.12138266221456505,0.12204079381618825
101,116,PM25 Brakewear,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.0023607375153565694,0.0023607375153565694
102,117,PM25 Tirewear,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,5.557928503461342e-06,0.006183143887134361,0.0061887018156378225
103,117,PM25 Tirewear,hov2,25038.165319725464,7387369.245624381,7412407.410944107,5.2140310067306966e-05,0.011246672531780575,0.011298812841847883
104,117,PM25 Tirewear,hov3,12043.766278910009,3504868.635616446,3516912.401895356,2.5080340358078168e-05,0.005304773203717105,0.005329853544075183
105,117,PM25 Tirewear,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,8.95362562006909e-07,0.0034326764788825495,0.0034335718414445562
106,117,PM25 Tirewear,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.00014120181641668543,0.04313592804786293,0.04327712986427962
107,117,PM25 Tirewear,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.00035734725000905056,0.00035734725000905056
108,118,Composite NonECPM,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,6.664524926758307e-05,0.06062569639429832,0.060692341643565906
109,118,Composite NonECPM,hov2,25038.165319725464,7387369.245624381,7412407.410944107,8.24764677081353e-05,0.014850023091466998,0.014932499559175133
110,118,Composite NonECPM,hov3,12043.766278910009,3504868.635616446,3516912.401895356,3.967252743571794e-05,0.007018054361826722,0.00705772688926244
111,118,Composite NonECPM,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,4.7512236618999705e-06,0.014084594960272971,0.014089346183934872
112,118,Composite NonECPM,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.00022335553887169865,0.05655092122924688,0.05677427676811858
113,118,Composite NonECPM,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.004402249487486207,0.004402249487486207
114,119,H20 Aerosol,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0,0.0,0.0
115,119,H20 Aerosol,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.0,0.0,0.0
116,119,H20 Aerosol,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.0,0.0,0.0
117,119,H20 Aerosol,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.0,0.0,0.0
118,119,H20 Aerosol,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.0,0.0,0.0
119,119,H20 Aerosol,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.0,0.0
0,PM10,PM10 Total,heavy,2233.858178912453,3928697.381666921,3930931.2398458337,0.0007983662819508407,0.47505770469808245,0.4758560709800333
1,PM10,PM10 Total,hov2,75114.49595917639,22162107.736873142,22237222.23283232,0.002441103666053943,0.35247641496044513,0.35491751862649906
2,PM10,PM10 Total,hov3,36131.29883673003,10514605.906849338,10550737.205686068,0.0011742107153711572,0.16473304786879112,0.16590725858416228
3,PM10,PM10 Total,medium,999.8837425628082,5628980.61668735,5629980.5004299125,7.035431716480292e-05,0.15345295814483773,0.15352331246200251
4,PM10,PM10 Total,sov,203418.4924287562,84813200.15626469,85016618.64869344,0.0066107829260954425,1.3618197874918918,1.3684305704179873
5,PM10,PM10 Total,transit,0.0,345945.3215640776,345945.3215640776,0.0,0.03766311137247488,0.03766311137247488
0,PM25,PM25 Total,heavy,2233.858178912453,3928697.381666921,3930931.2398458337,0.00032656102840931055,0.276954322392045,0.2772808834204543
1,PM25,PM25 Total,hov2,75114.49595917639,22162107.736873142,22237222.23283232,0.0004288464465059347,0.06673973317299568,0.06716857961950162
2,PM25,PM25 Total,hov3,36131.29883673003,10514605.906849338,10550737.205686068,0.0002062821413208676,0.03130268669120346,0.031508968832524326
3,PM25,PM25 Total,medium,999.8837425628082,5628980.61668735,5629980.5004299125,1.9318923358983136e-05,0.05072320335784746,0.050742522281206445
4,PM25,PM25 Total,sov,203418.4924287562,84813200.15626469,85016618.64869344,0.0011613643484913586,0.25682281401880264,0.257984178367294
5,PM25,PM25 Total,transit,0.0,345945.3215640776,345945.3215640776,0.0,0.017762616308839962,0.017762616308839962
