w_geocode,Base,Zone,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,,
530330057001048,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001051,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001052,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001053,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001017,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001021,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001024,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001040,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001050,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001047,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001014,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330057001010,Fort Lawton,331,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,
530330058023044,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023045,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023046,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023006,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023038,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023055,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023043,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023053,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023036,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530330058023004,Pier 91,390,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,
530610401004001,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004002,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004005,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004006,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004007,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004008,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004009,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004012,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004013,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004027,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004028,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610521042176,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401001015,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004004,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004011,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004037,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004026,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401004000,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610521042175,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530619900020019,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530610401001013,Everett,2255,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,,
530530720004003,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004004,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004005,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004008,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004011,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004012,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004013,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004014,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004015,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004016,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004017,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530729031170,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530729031192,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004007,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004010,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530729031165,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720004002,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530720003025,Camp Murray,3061,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
530530729031001,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031009,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031010,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031011,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031012,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031013,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031019,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031020,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031021,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031022,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031023,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031024,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031025,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031028,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031029,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031030,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031031,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031032,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031033,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031034,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031035,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031036,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031037,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031038,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031039,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031040,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031041,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031042,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031043,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031044,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031045,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031046,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031047,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031048,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031049,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031050,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031051,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031052,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
530530729031053,JBLM North Fort,3070,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,
