,pollutantID,county,veh_type,ratePerVehicle2018,ratePerVehicle2030,ratePerVehicle_diff,ratePerVehicle
62,5,snohomish,medium,1.2615405,1.0109301699999997,-0.2506103300000002,1.2406563058333333
63,5,snohomish,transit,1.4081584,1.7392636,0.3311051999999999,1.4357505
64,6,king,heavy,0.03726718699999999,0.06539616,0.028128973,0.039611268083333324
65,6,king,light,0.15005107699999998,0.08770109,-0.06234998699999998,0.14485524474999997
66,6,king,medium,0.3491819690000001,0.19445934300000003,-0.15472262600000006,0.33628841683333344
67,6,king,transit,0.38156613000000006,0.34142326999999995,-0.04014286000000011,0.3782208916666667
68,6,kitsap,heavy,0.03725796900000001,0.06537953,0.028121560999999996,0.03960143241666667
69,6,kitsap,light,0.182779562,0.091090519,-0.09168904300000001,0.17513880841666668
70,6,kitsap,medium,0.3944178669999999,0.19796828100000002,-0.1964495859999999,0.3780470681666666
71,6,kitsap,transit,0.3815655300000001,0.34142285,-0.0401426800000001,0.37822030666666673
72,6,pierce,heavy,0.03726760899999999,0.065397,0.028129391000000004,0.03961172491666666
73,6,pierce,light,0.170833151,0.08995473899999999,-0.080878412,0.1640932833333333
74,6,pierce,medium,0.3791589709999999,0.198145136,-0.1810138349999999,0.3640744847499999
75,6,pierce,transit,0.3815659600000001,0.34142307,-0.0401428900000001,0.3782207191666668
76,6,snohomish,heavy,0.037264817,0.0653919,0.028127083000000004,0.03960874058333333
77,6,snohomish,light,0.169385422,0.089171132,-0.08021429000000001,0.16270089783333333
78,6,snohomish,medium,0.376851879,0.19557495699999997,-0.18127692200000003,0.3617454688333333
79,6,snohomish,transit,0.38156591,0.34142323999999996,-0.04014267000000005,0.3782206875
80,79,king,heavy,1.1482028559999997,1.0570251749000001,-0.09117768109999957,1.140604715908333
81,79,king,light,3.168474914,2.0276408465,-1.1408340674999997,3.0734054083749998
82,79,king,medium,4.770196243999998,3.1956468336000006,-1.5745494103999977,4.638983793133332
83,79,king,transit,4.398945844999999,4.0142283139999995,-0.3847175309999997,4.366886050749999
84,79,kitsap,heavy,1.144450319,1.0535922565,-0.09085806249999995,1.1368788137916666
85,79,kitsap,light,3.8470783870000003,2.2361679435999995,-1.6109104434000008,3.7128358500500003
86,79,kitsap,medium,5.5918165449999995,3.396033385,-2.1957831599999995,5.408834615
87,79,kitsap,transit,4.384642919999999,4.002463961000001,-0.3821789589999982,4.352794673416666
88,79,pierce,heavy,1.1536372839999998,1.0619930576,-0.0916442263999997,1.1460002651333332
89,79,pierce,light,3.4635037169999983,2.1480350971999997,-1.3154686197999985,3.353881332016665
90,79,pierce,medium,5.1852577480000015,3.336646733,-1.8486110150000017,5.031206830083335
91,79,pierce,transit,4.415746971000001,4.028040765,-0.3877062060000007,4.383438120500001
92,79,snohomish,heavy,1.1750607549999998,1.0815664622999999,-0.09349429269999998,1.1672695639416666
93,79,snohomish,light,3.6353568769999995,2.215137432,-1.4202194449999994,3.517005256583333
94,79,snohomish,medium,5.357979246000001,3.3877261680000013,-1.9702530779999998,5.1937914895000015
95,79,snohomish,transit,4.467181014999999,4.070378223,-0.396802791999999,4.434114115666666
96,87,king,heavy,0.4183893869829999,0.35864856660905,-0.0597408203739499,0.41341098528517073
97,87,king,light,2.114694524100001,1.4346652993,-0.6800292248000008,2.0580254220333343
98,87,king,medium,3.3889797909999997,1.9314410975999996,-1.4575386934,3.2675182332166663
99,87,king,transit,3.1601221520000005,3.021558913,-0.13856323900000067,3.148575215416667
100,87,kitsap,heavy,0.43102133659200004,0.3691620484443801,-0.06185928814761993,0.4258663959130317
101,87,kitsap,light,2.7096999659999996,1.7071834076,-1.0025165583999995,2.6261569194666663
102,87,kitsap,medium,4.293443871,2.283790456,-2.009653415,4.1259727530833334
103,87,kitsap,transit,3.191341812,3.0455057150000004,-0.14583609699999966,3.179188803916667
104,87,pierce,heavy,0.43164572195600004,0.3696917451201399,-0.061953976835860125,0.4264828905530117
105,87,pierce,light,2.2752419423,1.5750364520999998,-0.7002054902000003,2.2168914847833334
106,87,pierce,medium,3.7810783169999995,2.1334189169999997,-1.6476593999999998,3.6437733669999997
107,87,pierce,transit,3.2207827940000002,3.068032777999999,-0.15275001600000104,3.2080536260000003
108,87,snohomish,heavy,0.46675497279999995,0.39890681434678993,-0.06784815845321002,0.4611009595955658
109,87,snohomish,light,2.4199577943,1.647570035,-0.7723877593000001,2.3555921476916666
110,87,snohomish,medium,3.9426523419999997,2.190285256,-1.7523670859999996,3.7966217514999996
111,87,snohomish,transit,3.2603172830000005,3.098464466,-0.16185281700000065,3.2468295482500005
112,90,king,heavy,190.80277,183.65525999999997,-7.1475100000000396,190.20714416666667
113,90,king,light,524.31184,482.37817,-41.93366999999995,520.8173674999999
114,90,king,medium,595.8176,552.6790700000001,-43.13852999999983,592.2227225
115,90,king,transit,476.6135299999999,465.13274,-11.4807899999999,475.6567974999999
116,90,kitsap,heavy,190.52640000000002,183.3898,-7.136600000000016,189.93168333333335
117,90,kitsap,light,519.86119,475.90355,-43.95763999999997,516.1980533333333
118,90,kitsap,medium,610.82782,562.7373,-48.09051999999997,606.8202766666666
119,90,kitsap,transit,475.62017000000003,464.15292000000005,-11.467249999999979,474.66456583333337
120,90,pierce,heavy,191.20945,184.04620000000003,-7.163249999999977,190.6125125
121,90,pierce,light,525.5294099999999,481.15847999999994,-44.37092999999993,521.8318324999999
122,90,pierce,medium,606.4727599999999,559.3217799999999,-47.150980000000004,602.5435116666665
123,90,pierce,transit,477.89513,466.3973700000001,-11.497759999999914,476.93698333333333
124,90,snohomish,heavy,192.49140999999997,185.28067000000004,-7.21073999999993,191.890515
125,90,snohomish,light,530.76923,485.40713,-45.3621,526.989055
126,90,snohomish,medium,614.9743400000001,566.3490599999999,-48.6252800000002,610.9222333333335
127,90,snohomish,transit,481.2615399999999,469.7181999999999,-11.54334,480.2995949999999
128,91,king,heavy,2594560.5,2502371.1,-92189.3999999999,2586878.05
129,91,king,light,7293274.8,6708106.5,-585168.2999999998,7244510.774999999
130,91,king,medium,8258687.5,7661080.600000001,-597606.8999999994,8208886.925
131,91,king,transit,6553988.3,6394490.8999999985,-159497.4000000013,6540696.85
132,91,kitsap,heavy,2590800.6000000006,2498753.4,-92047.20000000065,2583130.0000000005
133,91,kitsap,light,7231376.300000001,6618433.000000001,-612943.2999999998,7180297.691666667
134,91,kitsap,medium,8468897.4,7803171.000000001,-665726.3999999994,8413420.200000001
135,91,kitsap,transit,6540316.6,6381002.1,-159314.5,6527040.391666667
136,91,pierce,heavy,2600091.4999999995,2507705.0,-92386.49999999953,2592392.6249999995
137,91,pierce,light,7310222.8,6691408.8,-618814.0,7258654.966666667
138,91,pierce,medium,8407086.1,7754247.5,-652838.5999999996,8352682.883333333
139,91,pierce,transit,6571644.199999999,6411892.3,-159751.89999999944,6558331.541666666
140,91,snohomish,heavy,2617524.6,2524518.4999999995,-93006.10000000056,2609774.091666667
141,91,snohomish,light,7383119.699999999,6750525.5,-632594.1999999993,7330403.516666666
142,91,snohomish,medium,8525626.2,7852375.800000001,-673250.3999999985,8469522.0
143,91,snohomish,transit,6617968.500000001,6457614.3,-160354.20000000112,6604605.65
144,98,king,heavy,215.46799,219.26817999999997,3.8001899999999864,215.7846725
145,98,king,light,579.4677700000003,514.6577500000001,-64.81002000000024,574.0669350000003
146,98,king,medium,729.6115600000002,635.8220799999999,-93.78948000000025,721.7957700000002
147,98,king,transit,624.8780499999999,609.54759,-15.330459999999903,623.6005116666665
148,98,kitsap,heavy,215.14449000000002,218.94519999999997,3.8007099999999525,215.46121583333334
149,98,kitsap,light,587.5093899999998,509.8819899999999,-77.62739999999991,581.0404399999999
150,98,kitsap,medium,760.0898400000001,646.1571299999998,-113.93271000000027,750.5954475000001
151,98,kitsap,transit,623.74897,608.39786,-15.351109999999949,622.4697108333334
152,98,pierce,heavy,215.93891,219.73505000000003,3.7961400000000367,216.255255
153,98,pierce,light,588.0996099999999,514.5058100000001,-73.59379999999976,581.9667933333333
154,98,pierce,medium,750.4588399999998,643.5866100000002,-106.8722299999996,741.5528208333332
155,98,pierce,transit,626.31556,611.00775,-15.307810000000018,625.0399091666667
156,98,snohomish,heavy,217.47227999999998,221.26654,3.7942600000000084,217.78846833333333
157,98,snohomish,light,593.47747,518.7111700000002,-74.76629999999989,587.2469450000001
158,98,snohomish,medium,758.8146900000002,649.9036899999998,-108.9110000000004,749.7387733333335
159,98,snohomish,transit,630.1711700000001,614.9429,-15.228270000000066,628.9021475000001
160,100,king,heavy,0.0157508558,0.007881523699999999,-0.007869332100000003,0.015095078125000001
161,100,king,light,0.09405767487,0.09611558621,0.00205791134000001,0.09422916748166667
162,100,king,medium,0.12835235649000004,0.12558210221999996,-0.0027702542700000776,0.12812150196750002
