day,fhtindx1,fhtindx2,hhno,id,jtindex,parent,pdpurp,person_day_id,person_id,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,14101312,6010,0,0,2,4552,4552,0,0,3,0,455,945,1.978,9.89,19.29,3,636563,3296,855,425,8,1,636.246625,646416,3309,1,1,6,4
1,0,0,14101312,6011,0,0,2,4553,4553,0,0,4,0,520,945,1.347,6.735,17.34,3,636919,3296,920,485,5,1,636.246625,646416,3309,1,1,6,2
1,0,0,14101311,6002,0,0,1,4547,4547,0,0,1,0,390,1140,8.039,40.195,86.025,2,735294,542,1065,330,7,1,306.979916058,640004,3306,1,6,4,4
1,0,0,14101311,6003,0,0,1,4548,4548,0,0,2,0,420,1080,3.571,17.855,39.825,2,481148,2067,1025,335,3,1,303.178215097,640004,3306,1,1,4,2
1,0,0,14101311,6004,0,0,1,4549,4549,0,0,3,0,450,1005,8.105,40.525,89.06,4,1235738,3306,900,195,3,1,272.565617139,640004,3306,1,1,6,2
1,0,0,14101310,5999,0,0,1,4545,4545,0,0,1,0,500,735,4.084,20.42,40.24,4,502643,2957,630,445,3,1,293.27582063,653528,3415,1,1,2,8
1,0,0,14101310,6000,0,0,7,4545,4545,0,0,1,0,1075,1160,0.233474469697,1.16737234848,6.2141942187,4,642000,3416,1150,1065,3,1,293.27582063,653528,3415,2,1,2,2
1,0,0,14101310,6001,0,0,1,4546,4546,0,0,2,0,420,1040,4.665,23.325,41.555,2,438904,3013,975,370,3,1,278.462470588,653528,3415,1,1,2,2
1,0,0,14101309,5998,0,0,7,4544,4544,0,0,1,0,550,685,0.577211098485,2.88605549242,14.809098731,4,427596,2819,660,540,3,1,306.674522266,474553,2801,2,1,2,6
1,0,0,14101309,5997,0,0,1,4544,4544,0,0,1,0,880,1290,2.313,11.565,27.68,2,527453,3394,1270,860,3,1,306.674522266,474553,2801,1,1,2,2
1,0,0,14101308,5992,0,0,1,4542,4542,0,0,1,0,480,925,0.373861111111,1.86930555556,10.9403567251,4,474092,2785,920,475,3,1,511.58749141,420224,2789,1,1,2,2
1,0,0,14101308,5993,0,0,5,4542,4542,0,0,1,0,975,1040,1.026,5.13,16.75,4,515654,2787,1005,955,4,1,511.58749141,420224,2789,2,1,4,4
1,0,0,14101308,5994,0,0,5,4542,4542,0,0,1,0,1180,1195,0.115849141414,0.579245707071,11.4782109848,4,420176,2787,1190,1175,3,1,511.58749141,420224,2789,3,1,2,2
1,0,0,14101308,5995,0,0,1,4543,4543,0,0,2,0,585,955,1.879,9.395,21.925,4,567795,2829,705,510,3,1,485.596044918,420224,2789,1,1,6,14
1,0,0,14101308,5996,0,0,5,4543,4543,0,0,2,0,975,1040,1.026,5.13,16.75,4,515654,2787,1005,955,4,1,485.596044918,420224,2789,2,1,4,4
1,0,0,14101307,5983,0,0,1,4538,4538,0,0,1,0,645,1160,0.416846060606,2.08423030303,12.4323363636,2,487040,2827,1150,530,6,1,370.249200985,498649,2842,1,3,4,2
1,0,0,14101307,5984,0,0,3,4539,4539,0,0,2,0,560,655,0.374366439394,1.87183219697,12.5634838983,4,476873,2827,580,530,5,1,391.405185276,498649,2842,1,1,4,6
1,0,0,14101307,5985,0,0,3,4539,4539,0,0,2,0,690,725,0.374366439394,1.87183219697,12.6269358372,4,476873,2782,700,680,5,1,391.405185276,498649,2842,2,1,2,4
1,0,0,14101307,5986,0,0,3,4539,4539,0,0,2,0,1150,1160,0.416846060606,2.08423030303,12.4031181818,4,487040,2904,1150,1140,5,1,391.405185276,498649,2842,3,1,2,2
