,pollutant_name,veh_type,total_daily_tons,vmt,city
7,CO2 Equivalent,light,23.58251902,47766.60392,Black Diamond
8,CO2 Equivalent,medium,1.463134629,1444.787346,Black Diamond
9,Composite NonECPM,heavy,4.61E-05,497.3734014,Black Diamond
10,Composite NonECPM,light,0.000312577,47766.60392,Black Diamond
11,Composite NonECPM,medium,5.08E-05,1444.787346,Black Diamond
12,Elemental Carbon,heavy,0.000146493,497.3734014,Black Diamond
13,Elemental Carbon,light,0.000268194,47766.60392,Black Diamond
14,Elemental Carbon,medium,6.32E-05,1444.787346,Black Diamond
15,H20 Aerosol,heavy,0,497.3734014,Black Diamond
16,H20 Aerosol,light,0,47766.60392,Black Diamond
17,H20 Aerosol,medium,0,1444.787346,Black Diamond
18,Methane,heavy,6.24E-05,497.3734014,Black Diamond
19,Methane,light,0.002570184,47766.60392,Black Diamond
20,Methane,medium,0.00073296,1444.787346,Black Diamond
21,N20,heavy,2.38E-06,497.3734014,Black Diamond
22,N20,light,0.000787835,47766.60392,Black Diamond
23,N20,medium,0.000197076,1444.787346,Black Diamond
24,NOx,heavy,0.00611276,497.3734014,Black Diamond
25,NOx,light,0.027939385,47766.60392,Black Diamond
26,NOx,medium,0.004800872,1444.787346,Black Diamond
27,Non-methane HCs,heavy,0.000230019,497.3734014,Black Diamond
28,Non-methane HCs,light,0.016653925,47766.60392,Black Diamond
29,Non-methane HCs,medium,0.002846401,1444.787346,Black Diamond
30,PM10 Brakewear,heavy,0,497.3734014,Black Diamond
31,PM10 Brakewear,light,0,47766.60392,Black Diamond
32,PM10 Brakewear,medium,0,1444.787346,Black Diamond
33,PM10 Exhaust,heavy,0.000209349,497.3734014,Black Diamond
34,PM10 Exhaust,light,0.000652976,47766.60392,Black Diamond
35,PM10 Exhaust,medium,0.000126869,1444.787346,Black Diamond
36,PM10 Tirewear,heavy,0,497.3734014,Black Diamond
37,PM10 Tirewear,light,0,47766.60392,Black Diamond
38,PM10 Tirewear,medium,0,1444.787346,Black Diamond
39,PM10 Total,heavy,0.000376741,1492.120204,Black Diamond
40,PM10 Total,light,0.00349766,143299.8117,Black Diamond
41,PM10 Total,medium,0.000254065,4334.362039,Black Diamond
42,PM25 Brakewear,heavy,0,497.3734014,Black Diamond
43,PM25 Brakewear,light,0,47766.60392,Black Diamond
44,PM25 Brakewear,medium,0,1444.787346,Black Diamond
45,PM25 Exhaust,heavy,0.0001926,497.3734014,Black Diamond
46,PM25 Exhaust,light,0.000580771,47766.60392,Black Diamond
47,PM25 Exhaust,medium,0.000114039,1444.787346,Black Diamond
48,PM25 Tirewear,heavy,0,497.3734014,Black Diamond
49,PM25 Tirewear,light,0,47766.60392,Black Diamond
50,PM25 Tirewear,medium,0,1444.787346,Black Diamond
51,PM25 Total,heavy,0.000214054,1492.120204,Black Diamond
52,PM25 Total,light,0.000950544,143299.8117,Black Diamond
53,PM25 Total,medium,0.000130475,4334.362039,Black Diamond
54,Sulfate Particulate,heavy,7.70E-06,497.3734014,Black Diamond
55,Sulfate Particulate,light,1.25E-05,47766.60392,Black Diamond
56,Sulfate Particulate,medium,4.70E-06,1444.787346,Black Diamond
57,Total Energy,heavy,14783.08676,497.3734014,Black Diamond
58,Total Energy,light,323800.8662,47766.60392,Black Diamond
59,Total Energy,medium,19130.37346,1444.787346,Black Diamond
60,Total Gaseous HCs,heavy,0.000292399,497.3734014,Black Diamond
61,Total Gaseous HCs,light,0.019246043,47766.60392,Black Diamond
62,Total Gaseous HCs,medium,0.003583173,1444.787346,Black Diamond
63,VOCs,heavy,0.000247468,497.3734014,Black Diamond
64,VOCs,light,0.012651299,47766.60392,Black Diamond
65,VOCs,medium,0.002133474,1444.787346,Black Diamond
0,Atmospheric CO2,heavy,73.66484988,35996.2292,Bothell
1,Atmospheric CO2,light,701.0611112,1584686.117,Bothell
2,Atmospheric CO2,medium,55.93429961,78390.21148,Bothell
3,CO,heavy,0.123909812,35996.2292,Bothell
4,CO,light,7.208180497,1584686.117,Bothell
5,CO,medium,0.755526119,78390.21148,Bothell
6,CO2 Equivalent,heavy,73.77794042,35996.2292,Bothell
