hhno pno day tour jtindex parent subtrs pdpurp tlvorig tardest tlvdest tarorig toadtyp tdadtyp topcl totaz tdpcl tdtaz tmodetp tpathtp tautotime tautocost tautodist tripsh1 tripsh2 phtindx1 phtindx2 fhtindx1 fhtindx2 toexpfac
300086 1 1 1 0 0 0 2 930 945 1200 1545 1 2 1115641 427 1078364 552 1 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300086 1 1 2 0 0 0 6 1630 1645 1800 1815 1 2 1115641 427 1078365 553 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300087 1 1 1 0 0 0 2 730 800 955 1940 1 2 1161013 17 932775 72 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 3.91
300089 1 1 1 0 0 0 2 630 845 1220 1640 1 2 1238880 309 1222516 551 6 3 -1.00 -1.00 -1.00 3 3 0 0 0 0 4.16
300094 1 1 1 0 0 0 1 515 550 1415 1515 1 4 942434 624 1150482 1137 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 7.92
300098 1 1 1 0 0 0 2 1125 1255 1715 1815 1 2 758555 718 1222518 626 6 3 -1.00 -1.00 -1.00 2 2 0 0 0 0 4.16
300101 1 1 1 0 0 0 1 1550 1600 2205 2215 1 4 913897 27 913574 69 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300101 1 1 2 0 0 0 2 730 755 1000 1025 1 2 913897 27 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300104 1 1 1 0 0 0 2 725 855 1150 1620 1 2 920784 31 932775 72 6 3 -1.00 -1.00 -1.00 2 3 0 0 0 0 3.91
300104 1 1 2 0 0 0 6 1645 1750 1845 1900 1 4 920784 31 1088225 75 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300105 1 1 1 0 0 0 1 635 645 1700 1715 1 4 824315 3 723215 53 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.04
300106 1 1 1 0 0 0 2 1000 1100 1830 1930 1 2 904706 859 1222518 552 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300118 1 1 1 0 0 0 2 710 925 1930 2050 1 2 946609 817 1222518 552 6 6 -1.00 -1.00 -1.00 3 2 0 0 0 0 4.16
300130 1 1 1 0 0 0 1 640 720 1600 1640 1 4 784995 645 696199 1312 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300137 1 1 1 0 0 0 1 620 630 1530 1620 1 4 704033 235 1147889 326 4 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300142 1 1 1 0 0 0 2 605 1800 2000 2005 1 2 1222609 550 1078364 406 6 3 -1.00 -1.00 -1.00 5 1 0 0 0 0 15.04
300148 1 1 1 0 0 0 5 1520 1635 1725 1825 1 4 716132 567 1223110 630 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.67
300155 1 1 1 0 0 0 1 615 730 1505 1635 1 4 1160603 649 919985 31 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.95
300155 1 1 2 0 0 0 2 1730 1805 1930 2015 1 2 1160603 649 1078364 551 9 3 -1.00 -1.00 -1.00 3 2 0 0 0 0 13.95
300155 1 1 3 0 0 0 7 2045 2055 2055 2105 1 4 1160603 649 922539 668 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.95
300157 1 1 1 0 0 0 2 705 735 1140 1225 1 2 692128 76 1078364 552 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300165 1 1 1 0 0 0 2 920 1015 1430 1505 1 2 1223812 278 1030279 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300165 1 1 2 0 0 0 5 1505 1525 1540 1600 1 4 1223812 278 1225339 282 1 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300166 1 1 1 0 0 0 2 1750 1800 1900 1905 1 2 1115715 549 1222518 552 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300178 1 1 1 0 0 0 1 640 655 1705 1720 1 4 1115203 102 1233104 188 2 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300179 1 1 1 0 0 0 2 830 900 1300 1330 1 2 1064775 73 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300183 1 1 1 0 0 0 1 650 750 1400 1945 1 4 979252 708 751649 284 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 4.16
300185 1 1 1 0 0 0 2 630 1735 2120 2140 1 2 864517 2 932775 1582 3 1 -1.00 -1.00 -1.00 3 1 0 0 0 0 13.38
300187 1 1 1 0 0 0 2 600 1740 2130 2235 1 4 1097062 554 932775 324 6 3 -1.00 -1.00 -1.00 7 1 0 0 0 0 13.17
300191 1 1 1 0 0 0 2 900 945 1115 1205 1 2 1150634 12 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300191 1 1 2 0 0 0 5 1645 1700 1720 1735 1 4 1150634 12 1111711 25 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300192 1 1 1 0 0 0 7 1630 1645 1715 1720 1 4 819457 212 907281 128 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300192 1 1 2 0 0 0 7 1800 1825 2105 2135 1 4 819446 212 679287 186 4 1 -1.00 -1.00 -1.00 2 2 0 0 0 0 3.91
300193 1 1 1 0 0 0 1 830 850 1045 1115 1 4 1208207 578 829087 483 1 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 7.92
300193 1 1 2 0 0 0 1 1145 1155 1155 1205 1 4 1208207 578 828906 503 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 7.92
300202 1 1 1 0 0 0 1 630 700 1700 1730 1 4 828224 317 735355 577 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.53
300202 1 1 2 0 0 0 7 2055 2100 2145 2150 1 4 828224 317 1002385 314 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.53
300207 1 1 1 0 0 0 1 440 450 1830 1845 1 4 818645 81 920003 30 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300208 1 1 1 0 0 0 6 1715 1840 2000 2200 1 3 950077 857 803521 1359 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300209 1 1 1 0 0 0 2 725 750 1050 1650 1 2 764023 581 1103203 552 6 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 4.16
300213 1 1 1 0 0 0 2 730 825 1350 1400 1 2 1253222 829 1089776 797 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 7.92
300213 1 1 2 0 0 0 2 1420 1500 1640 2130 1 4 1253222 829 735350 531 6 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 7.92
300229 1 1 1 0 0 0 2 620 645 955 1855 1 2 926109 649 1078364 552 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300231 1 1 1 0 0 0 4 1600 1615 1625 1640 1 4 1098533 12 782506 18 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.43
300236 1 1 1 0 0 0 2 800 1000 1055 1905 1 2 827926 324 1222521 304 6 3 -1.00 -1.00 -1.00 2 2 0 0 0 0 4.16
300242 1 1 1 0 0 0 2 845 900 1150 2015 1 2 960372 754 1089776 756 6 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 7.92
300243 1 1 1 0 0 0 2 815 1750 2050 2105 1 2 894170 240 829182 804 3 1 -1.00 -1.00 -1.00 3 1 0 0 0 0 4.16
300244 1 1 1 0 0 0 1 1015 1045 2100 2115 1 4 751509 42 932775 72 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.53
300250 1 1 1 0 0 0 1 840 1430 1710 1845 1 4 895150 240 828907 503 6 3 -1.00 -1.00 -1.00 5 3 0 0 0 0 14.27
300259 1 1 1 0 0 0 2 650 930 1450 1735 1 4 325544 3593 1078364 3626 6 7 -1.00 -1.00 -1.00 2 1 0 0 0 0 4.13
300262 1 1 1 0 0 0 1 1230 1315 1415 1820 1 4 1238137 34 1161324 629 3 1 -1.00 -1.00 -1.00 1 5 0 0 0 0 3.91
300264 1 1 1 0 0 0 2 730 755 1055 1210 1 2 1115644 427 812461 551 1 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300267 1 1 1 0 0 0 1 1955 2010 2450 2535 1 4 1115650 429 716657 504 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300267 1 1 2 0 0 0 6 1130 1155 1330 1500 1 3 1115650 429 828727 321 4 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300269 1 1 1 0 0 0 2 805 820 2100 2115 1 2 1155458 175 932775 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300280 1 1 1 0 0 0 2 730 800 950 1905 1 2 924823 76 932775 72 1 1 -1.00 -1.00 -1.00 1 3 0 0 0 0 3.91
300281 1 1 1 0 0 0 1 930 945 1330 1350 1 4 1197790 1593 932537 1534 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.69
300285 1 1 1 0 0 0 2 745 800 1540 1625 1 2 926156 702 1089776 756 4 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 7.92
300285 1 1 2 0 0 0 2 1625 1635 2010 2025 1 2 926156 702 1089776 756 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 7.92
300288 1 1 1 0 0 0 1 500 1200 2100 2145 1 4 995551 399 704960 446 3 1 -1.00 -1.00 -1.00 2 2 0 0 0 0 4.16
300294 1 1 1 0 0 0 2 910 940 1150 2105 1 2 1022964 722 1078364 552 9 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300295 1 1 1 0 0 0 1 905 930 1720 1900 1 4 1078729 426 815489 318 7 3 -1.00 -1.00 -1.00 2 2 0 0 0 0 4.16
300295 1 1 2 0 0 0 2 1930 1940 2120 2130 1 2 1078729 426 1078364 552 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300296 1 1 1 0 0 0 1 700 745 1600 1630 1 4 812020 219 1067461 1615 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 11.98
300296 1 1 2 0 0 0 2 1715 1745 2105 2115 1 2 812020 219 932775 218 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 11.98
300298 1 1 1 0 0 0 2 900 1040 1200 2150 1 2 195907 2521 1078352 553 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.13
300305 1 1 1 0 0 0 2 735 1645 2115 2130 1 2 674496 601 1187092 433 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 7.92
300309 1 1 1 0 0 0 2 1245 1250 1755 2200 1 2 750257 553 1222518 552 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 16.51
300312 1 1 1 0 0 0 1 655 725 1600 1635 1 4 1269009 186 828964 509 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300312 1 1 2 0 0 0 2 1725 1745 2130 2225 1 2 835577 186 932775 72 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300313 1 1 1 0 0 0 2 1440 1720 2010 2130 1 2 754250 916 1078364 540 6 6 -1.00 -1.00 -1.00 2 1 0 0 0 0 4.16
300313 1 1 2 0 0 0 3 820 830 830 840 1 4 754250 916 840570 822 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300313 1 1 3 0 0 0 5 1120 1125 1145 1150 1 4 754250 916 674291 1352 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300313 1 1 4 0 0 0 7 900 940 940 1055 1 4 754250 916 1122096 848 2 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300317 1 1 1 0 0 0 1 730 800 1600 1620 1 4 1125186 188 1075029 319 9 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300317 1 1 2 0 0 0 2 1730 1800 2020 2320 1 2 1125186 188 932775 72 9 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300318 1 1 1 0 0 0 1 830 915 1815 2120 1 4 1145698 722 735377 545 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300320 1 1 1 0 0 0 2 1100 1420 1530 1620 1 2 1041071 48 932775 48 6 3 -1.00 -1.00 -1.00 4 1 0 0 0 0 3.91
300321 1 1 1 0 0 0 2 800 1000 1445 2230 1 2 794838 1847 1030279 300 3 1 -1.00 -1.00 -1.00 2 5 0 0 0 0 13.68
300322 1 1 1 0 0 0 2 1330 1535 2000 2020 1 2 1163145 887 674363 873 4 1 -1.00 -1.00 -1.00 3 1 0 0 0 0 26.99
300325 1 1 1 0 0 0 2 730 1805 2135 2145 1 2 906930 175 932775 406 3 1 -1.00 -1.00 -1.00 4 1 0 0 0 0 14.04
300328 1 1 1 0 0 0 2 940 1240 1330 2405 1 2 884836 1232 1238097 144 3 1 -1.00 -1.00 -1.00 2 2 0 0 0 0 568.37
300334 1 1 1 0 0 0 1 840 855 1540 1635 1 4 1151472 144 897173 341 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 14.04
300334 1 1 2 0 0 0 2 1840 1855 2115 2130 1 2 1151472 144 932775 72 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.04
300338 1 1 1 0 0 0 1 725 750 1225 1700 1 3 962347 23 716667 493 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 3.91
300338 1 1 2 0 0 0 7 1740 1745 1830 1835 1 4 962347 23 962277 23 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300339 1 1 1 0 0 0 7 1300 1400 1500 1525 1 4 876549 1512 1041058 1513 4 1 -1.00 -1.00 -1.00 2 2 0 0 0 0 169.88
300341 1 1 1 0 0 0 2 1005 1045 1150 1355 1 2 730985 280 1222524 567 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 4.16
300341 1 1 2 0 0 0 7 2105 2115 2400 2415 1 4 730985 280 751667 304 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300342 1 1 1 0 0 0 1 805 845 1750 1800 1 4 1092483 75 828435 41 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300343 1 1 1 0 0 0 4 815 830 1655 1710 1 4 1104231 73 1098456 12 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.20
300343 1 1 2 0 0 0 7 625 630 730 745 1 4 1104231 73 907183 1875 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.20
300343 1 1 3 0 0 0 7 1900 1930 2010 2020 1 4 1104231 73 683959 12 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 14.20
300346 1 1 1 0 0 0 6 1400 1700 1830 2015 1 3 1161289 519 1223600 304 6 3 -1.00 -1.00 -1.00 3 2 0 0 0 0 4.16
300353 1 1 1 0 0 0 2 830 850 1100 1955 1 2 1063232 1497 932775 72 5 1 -1.00 -1.00 -1.00 1 5 0 0 0 0 3.91
300356 1 1 1 0 0 0 2 840 900 1600 1620 1 2 1180384 825 1089776 756 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 28.15
300356 1 1 2 0 0 0 5 1715 1730 1730 1800 1 4 1180384 825 681642 859 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 28.15
300358 1 1 1 0 0 0 1 750 820 1735 1800 1 4 987074 132 1161239 444 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300358 1 1 2 0 0 0 2 1830 1835 2000 2020 1 2 987074 132 798454 133 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300359 1 1 1 0 0 0 7 1925 1940 2025 2040 1 4 1171169 911 1013916 912 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300365 1 1 1 0 0 0 1 950 1035 1835 1910 1 4 793761 92 797163 303 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300372 1 1 1 0 0 0 4 935 955 1110 1325 1 4 1039256 419 789484 1551 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 13.59
300375 1 1 1 0 0 0 1 905 920 1810 1910 1 4 1222598 568 932984 70 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.64
300379 1 1 1 0 0 0 2 905 925 1240 1410 1 2 753305 248 932775 72 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 14.20
300379 1 1 2 0 0 0 7 1745 1800 2025 2035 1 4 753305 248 852848 314 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.20
300382 1 1 1 0 0 0 2 730 800 1050 2310 1 2 753322 252 932775 72 3 1 -1.00 -1.00 -1.00 1 10 0 0 0 0 3.91
300384 1 1 1 0 0 0 2 800 820 1400 1910 1 2 104934 2252 104918 2252 2 1 -1.00 -1.00 -1.00 1 3 0 0 0 0 41.06
300395 1 1 1 0 0 0 2 700 720 1050 1530 1 2 1208259 607 1222518 552 1 1 -1.00 -1.00 -1.00 1 7 0 0 0 0 14.64
300400 1 1 1 0 0 0 2 740 755 1200 1220 1 2 903635 60 932775 72 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300400 1 1 2 0 0 0 4 1855 1905 1915 1920 1 4 903635 60 903699 24 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300400 1 1 3 0 0 0 7 1430 1530 1535 1545 1 4 903635 60 878392 67 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300400 1 1 4 0 0 0 7 1930 2000 2200 2220 1 4 903635 60 1084078 510 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300402 1 1 1 0 0 0 2 730 1445 1555 1615 1 3 920783 31 1030257 72 6 3 -1.00 -1.00 -1.00 5 1 0 0 0 0 3.91
300403 1 1 1 0 0 0 2 1010 1155 1310 1435 1 2 133605 2395 932775 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.98
300405 1 1 1 0 0 0 2 715 745 1630 1700 1 2 1171645 1851 932775 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300408 1 1 1 0 0 0 2 740 750 1425 1430 1 2 135365 2416 130598 2403 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 10.27
300408 1 1 2 0 0 0 7 1800 1845 2050 2100 1 4 135365 2416 207547 2515 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 10.27
300413 1 1 1 0 0 0 2 945 1015 1915 2000 1 2 1029975 93 797163 302 2 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.67
300414 1 1 1 0 0 0 2 1215 1230 2010 2040 1 2 1002585 202 932775 72 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.58
300414 1 1 2 0 0 0 7 2100 2115 2310 2330 1 4 1002585 202 829942 442 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.58
300416 1 1 1 0 0 0 2 745 1520 1640 1650 1 2 829512 263 1171546 313 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300416 1 1 2 0 0 0 2 1715 1730 2045 2115 1 4 829512 263 932775 72 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300416 1 1 3 0 0 0 7 1650 1700 1700 1710 1 4 829512 263 704960 330 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300417 1 1 1 0 0 0 2 700 735 1400 1510 1 2 1113538 119 932775 72 2 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 11.98
300417 1 1 2 0 0 0 4 1700 1720 1800 1845 1 4 1113538 119 1108145 181 1 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 11.98
300422 1 1 1 0 0 0 2 720 800 1600 1640 1 2 84542 2360 104918 2252 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 32.95
300430 1 1 1 0 0 0 2 720 730 905 1510 1 2 961036 755 1089776 756 1 1 -1.00 -1.00 -1.00 1 3 0 0 0 0 7.92
300430 1 1 2 0 0 0 2 1600 1700 1700 1740 1 4 961036 755 1253164 797 5 1 -1.00 -1.00 -1.00 2 2 0 0 0 0 7.92
300430 1 1 3 0 0 0 7 1740 1800 1800 1815 1 4 961036 755 961025 755 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 7.92
300432 1 1 1 0 0 0 2 755 845 1200 1520 1 2 825108 320 1222518 552 7 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 4.16
300440 1 1 1 0 0 0 2 850 900 1200 2320 1 2 1153833 70 932775 72 5 1 -1.00 -1.00 -1.00 1 5 0 0 0 0 3.91
300441 1 1 1 0 0 0 2 850 1325 1835 1900 1 2 1096762 111 932775 72 3 1 -1.00 -1.00 -1.00 3 1 0 0 0 0 3.91
300443 1 1 1 0 0 0 2 1025 1030 1355 1400 1 2 1209040 69 932775 72 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300445 1 1 1 0 0 0 1 645 710 1630 1645 1 4 1207146 546 829721 433 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.59
300445 1 1 2 0 0 0 5 2010 2020 2100 2145 1 4 1207146 546 933041 69 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 13.59
300448 1 1 1 0 0 0 2 825 840 1235 1250 1 2 816036 1878 932775 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300461 1 1 1 0 0 0 2 810 1820 1835 2015 1 2 866847 431 735336 546 6 3 -1.00 -1.00 -1.00 2 2 0 0 0 0 15.04
300463 1 1 1 0 0 0 1 745 830 1730 1820 1 4 192025 2496 824425 7 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 13.47
300469 1 1 1 0 0 0 2 645 730 1200 1450 1 2 751789 304 1222518 552 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 12.78
300480 1 1 1 0 0 0 2 1050 1155 1305 1330 1 2 1089795 67 932775 69 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300480 1 1 2 0 0 0 5 1850 1900 1915 1955 1 4 1089795 67 913705 47 1 1 -1.00 -1.00 -1.00 1 3 0 0 0 0 3.91
300482 1 1 1 0 0 0 2 830 950 1250 1455 1 2 920004 29 1078364 552 6 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 4.16
300482 1 1 2 0 0 0 4 1455 1500 1505 1510 1 4 920004 29 698723 45 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300483 1 1 1 0 0 0 2 715 745 1050 1730 1 2 1208297 604 1222516 551 1 1 -1.00 -1.00 -1.00 1 3 0 0 0 0 14.64
300483 1 1 2 0 0 0 4 1730 1800 1900 1920 1 4 1208297 604 1250169 404 3 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.64
300488 1 1 1 0 0 0 2 710 725 1050 1135 1 2 720825 896 1089776 756 3 1 -1.00 -1.00 -1.00 1 2 0 0 0 0 26.94
300490 1 1 1 0 0 0 2 930 1055 1200 2050 1 4 1214737 462 852387 552 3 1 -1.00 -1.00 -1.00 2 3 0 0 0 0 15.19
