hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhexpfac samptype
300480 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1233452 105 3.9070 3
300482 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 3283 896 4.1610 3
300483 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1798 2222 14.6380 2
300488 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 720506 93 26.9380 2
300490 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 716646 628 15.1870 2
300493 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 833199 563 3.9070 3
300503 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1747 426 16.5140 1
300506 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1273276 2307 14.6670 2
300508 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1070582 283 13.6810 2
300509 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115939 2644 14.0250 2
300514 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1269267 2323 12.5770 2
300515 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1224932 753 3.9070 3
300520 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1087954 556 3.9070 3
300522 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 961274 18 7.9200 3
300529 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 782440 91 3.9070 3
300530 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 718287 384 15.2170 2
300533 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1295 2208 12.4300 2
300534 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 189046 304 10.2650 3
300535 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1240284 1226 14.0400 2
300539 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 55145 2365 10.2650 3
300543 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1931 781 26.8130 2
300549 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1209359 775 31.4340 1
300552 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1135607 407 3.9070 3
300553 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1098055 342 3.9070 3
300559 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1536 345 13.9060 2
300564 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1223492 281 3.9070 3
300568 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 723535 2250 14.2050 2
300569 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1078814 2481 13.8890 2
300573 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1097766 1508 3.9070 3
300574 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 106247 693 10.2650 3
300577 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 932919 718 3.9070 3
300580 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1887 2428 27.8730 2
300582 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2173 282 4.1610 3
300585 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 758574 607 4.1610 3
300586 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1506 373 3.9070 3
300587 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2385 2257 4.1610 3
300590 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1223492 408 4.1100 3
300591 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1291 621 3.9070 3
300592 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1208265 23 4.1610 3
300593 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1034448 437 4.1610 3
300594 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 105467 668 10.2650 3
300595 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 770965 775 4.1610 3
300596 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115820 397 5.0340 3
300603 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1591 1719 4.1610 3
300604 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1224774 17 12.3090 2
300612 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 2360 2391 3.9070 3
300616 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 2598 23 10.3460 3
300620 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 959090 400 169.8780 3
300625 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1473 829 3.9070 3
300628 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1155578 2434 169.8780 3
300652 1 3 0 0 0 0 0 1 0 0 0 -1 -1 -1 186166 1870 3.8760 3
300676 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1822 557 14.4960 2
300692 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1477 718 3.9070 3
300698 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 122780 2618 10.2650 3
300719 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1592 191 15.0400 2
300720 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1043777 2254 3.9070 3
300727 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 104758 1101 10.2650 3
300733 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 177281 583 10.2650 3
300745 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 909774 784 4.1610 3
300751 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1516 696 14.0400 2
300753 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 24294 1879 37.3990 2
300754 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 3297 139 3.9070 3
300761 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1254794 160 13.8840 2
300764 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 39567 666 10.2650 3
300768 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1356 93 13.9030 2
300778 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 46047 741 10.2650 3
300782 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 804264 861 169.8780 3
300786 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 695025 2588 7.9200 3
300787 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 829176 3471 4.1610 3
300788 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1741 2218 4.1610 3
300790 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1129847 1487 7.9200 3
300791 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 913698 2163 4.1610 3
300792 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1620 427 13.8240 2
300800 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1620 1685 14.6380 2
300807 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 126636 714 10.2650 3
300811 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1462 429 15.1300 2
300814 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1747 17 16.5140 1
300817 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 942524 408 13.8890 2
300819 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1225086 73 3.9070 3
300820 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115650 26 4.1610 3
300821 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115715 2509 4.1610 3
300823 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1161045 692 4.1610 3
300831 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 959090 4 169.8780 3
300835 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1581 921 4.1610 3
300836 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 835689 119 3.9070 3
300838 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 892846 699 3.9070 3
300840 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2347 1812 14.4410 2
300852 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 2773 430 37.3990 2
300869 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 112738 2350 10.2650 3
300895 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 847886 448 4.1610 3
300898 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1223134 376 12.7600 2
300900 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 913568 497 11.8640 2
300901 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1089316 427 4.1610 3
300902 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 2541 698 3.8760 3
300923 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1768 153 4.1610 3
300926 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 820 25 7.9200 3
300927 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 854 2100 7.9200 3
300941 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1225060 2979 13.1100 2
300944 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1273163 1168 4.1610 3
300946 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1125338 2013 12.6360 2
300962 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 568283 1236 33.2630 2
300963 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 928 755 41.9420 2
300965 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 529069 1206 10.7070 3
300974 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 981 1526 10.7910 3
300976 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 3226 42.8280 1
300977 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 3203 643 10.7910 3
300980 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 985 1182 10.7910 3
300983 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1250995 1187 42.8280 1
300984 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 717267 1189 19.9770 1
300993 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 936159 1231 10.7910 3
300994 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 3306 42.8280 1
301006 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1472 2019 10.7910 3
301013 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 2078 42.8280 1
301015 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 537514 1155 38.2150 2
301029 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 992 3161 39.9540 2
301033 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 1280 42.8280 1
301040 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 2014 42.8280 1
301042 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1948 1336 7.9200 3
301048 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 861643 2042 38.1810 2
301066 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1180520 1212 10.7910 3
301088 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 220 1121 10.7910 3
301089 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2099 2015 42.8280 1
301090 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1079 2024 10.7910 3
301104 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 980 3307 10.7910 3
301105 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 901582 1246 10.7910 3
301109 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1274195 2005 14.1910 2
301110 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1263199 3371 10.7910 3
301113 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 821520 2008 10.7910 3
301115 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1031 1990 10.7910 3
301122 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1065445 1189 42.8280 1
301133 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 3297 42.8280 1
301134 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1752 1246 4.1610 3
301136 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 3126 1172 10.7910 3
301167 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 731975 3308 42.8280 1
301175 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 875015 2785 39.6140 2
301176 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1123300 2025 42.8280 1
301186 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1034887 550 38.1810 2
301191 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1109078 74 4.1610 3
301197 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115780 3090 14.6670 2
