veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2021,vmt_2022*,city
light,89254.34493635678,89187.57351939361,73494.82038518265,78694.51423610233,84262.08185011978,Enumclaw
medium,2485.0009795373776,2483.1419435803396,2046.227562124074,2190.99636102169,2346.0074250134694,Enumclaw
heavy,321.42058941686867,321.1801338041833,264.6677705621683,283.3927823645807,303.44257226995495,Enumclaw
transit,95.3524730467543,95.28113960365062,78.51620988144838,84.07116261932043,90.01912337383752,Enumclaw
light,2277308.431508842,2275604.770908986,1875207.0193865474,2007876.2654205365,2149931.74383381,Federal Way
medium,116931.3520993933,116843.87543847934,96284.93409558207,103097.00843128507,110391.03103014082,Federal Way
heavy,146532.72739165302,146423.10586178358,120659.63273697926,129196.19554655634,138336.71266089007,Federal Way
transit,5156.377297363356,5152.519797554387,4245.922409471243,4546.317682611617,4867.965656913884,Federal Way
light,32310.837859200397,32286.666033966965,26605.754897982486,28488.0886381981,30503.595833673306,Hunts Point
medium,3292.4206011183664,3289.9575323576,2711.0821426588413,2902.888817913515,3108.265646611113,Hunts Point
heavy,60.12484103097616,60.07986147470709,49.50867540857696,53.01137061539533,56.761878424967,Hunts Point
transit,320.84483327479114,320.6048083868336,264.19367493939694,282.8851448938049,302.8990198949525,Hunts Point
light,1017651.2257916658,1016889.918155955,837965.8615796271,897251.2086952538,960730.9419353878,Issaquah
medium,32560.05246924046,32535.6942058829,26810.966005803828,28707.818251267658,30738.871123457968,Issaquah
heavy,13984.837472095624,13974.375377340715,11515.552759482203,12330.267981039402,13202.623587396232,Issaquah
transit,1823.0343639759892,1821.67054703529,1501.143537964103,1607.3481219441928,1721.066586757878,Issaquah
light,320315.4770042063,320075.8481291072,263757.78642266255,282418.4176481877,302399.27210752876,Kenmore
medium,8462.7987720905,8456.467729429332,6968.533309546281,7461.550907380725,7989.449066299877,Kenmore
heavy,273.13590616572577,272.9315724552357,224.90865154753004,240.8207406762777,257.85859610480554,Kenmore
transit,274.90845690414363,274.7027971436498,226.36822528857914,242.38357797476556,259.5320027665267,Kenmore
light,3103459.245109666,3101137.5388506465,2555485.449528634,2736283.7957030768,2929873.465727727,Kent
