hhno	pno	pptyp	pagey	pgend	pwtyp	pwpcl	pwtaz	pwautime	pwaudist	pstyp	pspcl	pstaz	psautime	psaudist	puwmode	puwarrp	puwdepp	ptpass	ppaidprk	pdiary	pproxy	psexpfac
300305	1	5	21	2	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300307	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300309	1	5	21	1	0	0	-1	-1	-1	1	1078364	427	-1	-1	-1	-1	-1	-1	-1	-1	-1	16.514
300312	1	5	30	2	0	0	-1	-1	-1	1	932775	186	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300313	1	5	30	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300317	1	5	30	2	0	0	-1	-1	-1	1	932775	220	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300318	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300320	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300321	1	5	60	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.681
300322	1	5	30	1	0	0	-1	-1	-1	1	1089776	874	-1	-1	-1	-1	-1	-1	-1	-1	-1	26.991
300325	1	5	40	2	0	0	-1	-1	-1	1	932775	218	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.04
300328	1	5	40	1	0	0	-1	-1	-1	1	740439	1512	-1	-1	-1	-1	-1	-1	-1	-1	-1	568.373
300334	1	5	60	2	0	0	-1	-1	-1	1	932775	239	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.04
300335	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300338	1	5	40	1	0	0	-1	-1	-1	1	932775	505	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300339	1	5	21	1	0	0	-1	-1	-1	1	740439	1512	-1	-1	-1	-1	-1	-1	1	-1	-1	169.878
300341	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300342	1	5	30	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
