GEOID,Large_Area,PSRC_TAZ,BKR_TAZ,External_Station,Station_Name,Total_IE,Total_EI,SOV_IE,SOV_EI,HOV_IE,HOV_EI
530330011001008,Seattle,50,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330011002019,Seattle,62,459,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330012001006,Seattle,49,458,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330012001021,Seattle,65,458,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330012001022,Seattle,65,458,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330012002000,Seattle,67,458,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330012003000,Seattle,48,458,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330012003002,Seattle,48,458,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330012004000,Seattle,47,458,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330012004010,Seattle,69,458,3733,I-5 Thurston,0.00,2.21,0.00,1.76,0.00,0.22
530330012004011,Seattle,47,458,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330012005011,Seattle,71,458,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013001001,Seattle,73,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013001010,Seattle,73,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013001014,Seattle,75,457,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330013001015,Seattle,75,457,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330013003000,Seattle,75,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013003013,Seattle,76,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013003014,Seattle,76,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013003018,Seattle,78,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330013003020,Seattle,76,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330014001013,Seattle,42,457,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330014002015,Seattle,43,457,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330014003010,Seattle,41,457,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330015002008,Seattle,84,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330015002011,Seattle,84,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330016001016,Seattle,83,456,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330016002019,Seattle,86,456,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330016003003,Seattle,87,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330016003008,Seattle,83,456,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330017011000,Seattle,91,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017011004,Seattle,90,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017011005,Seattle,90,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017011013,Seattle,89,457,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330017011014,Seattle,90,457,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330017012000,Seattle,79,457,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330017012004,Seattle,91,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017013009,Seattle,79,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017021007,Seattle,80,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017023001,Seattle,82,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017023005,Seattle,82,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330017023011,Seattle,87,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330018002011,Seattle,93,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330018003006,Seattle,92,457,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330019001002,Seattle,70,458,3733,I-5 Thurston,0.00,1.70,0.00,1.36,0.00,0.17
530330019001006,Seattle,69,458,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330019001013,Seattle,68,458,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330020002002,Seattle,66,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330020003009,Seattle,97,459,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330021001018,Seattle,101,459,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330021001019,Seattle,101,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330021001025,Seattle,101,459,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330021002003,Seattle,100,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330022001007,Seattle,58,460,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330022002001,Seattle,58,460,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330022002002,Seattle,102,460,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330022003014,Seattle,103,460,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330022004008,Seattle,107,460,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330024001009,Seattle,110,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330024001015,Seattle,108,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330024002004,Seattle,109,465,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330024003000,Seattle,112,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330024003006,Seattle,112,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330025001028,Seattle,117,465,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330025002011,Seattle,186,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330025002013,Seattle,186,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330025002014,Seattle,186,465,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330026002015,Seattle,181,464,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330026002018,Seattle,181,464,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330026002021,Seattle,181,464,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330026004001,Seattle,120,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330026004014,Seattle,121,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330027002015,Seattle,128,464,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330028002007,Seattle,172,462,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330029001001,Seattle,135,462,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330030001016,Seattle,140,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330030002005,Seattle,143,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330030002017,Seattle,141,456,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330031001006,Seattle,147,456,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330031003013,Seattle,158,456,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330032002000,Seattle,245,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330032003011,Seattle,253,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330032005002,Seattle,247,461,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330032006028,Seattle,249,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330033003014,Seattle,241,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330033003020,Seattle,241,461,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330033004000,Seattle,159,461,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330034001007,Seattle,235,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330034002012,Seattle,167,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330034003007,Seattle,236,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330035001006,Seattle,169,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330035002036,Seattle,231,462,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330035003000,Seattle,232,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330035003002,Seattle,231,462,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330035003011,Seattle,234,462,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330036001015,Seattle,180,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330036001027,Seattle,220,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330036002023,Seattle,175,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330036002024,Seattle,175,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330036002026,Seattle,175,464,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330036004001,Seattle,177,464,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330036004005,Seattle,177,464,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330036004010,Seattle,176,464,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330038001000,Seattle,189,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330038001010,Seattle,190,465,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330039001004,Seattle,191,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330039001005,Seattle,192,465,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330039001022,Seattle,192,465,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330039001023,Seattle,192,465,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330039001024,Seattle,194,465,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330040001008,Seattle,105,460,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330041002006,Seattle,202,467,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330041003003,Seattle,297,467,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330041004001,Seattle,295,467,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330041004008,Seattle,296,467,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330041005009,Seattle,299,467,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330042003012,Seattle,291,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330042003038,Seattle,291,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330042004009,Seattle,208,466,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330042005008,Seattle,210,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330042005018,Seattle,211,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330043011002,Seattle,288,466,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330043011010,Seattle,289,466,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330043011012,Seattle,289,466,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330043011013,Seattle,289,466,3733,I-5 Thurston,0.00,0.68,0.00,0.54,0.00,0.07
530330043011014,Seattle,289,466,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330043011016,Seattle,289,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330043012010,Seattle,213,466,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330043013005,Seattle,214,466,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330043022003,Seattle,285,466,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330043022004,Seattle,285,466,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330043022006,Seattle,287,466,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330044002002,Seattle,218,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330044002003,Seattle,218,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330044002020,Seattle,219,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330044002024,Seattle,219,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330044004000,Seattle,281,463,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330044004001,Seattle,281,463,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330044004008,Seattle,281,463,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330045002022,Seattle,276,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330045002023,Seattle,276,463,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330045002024,Seattle,276,463,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330046003001,Seattle,274,463,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330047002002,Seattle,258,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002005,Seattle,256,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047002009,Seattle,258,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002020,Seattle,258,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047002031,Seattle,258,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002042,Seattle,259,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002047,Seattle,257,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047002057,Seattle,261,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002067,Seattle,259,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002073,Seattle,330,461,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330047002075,Seattle,330,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047002077,Seattle,329,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047002081,Seattle,329,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047003012,Seattle,242,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047003014,Seattle,240,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047003017,Seattle,240,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047003019,Seattle,242,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047003020,Seattle,256,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004003,Seattle,244,461,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330047004004,Seattle,244,461,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330047004005,Seattle,244,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004007,Seattle,244,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047004009,Seattle,244,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004010,Seattle,254,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047004012,Seattle,254,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004013,Seattle,255,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047004014,Seattle,257,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004015,Seattle,257,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004020,Seattle,256,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330047004025,Seattle,254,461,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330047004026,Seattle,254,461,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330048003026,Seattle,329,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330048003028,Seattle,329,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330048003044,Seattle,329,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330048003053,Seattle,327,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330048004005,Seattle,263,470,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330049001012,Seattle,268,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330049002005,Seattle,320,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330049002020,Seattle,324,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330049002025,Seattle,324,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330049002032,Seattle,321,470,3733,I-5 Thurston,0.00,0.68,0.00,0.54,0.00,0.07
530330049003010,Seattle,324,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330049005016,Seattle,319,470,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330050001009,Seattle,269,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330050001041,Seattle,272,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330050002012,Seattle,316,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330051001021,Seattle,311,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330051001024,Seattle,311,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330051002014,Seattle,311,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330051002021,Seattle,311,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330052004010,Seattle,278,463,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330052005006,Seattle,280,463,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330053012002,Seattle,282,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053012004,Seattle,282,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053012007,Seattle,282,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053012009,Seattle,282,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053012010,Seattle,282,471,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330053013000,Seattle,304,471,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330053013006,Seattle,304,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053013009,Seattle,304,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053014000,Seattle,304,471,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330053014001,Seattle,304,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053014002,Seattle,304,471,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330053021010,Seattle,305,471,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330053022002,Seattle,305,471,3733,I-5 Thurston,0.00,2.37,0.00,1.90,0.00,0.24
530330053023013,Seattle,302,471,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330054002007,Seattle,312,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054002013,Seattle,315,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054002020,Seattle,315,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054002021,Seattle,315,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054002034,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054002039,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054003004,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054003005,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054003010,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054003016,Seattle,318,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330054003026,Seattle,315,470,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330054004024,Seattle,314,470,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330056001001,Seattle,345,468,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330056002030,Seattle,346,468,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330056003033,Seattle,348,468,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
