FID,FID_juncti,OBJECTID,ANCILLARYR,ENABLED,PSRCjunctI,JunctionTy,TRANSITSTO,P_RStalls,Modes,FTRdescrip,inServiceD,outService,dateLastUp,EMME2nodeI,EMME2nodeL,DateCreate,LastEditor,EditNotes,Processing,EMME2Dir,EMME2HOV,PSRC_E2ID,ScenarioID,Scen_Node,IsZone,XCoord,YCoord,lat,lon,FID_urbcen,ID,NAME,AREA_FEET,PERIMETER_,PARKING,POPDEN1996,PLANPOP96,JOBS1994,PLANJOBS94,HOUSEUNITS,HUPLAN,FLOORSPC,ACRES,HECTARES,AREA,PERIMETER,ADOPTDATE
14,23910,60740556,0,1,163426,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167426,0,1278570.000000000000000,60559.882352900000000,47.1566010,-122.2880020,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
15,4771,60740336,0,1,163420,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167420,0,1277914.764710000000000,60571.529411800002000,47.1566010,-122.2900009,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
16,24028,60739796,0,1,163416,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167416,0,1277255.235290000000000,60583.764705900001000,47.1566010,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
17,24017,60740367,0,1,163342,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167342,0,1226737.529410000000000,60746.647058800001000,47.1543007,-122.4960022,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
18,4423,60747982,0,1,191799,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3317,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3317,107,3317,1,1275972.411760000000000,60939.411764700002000,47.1576004,-122.2979965,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
19,24199,60740313,0,1,163230,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167230,0,1283398.647060000100000,60958.529411800002000,47.1580009,-122.2679977,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
20,8954,60750306,0,1,163071,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167071,0,1277262.117649999900000,61258.117647100000000,47.1585007,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
21,3709,60740286,0,1,163013,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167013,0,1224633.117649999900000,61350.470588199998000,47.1557999,-122.5039978,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
22,19772,60746878,0,1,191533,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3051,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3051,107,3051,1,1225649.000000000000000,61393.000000000000000,47.1559982,-122.5000000,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
23,8888,60750300,0,1,162885,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,166885,0,1225877.529410000000000,61555.411764700002000,47.1563988,-122.4990005,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
24,23965,60739872,0,1,162585,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0,bi,5755,0,107,166585,0,1277019.882350000100000,62007.705882399998000,47.1604996,-122.2939987,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
25,4761,60747981,0,1,191797,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3315,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3315,107,3315,1,1277892.705880000000000,62181.588235299998000,47.1610985,-122.2910004,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
26,24183,60739927,0,1,162381,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,166381,0,1224634.235290000000000,62336.058823500003000,47.1585007,-122.5049973,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
27,5713,60748518,0,1,191796,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3314,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3314,107,3314,1,1280836.352939999900000,62381.764705900001000,47.1618004,-122.2789993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
28,6204,60751008,0,1,182568,4,0,0,a, ,2000,2050,5/4/2015 0:00:00,0,n/a,10/28/2010 0:00:00,Stefan, ,0, ,0,0,107,186568,0,1278697.000000000000000,62520.941176499997000,47.1619987,-122.2870026,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
29,3194,60740144,0,1,162271,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,166271,0,1278566.000000000000000,62521.235294099999000,47.1619987,-122.2880020,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
30,23844,60739694,0,1,162224,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,166224,0,1277275.117649999900000,62592.117647100000000,47.1621017,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
31,24197,60740263,0,1,162170,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,166170,0,1224629.647060000100000,62672.058823500003000,47.1594009,-122.5049973,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
32,23894,60739991,0,1,161633,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,165633,0,1277257.117649999900000,63455.176470600003000,47.1645012,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
33,2157,60739711,0,1,161559,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,165559,0,1220670.529410000000000,63597.294117600002000,47.1617012,-122.5210037,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
34,23882,60740380,0,1,161449,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,165449,0,1224394.647060000100000,63786.235294099999000,47.1624985,-122.5059967,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
35,20328,60744287,0,1,161204,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,165204,0,1224211.647060000100000,64206.705882399998000,47.1636009,-122.5059967,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
36,8451,60746382,0,1,191528,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3046,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3046,107,3046,1,1222099.235290000000000,64217.235294099999000,47.1635017,-122.5149994,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
37,2230,60739646,0,1,161176,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,165176,0,1220677.352939999900000,64234.941176499997000,47.1635017,-122.5210037,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
38,21895,60745000,0,1,182152,4,0,0,a, ,2000,2050,5/4/2015 0:00:00,0,n/a,2/1/2010 0:00:00,Stefan, ,0, ,0,0,107,186152,0,1221899.058819999900000,64637.058823500003000,47.1646996,-122.5159988,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
39,23746,60739635,0,1,160896,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164896,0,1222776.529410000000000,64754.058823500003000,47.1650009,-122.5120010,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
40,24088,60740253,0,1,160846,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164846,0,1223797.058819999900000,64849.470588199998000,47.1654015,-122.5080032,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
41,23966,60739889,0,1,160815,9,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164815,0,1222620.882350000100000,64898.352941199999000,47.1654015,-122.5130005,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
42,22711,60739299,0,1,160550,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164550,0,1223960.764710000000000,65309.529411800002000,47.1665993,-122.5080032,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
43,23853,60739817,0,1,160533,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164533,0,1223331.529410000000000,65342.529411800002000,47.1666985,-122.5100021,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
44,18734,60750235,0,1,160505,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164505,0,1221982.647060000100000,65393.176470600003000,47.1666985,-122.5149994,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
45,7043,60739401,0,1,160495,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164495,0,1220692.000000000000000,65410.470588199998000,47.1666985,-122.5210037,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
46,23525,60739569,0,1,160292,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164292,0,1220738.529410000000000,65737.117647100007000,47.1675987,-122.5210037,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
47,2388,60739727,0,1,160144,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164144,0,1221981.882350000100000,66013.352941200006000,47.1683998,-122.5159988,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
48,23346,60739381,0,1,160127,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,164127,0,1220804.529410000000000,66029.823529400004000,47.1683998,-122.5199966,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
49,21847,60748332,0,1,191504,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3022,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3022,107,3022,1,1221474.941180000100000,66193.764705900001000,47.1688995,-122.5179977,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
50,22813,60739359,0,1,159877,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163877,0,1221981.529410000000000,66517.764705900001000,47.1697998,-122.5159988,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
51,2255,60739605,0,1,159829,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163829,0,1221356.352939999900000,66636.705882399998000,47.1701012,-122.5179977,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
52,22928,60739444,0,1,159821,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163821,0,1220945.235290000000000,66646.235294099999000,47.1701012,-122.5199966,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
53,2360,60739603,0,1,159797,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163797,0,1220445.882350000100000,66686.647058799994000,47.1702003,-122.5220032,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
54,18668,60750216,0,1,159788,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163788,0,1221761.235290000000000,66708.352941200006000,47.1702995,-122.5159988,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
55,8389,60739347,0,1,159527,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163527,0,1221297.882350000100000,67271.764705900001000,47.1717987,-122.5179977,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
56,8206,60739453,0,1,159215,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,163215,0,1221300.352939999900000,67815.588235300005000,47.1733017,-122.5179977,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
57,8592,60739524,0,1,158997,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,162997,0,1221308.000000000000000,68191.705882399998000,47.1744003,-122.5179977,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
58,19838,60746874,0,1,191503,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3021,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3021,107,3021,1,1221710.647060000100000,68286.000000000000000,47.1745987,-122.5169983,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
59,22226,60739104,0,1,157753,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,161753,0,1275959.529410000000000,70764.705882399998000,47.1845016,-122.2990036,21,0,Puyallup Downtown,9365721.073000000800000,13770.044000000000000,1187,1324,0,0,0,653,0,0.550000000000000,215.310000000000000,87.010999999999996,9365721.073000000800000,13770.044000000000000, 
60,18618,60750158,0,1,157714,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,161714,0,1277284.235290000000000,70869.000000000000000,47.1847992,-122.2939987,21,0,Puyallup Downtown,9365721.073000000800000,13770.044000000000000,1187,1324,0,0,0,653,0,0.550000000000000,215.310000000000000,87.010999999999996,9365721.073000000800000,13770.044000000000000, 
61,22071,60748513,0,1,191764,6,0,0,a, ,2000,2050,5/4/2015 0:00:00,3282,n/a,8/15/2011 0:00:00,Stefan,New Centroids,10, ,0,3282,107,3282,1,1276609.588240000000000,71156.352941200006000,47.1856003,-122.2959976,21,0,Puyallup Downtown,9365721.073000000800000,13770.044000000000000,1187,1324,0,0,0,653,0,0.550000000000000,215.310000000000000,87.010999999999996,9365721.073000000800000,13770.044000000000000, 
62,7986,60739082,0,1,157501,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,161501,0,1277293.764710000000000,71363.705882399998000,47.1861992,-122.2939987,21,0,Puyallup Downtown,9365721.073000000800000,13770.044000000000000,1187,1324,0,0,0,653,0,0.550000000000000,215.310000000000000,87.010999999999996,9365721.073000000800000,13770.044000000000000, 
63,22113,60739007,0,1,157485,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,161485,0,1275970.235290000000000,71397.470588199998000,47.1861992,-122.2990036,21,0,Puyallup Downtown,9365721.073000000800000,13770.044000000000000,1187,1324,0,0,0,653,0,0.550000000000000,215.310000000000000,87.010999999999996,9365721.073000000800000,13770.044000000000000, 
