pollutant_name,veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050
Composite NonECPM,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
H20 Aerosol,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
H20 Aerosol,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
H20 Aerosol,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM10 Total,heavy,4386983.601467052,4441415.131454324,4495846.661441596,5040161.961314321,5654687.993158022,6229229.788118377
PM10 Total,light,131443081.50190377,131830546.6271539,132218011.75240402,136092663.00490528,142904784.35843077,150421173.1027879
PM10 Total,medium,6283405.708423682,6323564.806540833,6363723.904657985,6765314.885829502,6946228.479082835,6921268.557180274
PM25 Total,heavy,4386983.601467052,4441415.131454324,4495846.661441596,5040161.961314321,5654687.993158022,6229229.788118377
PM25 Total,light,131443081.50190377,131830546.6271539,132218011.75240402,136092663.00490528,142904784.35843077,150421173.1027879
PM25 Total,medium,6283405.708423682,6323564.806540833,6363723.904657985,6765314.885829502,6946228.479082835,6921268.557180274
