,County Group,Year,Season,Pollutant,Unit,Speed (mph),LDV,MDV,HDV
27,"King County, Washington",2018,Summer,NOx,g/mi,45.0,0.311519,1.07815,8.42205
30,"King County, Washington",2018,Summer,NOx,g/mi,50.0,0.315449,1.04083,8.05118
33,"King County, Washington",2018,Summer,NOx,g/mi,55.0,0.322274,1.01393,7.70248
36,"King County, Washington",2018,Summer,NOx,g/mi,60.0,0.332264,0.985986,7.63815
39,"King County, Washington",2018,Summer,NOx,g/mi,65.0,0.347667,1.01177,8.16395
42,"King County, Washington",2018,Summer,NOx,g/mi,70.0,0.378498,1.04945,8.61463
45,"King County, Washington",2018,Summer,NOx,g/mi,75.0,0.418989,1.08919,9.12291
1,"King County, Washington",2018,Winter,PM2.5,g/mi,2.5,0.0192284,0.182142,1.40903
3,"King County, Washington",2018,Winter,PM2.5,g/mi,5.0,0.0117935,0.103216,0.776364
5,"King County, Washington",2018,Winter,PM2.5,g/mi,10.0,0.00807612,0.0642656,0.507964
9,"King County, Washington",2018,Winter,PM2.5,g/mi,20.0,0.00593015,0.0424862,0.438131
7,"King County, Washington",2018,Winter,PM2.5,g/mi,25.0,0.00683699,0.0502371,0.479692
11,"King County, Washington",2018,Winter,PM2.5,g/mi,25.0,0.00480774,0.0370951,0.41111
13,"King County, Washington",2018,Winter,PM2.5,g/mi,30.0,0.00424048,0.0344824,0.394889
15,"King County, Washington",2018,Winter,PM2.5,g/mi,35.0,0.00388069,0.0289679,0.302034
17,"King County, Washington",2018,Winter,PM2.5,g/mi,40.0,0.0036182,0.0262575,0.281624
19,"King County, Washington",2018,Winter,PM2.5,g/mi,45.0,0.00345219,0.0242656,0.265749
21,"King County, Washington",2018,Winter,PM2.5,g/mi,50.0,0.00338405,0.0230053,0.233204
23,"King County, Washington",2018,Winter,PM2.5,g/mi,55.0,0.00336268,0.0220437,0.195833
25,"King County, Washington",2018,Winter,PM2.5,g/mi,60.0,0.00338583,0.0209229,0.179523
27,"King County, Washington",2018,Winter,PM2.5,g/mi,65.0,0.00346658,0.0207805,0.190481
29,"King County, Washington",2018,Winter,PM2.5,g/mi,70.0,0.00369092,0.0208805,0.199874
31,"King County, Washington",2018,Winter,PM2.5,g/mi,75.0,0.00414204,0.0210359,0.214455
1,"King County, Washington",2018,Summer,VOC,g/mi,2.5,0.332647,1.23878,3.4739
4,"King County, Washington",2018,Summer,VOC,g/mi,5.0,0.197814,0.709126,1.90184
7,"King County, Washington",2018,Summer,VOC,g/mi,10.0,0.130397,0.429274,1.01902
13,"King County, Washington",2018,Summer,VOC,g/mi,20.0,0.0952186,0.276565,0.542948
10,"King County, Washington",2018,Summer,VOC,g/mi,25.0,0.107925,0.333011,0.704775
16,"King County, Washington",2018,Summer,VOC,g/mi,25.0,0.0846339,0.230428,0.460482
19,"King County, Washington",2018,Summer,VOC,g/mi,30.0,0.0746042,0.198331,0.404982
22,"King County, Washington",2018,Summer,VOC,g/mi,35.0,0.0650107,0.168326,0.369452
25,"King County, Washington",2018,Summer,VOC,g/mi,40.0,0.0573157,0.144387,0.343309
28,"King County, Washington",2018,Summer,VOC,g/mi,45.0,0.0518758,0.12607,0.322975
31,"King County, Washington",2018,Summer,VOC,g/mi,50.0,0.0484482,0.111784,0.306191
34,"King County, Washington",2018,Summer,VOC,g/mi,55.0,0.0460265,0.100864,0.291785
37,"King County, Washington",2018,Summer,VOC,g/mi,60.0,0.0444646,0.0924506,0.27828
40,"King County, Washington",2018,Summer,VOC,g/mi,65.0,0.044145,0.0877457,0.267546
43,"King County, Washington",2018,Summer,VOC,g/mi,70.0,0.0464123,0.0862108,0.258346
46,"King County, Washington",2018,Summer,VOC,g/mi,75.0,0.0511126,0.0870629,0.254833
